Date,Ticker,Open,High,Low,Close,Volume
2019-02-22,AEJ.MI,53.0,53.06,52.95,53.06,573
2019-02-25,AEJ.MI,53.18,53.65,53.18,53.65,70
2019-02-26,AEJ.MI,53.06,53.23,53.02,53.23,740
2019-02-27,AEJ.MI,52.74,52.84,52.65,52.84,677
2019-02-28,AEJ.MI,52.48,52.53,52.45,52.46,682
2019-03-01,AEJ.MI,52.91,53.02,52.61,52.61,12488
2019-03-04,AEJ.MI,53.12,53.23,52.89,52.89,7095
2019-03-05,AEJ.MI,53.24,53.51,53.02,53.48,2167
2019-03-06,AEJ.MI,53.57,53.59,53.29,53.42,7397
2019-03-07,AEJ.MI,53.0,53.17,53.0,53.1,817
2019-03-08,AEJ.MI,52.7,52.7,52.13,52.37,5113
2019-03-11,AEJ.MI,52.72,53.23,52.72,53.23,310
2019-03-12,AEJ.MI,53.41,53.42,53.19,53.25,1592
2019-03-13,AEJ.MI,53.1,53.15,53.1,53.15,217
2019-03-14,AEJ.MI,52.74,52.95,52.74,52.87,2624
2019-03-15,AEJ.MI,53.24,53.35,53.16,53.35,2301
2019-03-18,AEJ.MI,53.49,53.62,53.43,53.58,6053
2019-03-19,AEJ.MI,53.79,53.8,53.64,53.8,309
2019-03-20,AEJ.MI,53.54,53.54,53.32,53.32,375
2019-03-21,AEJ.MI,53.33,53.62,53.3,53.62,809
2019-03-22,AEJ.MI,53.69,53.69,53.08,53.14,1728
2019-03-25,AEJ.MI,52.8,53.04,52.8,53.04,4996
2019-03-26,AEJ.MI,52.97,53.37,52.97,53.23,926
2019-03-27,AEJ.MI,53.27,53.27,53.03,53.1,4280
2019-03-28,AEJ.MI,53.45,53.59,53.39,53.45,3566
2019-03-29,AEJ.MI,53.88,54.1,53.88,54.09,1329
2019-04-01,AEJ.MI,54.46,54.89,54.46,54.84,16700
2019-04-02,AEJ.MI,54.96,55.12,54.9,54.94,4851
2019-04-03,AEJ.MI,55.4,55.48,55.13,55.37,4847
2019-04-04,AEJ.MI,55.14,55.37,55.11,55.3,2944
2019-04-05,AEJ.MI,55.43,55.62,55.29,55.6,1519
2019-04-08,AEJ.MI,55.29,55.29,54.98,55.23,2457
2019-04-09,AEJ.MI,55.39,55.49,55.21,55.21,16179
2019-04-10,AEJ.MI,55.5,55.52,55.29,55.4,1374
2019-04-11,AEJ.MI,55.1,55.1,54.98,54.99,417
2019-04-12,AEJ.MI,55.0,55.43,55.0,55.26,2865
2019-04-15,AEJ.MI,55.08,55.23,54.94,54.96,1596
2019-04-16,AEJ.MI,55.26,55.47,55.26,55.43,2397
2019-04-17,AEJ.MI,55.38,55.7,55.38,55.53,1472
2019-04-18,AEJ.MI,55.47,55.69,55.33,55.61,5991
2019-04-23,AEJ.MI,55.33,55.68,55.22,55.68,3330
2019-04-24,AEJ.MI,55.36,55.52,55.26,55.37,6661
2019-04-25,AEJ.MI,55.37,55.37,55.37,55.37,0
2019-04-26,AEJ.MI,55.27,55.48,55.25,55.48,4234
2019-04-29,AEJ.MI,55.7,55.72,55.51,55.52,1064
2019-04-30,AEJ.MI,55.04,55.06,55.01,55.01,850
2019-05-02,AEJ.MI,55.43,55.44,55.15,55.18,3878
2019-05-03,AEJ.MI,55.58,55.85,55.58,55.77,5778
