Date,Ticker,Open,High,Low,Close,Volume
2018-04-05,AHYE.MI,217.66,217.66,217.52,217.52,101
2018-04-06,AHYE.MI,217.58,217.77,217.29,217.62,578
2018-04-09,AHYE.MI,218.35,218.35,217.52,217.88,1499
2018-04-10,AHYE.MI,218.2,218.45,217.9,218.29,1624
2018-04-11,AHYE.MI,218.1,218.8,217.59,218.55,1826
2018-04-12,AHYE.MI,219.95,219.95,218.66,219.22,1777
2018-04-13,AHYE.MI,219.36,220.1,219.36,219.81,4120
2018-04-16,AHYE.MI,217.09,220.14,217.09,219.88,1566
2018-04-17,AHYE.MI,218.0,220.39,217.07,220.37,1722
2018-04-18,AHYE.MI,220.0,220.25,219.55,219.55,8033
2018-04-19,AHYE.MI,218.93,219.79,218.93,219.23,2835
2018-04-20,AHYE.MI,219.29,219.3,218.88,219.09,2289
2018-04-23,AHYE.MI,219.09,219.78,218.81,219.02,1549
2018-04-24,AHYE.MI,218.8,219.18,218.7,218.94,1735
2018-04-25,AHYE.MI,218.53,218.93,218.53,218.67,292
2018-04-26,AHYE.MI,219.1,219.15,218.51,218.93,4492
2018-04-27,AHYE.MI,219.5,219.5,218.84,219.15,1379
2018-04-30,AHYE.MI,219.49,219.49,218.84,219.04,1598
2018-05-02,AHYE.MI,219.3,219.49,218.77,218.98,1186
2018-05-03,AHYE.MI,219.34,219.47,218.99,219.23,1449
2018-05-04,AHYE.MI,218.9,219.39,218.9,219.29,1603
2018-05-07,AHYE.MI,219.37,219.39,218.91,219.16,1641
2018-05-08,AHYE.MI,219.5,219.59,219.15,219.38,4043
2018-05-09,AHYE.MI,218.9,219.66,218.9,219.23,2632
2018-05-10,AHYE.MI,219.99,220.0,219.0,219.25,2673
2018-05-11,AHYE.MI,220.0,221.0,219.12,219.25,1593
2018-05-14,AHYE.MI,218.52,219.5,218.52,219.12,2274
2018-05-15,AHYE.MI,219.83,219.83,218.61,219.23,1393
2018-05-16,AHYE.MI,219.55,219.55,218.84,218.95,1658
2018-05-17,AHYE.MI,218.83,219.1,218.65,218.68,2073
2018-05-18,AHYE.MI,218.62,218.93,218.52,218.59,1464
2018-05-21,AHYE.MI,218.03,219.09,217.65,217.82,1631
2018-05-22,AHYE.MI,217.75,218.33,217.75,218.13,1466
2018-05-23,AHYE.MI,218.25,218.25,217.33,217.5,2286
