Date,Ticker,Open,High,Low,Close,Volume
2023-12-12,AIUU.MI,10.208,10.208,10.208,10.208,0
2023-12-13,AIUU.MI,10.208,10.208,10.208,10.208,0
2023-12-14,AIUU.MI,10.442,10.442,10.442,10.442,0
2023-12-15,AIUU.MI,10.462,10.462,10.462,10.462,0
2023-12-18,AIUU.MI,10.476,10.476,10.476,10.476,0
2023-12-19,AIUU.MI,10.544,10.544,10.544,10.544,0
2023-12-20,AIUU.MI,10.568,10.568,10.568,10.568,0
2023-12-21,AIUU.MI,10.496,10.496,10.496,10.496,0
2023-12-22,AIUU.MI,10.548,10.548,10.548,10.548,0
2023-12-27,AIUU.MI,10.59,10.59,10.59,10.59,0
2023-12-28,AIUU.MI,10.616,10.616,10.616,10.616,0
2023-12-29,AIUU.MI,10.58,10.58,10.58,10.58,0
2024-01-02,AIUU.MI,10.58,10.58,10.58,10.58,0
2024-01-03,AIUU.MI,10.408,10.408,10.408,10.408,0
2024-01-04,AIUU.MI,10.408,10.408,10.408,10.408,0
2024-01-05,AIUU.MI,10.384,10.384,10.384,10.384,0
2024-01-08,AIUU.MI,10.416,10.416,10.416,10.416,0
2024-01-09,AIUU.MI,10.504,10.504,10.504,10.504,0
2024-01-10,AIUU.MI,10.536,10.536,10.536,10.536,0
2024-01-11,AIUU.MI,10.514,10.514,10.514,10.514,0
2024-01-12,AIUU.MI,10.586,10.586,10.586,10.586,0
2024-01-15,AIUU.MI,10.586,10.586,10.586,10.586,0
2024-01-16,AIUU.MI,10.594,10.594,10.594,10.594,0
2024-01-17,AIUU.MI,10.516,10.516,10.516,10.516,0
2024-01-18,AIUU.MI,10.56,10.56,10.56,10.56,0
2024-01-19,AIUU.MI,10.624,10.624,10.624,10.624,0
2024-01-22,AIUU.MI,10.79,10.79,10.79,10.79,0
2024-01-23,AIUU.MI,10.776,10.776,10.776,10.776,0
2024-01-24,AIUU.MI,10.852,10.852,10.852,10.852,0
2024-01-25,AIUU.MI,10.852,10.852,10.852,10.852,0
2024-01-26,AIUU.MI,10.852,10.852,10.852,10.852,0
2024-01-29,AIUU.MI,10.852,10.852,10.852,10.852,0
2024-01-30,AIUU.MI,10.908,10.908,10.908,10.908,0
2024-01-31,AIUU.MI,10.808,10.808,10.808,10.808,0
2024-02-01,AIUU.MI,10.75,10.75,10.75,10.75,0
2024-02-02,AIUU.MI,10.906,10.906,10.906,10.906,0
2024-02-05,AIUU.MI,10.896,10.896,10.896,10.896,0
2024-02-06,AIUU.MI,10.91,10.91,10.91,10.91,0
2024-02-07,AIUU.MI,11.018,11.018,11.018,11.018,0
2024-02-08,AIUU.MI,11.036,11.036,11.036,11.036,0
2024-02-09,AIUU.MI,11.098,11.098,11.098,11.098,0
2024-02-12,AIUU.MI,11.18,11.18,11.18,11.18,0
2024-02-13,AIUU.MI,11.002,11.002,11.002,11.002,0
2024-02-14,AIUU.MI,11.002,11.002,11.002,11.002,0
