Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,AJEUAS.MI,129.1,129.1,129.1,129.1,0
2018-01-03,AJEUAS.MI,131.68,132.44,131.68,132.22,20748
2018-01-04,AJEUAS.MI,132.24,132.48,131.7,132.24,935
2018-01-05,AJEUAS.MI,132.24,132.24,132.24,132.24,0
2018-01-08,AJEUAS.MI,133.9,134.46,133.9,134.46,3
2018-01-09,AJEUAS.MI,134.46,134.46,134.46,134.46,0
2018-01-10,AJEUAS.MI,134.54,134.54,133.32,133.58,3723
2018-01-11,AJEUAS.MI,134.02,134.02,133.06,133.06,553
2018-01-12,AJEUAS.MI,133.06,133.06,133.06,133.06,0
2018-01-15,AJEUAS.MI,131.86,131.94,131.7,131.7,120
2018-01-16,AJEUAS.MI,133.42,133.42,133.24,133.24,27
2018-01-17,AJEUAS.MI,133.32,133.82,133.3,133.42,1363
2018-01-18,AJEUAS.MI,133.8,133.84,133.36,133.36,2
2018-01-19,AJEUAS.MI,133.36,133.36,133.36,133.36,0
2018-01-22,AJEUAS.MI,134.38,134.78,134.38,134.78,573
2018-01-23,AJEUAS.MI,136.4,136.4,136.0,136.0,609
2018-01-24,AJEUAS.MI,135.8,135.8,135.18,135.18,652
2018-01-25,AJEUAS.MI,135.18,135.18,135.18,135.18,0
2018-01-26,AJEUAS.MI,135.32,135.92,135.32,135.78,6
2018-01-29,AJEUAS.MI,135.48,135.82,135.26,135.78,5365
2018-01-30,AJEUAS.MI,134.26,134.26,133.18,133.18,1
2018-01-31,AJEUAS.MI,133.98,134.18,133.78,133.78,2676
2018-02-01,AJEUAS.MI,133.36,133.36,132.0,132.0,9
2018-02-02,AJEUAS.MI,130.34,130.34,129.98,130.08,714
2018-02-05,AJEUAS.MI,129.4,129.6,128.78,129.6,240
2018-02-06,AJEUAS.MI,125.2,126.52,124.82,126.34,3860
2018-02-07,AJEUAS.MI,126.52,127.66,126.52,127.66,2494
2018-02-08,AJEUAS.MI,126.42,126.76,124.2,124.28,4220
2018-02-09,AJEUAS.MI,122.5,123.58,122.2,122.2,1321
2018-02-12,AJEUAS.MI,124.12,124.2,123.88,123.88,5219
2018-02-13,AJEUAS.MI,124.94,124.96,123.72,124.46,880
2018-02-14,AJEUAS.MI,125.76,126.08,125.76,126.08,100
2018-02-15,AJEUAS.MI,126.62,129.06,126.62,128.22,2298
2018-02-16,AJEUAS.MI,128.42,129.52,128.42,129.52,48
2018-02-19,AJEUAS.MI,127.84,128.34,127.6,128.34,1156
2018-02-20,AJEUAS.MI,126.9,128.18,126.86,128.14,191
2018-02-21,AJEUAS.MI,128.82,129.92,128.76,129.92,102
2018-02-22,AJEUAS.MI,127.88,129.0,127.88,129.0,21
2018-02-23,AJEUAS.MI,129.0,129.0,129.0,129.0,0
2018-02-26,AJEUAS.MI,130.62,130.68,130.16,130.68,539
2018-02-27,AJEUAS.MI,130.68,130.68,130.68,130.68,0
2018-02-28,AJEUAS.MI,128.68,129.1,128.56,128.7,94
2018-03-01,AJEUAS.MI,129.24,129.7,128.72,128.72,680
2018-03-02,AJEUAS.MI,125.54,125.54,125.16,125.16,35
2018-03-05,AJEUAS.MI,125.9,125.9,125.56,125.9,331
2018-03-06,AJEUAS.MI,126.8,126.8,126.34,126.4,2
2018-03-07,AJEUAS.MI,125.18,126.28,125.18,126.28,240
2018-03-08,AJEUAS.MI,127.54,128.36,126.98,128.0,1193
2018-03-09,AJEUAS.MI,128.0,128.0,128.0,128.0,0
