Date,Ticker,Open,High,Low,Close,Volume
2022-09-01,BBSC.MI,23.56,23.615,23.43,23.43,13499
2022-09-02,BBSC.MI,23.43,23.43,23.43,23.43,0
2022-09-05,BBSC.MI,23.43,23.43,23.43,23.43,0
2022-09-06,BBSC.MI,23.525,23.525,23.48,23.48,400
2022-09-07,BBSC.MI,23.48,23.48,23.48,23.48,0
2022-09-08,BBSC.MI,23.595,24.005,23.595,24.005,400
2022-09-09,BBSC.MI,24.13,24.26,24.12,24.26,600
2022-09-12,BBSC.MI,24.36,24.375,24.36,24.365,6476
2022-09-13,BBSC.MI,24.365,24.365,24.365,24.365,0
2022-09-14,BBSC.MI,24.365,24.365,24.365,24.365,0
2022-09-15,BBSC.MI,24.365,24.365,24.365,24.365,0
2022-09-16,BBSC.MI,24.365,24.365,24.365,24.365,0
2022-09-19,BBSC.MI,24.365,24.365,24.365,24.365,0
2022-09-20,BBSC.MI,24.365,24.365,24.365,24.365,0
2022-09-21,BBSC.MI,23.445,23.66,23.445,23.66,200
2022-09-22,BBSC.MI,23.66,23.66,23.66,23.66,0
2022-09-23,BBSC.MI,22.385,22.385,22.25,22.34,1000
2022-09-26,BBSC.MI,22.35,22.655,22.35,22.44,400
2022-09-27,BBSC.MI,22.44,22.44,22.44,22.44,0
2022-09-28,BBSC.MI,22.705,22.78,22.705,22.78,200
2022-09-29,BBSC.MI,22.605,22.605,22.045,22.045,800
2022-09-30,BBSC.MI,22.215,22.44,22.19,22.44,600
2022-10-03,BBSC.MI,22.095,22.42,22.095,22.42,600
2022-10-04,BBSC.MI,22.42,22.42,22.42,22.42,0
2022-10-05,BBSC.MI,22.88,22.9,22.88,22.89,400
2022-10-06,BBSC.MI,23.13,23.25,23.075,23.195,600
2022-10-07,BBSC.MI,22.875,22.875,22.75,22.75,200
2022-10-10,BBSC.MI,22.75,22.75,22.75,22.75,0
2022-10-11,BBSC.MI,22.49,22.575,22.49,22.575,400
2022-10-12,BBSC.MI,22.695,22.695,22.48,22.48,400
2022-10-13,BBSC.MI,22.685,22.685,22.545,22.545,200
2022-10-14,BBSC.MI,22.87,22.87,22.615,22.615,200
2022-10-17,BBSC.MI,22.64,22.785,22.64,22.785,200
2022-10-18,BBSC.MI,22.785,22.785,22.785,22.785,0
2022-10-19,BBSC.MI,22.785,22.785,22.785,22.785,0
2022-10-20,BBSC.MI,22.765,22.79,22.765,22.79,6921
2022-10-21,BBSC.MI,22.79,22.79,22.79,22.79,0
2022-10-24,BBSC.MI,22.8,22.8,22.695,22.695,200
2022-10-25,BBSC.MI,22.695,22.695,22.695,22.695,0
2022-10-26,BBSC.MI,22.695,22.695,22.695,22.695,0
2022-10-27,BBSC.MI,23.135,23.425,23.135,23.425,200
2022-10-28,BBSC.MI,23.465,23.465,23.45,23.45,200
2022-10-31,BBSC.MI,23.96,23.97,23.96,23.97,200
2022-11-01,BBSC.MI,23.97,23.97,23.97,23.97,0
2022-11-02,BBSC.MI,23.97,23.97,23.97,23.97,0
2022-11-03,BBSC.MI,23.97,23.97,23.97,23.97,0
2022-11-04,BBSC.MI,23.97,23.97,23.97,23.97,0
2022-11-07,BBSC.MI,23.97,23.97,23.97,23.97,0
2022-11-08,BBSC.MI,23.97,23.97,23.97,23.97,0
2022-11-09,BBSC.MI,23.97,23.97,23.97,23.97,0
2022-11-10,BBSC.MI,23.97,23.97,23.97,23.97,0
2022-11-11,BBSC.MI,23.695,23.695,23.525,23.525,200
2022-11-14,BBSC.MI,23.605,23.605,23.41,23.41,200
2022-11-15,BBSC.MI,23.65,23.685,23.65,23.685,6756
2022-11-16,BBSC.MI,23.33,23.33,23.18,23.18,200
2022-11-17,BBSC.MI,23.18,23.18,23.18,23.18,0
2022-11-18,BBSC.MI,23.09,23.265,23.09,23.175,8451
2022-11-21,BBSC.MI,23.175,23.175,23.175,23.175,0
2022-11-22,BBSC.MI,23.29,23.385,23.29,23.385,200
2022-11-23,BBSC.MI,23.385,23.385,23.385,23.385,0
2022-11-24,BBSC.MI,23.385,23.385,23.385,23.385,0
2022-11-25,BBSC.MI,23.445,23.465,23.445,23.465,200
2022-11-28,BBSC.MI,23.465,23.465,23.465,23.465,0
2022-11-29,BBSC.MI,23.465,23.465,23.465,23.465,0
2022-11-30,BBSC.MI,23.465,23.465,23.465,23.465,0
2022-12-01,BBSC.MI,23.465,23.465,23.465,23.465,0
2022-12-02,BBSC.MI,23.465,23.465,23.465,23.465,0
2022-12-05,BBSC.MI,23.465,23.465,23.465,23.465,0
2022-12-06,BBSC.MI,23.465,23.465,23.465,23.465,0
2022-12-07,BBSC.MI,23.465,23.465,23.465,23.465,0
2022-12-08,BBSC.MI,23.465,23.465,23.465,23.465,0
2022-12-09,BBSC.MI,23.465,23.465,23.465,23.465,0
2022-12-12,BBSC.MI,23.465,23.465,23.465,23.465,0
2022-12-13,BBSC.MI,23.005,23.07,22.62,22.62,12025
2022-12-14,BBSC.MI,22.585,22.655,22.585,22.655,200
2022-12-15,BBSC.MI,22.655,22.655,22.655,22.655,0
2022-12-16,BBSC.MI,22.655,22.655,22.655,22.655,0
2022-12-19,BBSC.MI,22.655,22.655,22.655,22.655,0
2022-12-20,BBSC.MI,21.385,21.57,21.385,21.46,600
2022-12-21,BBSC.MI,21.98,21.995,21.98,21.995,200
2022-12-22,BBSC.MI,21.995,21.995,21.995,21.995,0
2022-12-23,BBSC.MI,21.73,21.73,21.575,21.575,51
2022-12-27,BBSC.MI,21.9,21.9,21.61,21.61,46
2022-12-28,BBSC.MI,21.61,21.61,21.61,21.61,0
2022-12-29,BBSC.MI,21.61,21.61,21.61,21.61,0
2022-12-30,BBSC.MI,21.61,21.61,21.61,21.61,0
2023-01-02,BBSC.MI,21.61,21.61,21.61,21.61,0
2023-01-03,BBSC.MI,21.61,21.61,21.61,21.61,0
2023-01-04,BBSC.MI,21.67,21.91,21.67,21.91,200
2023-01-05,BBSC.MI,21.91,21.91,21.91,21.91,0
2023-01-06,BBSC.MI,21.91,21.91,21.91,21.91,0
2023-01-09,BBSC.MI,22.13,22.21,22.13,22.21,200
2023-01-10,BBSC.MI,22.07,22.07,22.06,22.06,200
2023-01-11,BBSC.MI,22.06,22.06,22.06,22.06,0
2023-01-12,BBSC.MI,22.445,22.625,22.445,22.555,400
2023-01-13,BBSC.MI,22.555,22.555,22.555,22.555,0
2023-01-16,BBSC.MI,22.875,22.875,22.835,22.835,200
2023-01-17,BBSC.MI,22.835,22.835,22.835,22.835,0
2023-01-18,BBSC.MI,22.845,22.845,22.75,22.75,200
2023-01-19,BBSC.MI,22.75,22.75,22.75,22.75,0
2023-01-20,BBSC.MI,22.24,22.445,22.24,22.445,5120
2023-01-23,BBSC.MI,22.445,22.445,22.445,22.445,0
2023-01-24,BBSC.MI,22.445,22.445,22.445,22.445,0
2023-01-25,BBSC.MI,22.735,22.735,22.585,22.585,500
2023-01-26,BBSC.MI,22.585,22.585,22.585,22.585,0
2023-01-27,BBSC.MI,22.585,22.585,22.585,22.585,0
2023-01-30,BBSC.MI,22.96,23.065,22.96,23.065,400
2023-01-31,BBSC.MI,23.065,23.245,23.065,23.245,550
2023-02-01,BBSC.MI,23.31,23.31,23.3,23.3,200
2023-02-02,BBSC.MI,23.3,23.3,23.3,23.3,0
2023-02-03,BBSC.MI,24.075,24.3,24.075,24.3,6524
2023-02-06,BBSC.MI,24.125,24.125,24.095,24.095,200
2023-02-07,BBSC.MI,24.02,24.02,23.92,23.92,400
2023-02-08,BBSC.MI,24.075,24.075,23.955,23.955,200
2023-02-09,BBSC.MI,23.955,23.955,23.955,23.955,0
2023-02-10,BBSC.MI,23.585,23.67,23.585,23.67,200
2023-02-13,BBSC.MI,23.67,23.67,23.67,23.67,0
2023-02-14,BBSC.MI,23.905,23.905,23.735,23.735,200
2023-02-15,BBSC.MI,23.795,24.115,23.795,24.115,200
2023-02-16,BBSC.MI,24.115,24.115,24.115,24.115,0
2023-02-17,BBSC.MI,24.005,24.005,23.87,23.87,1200
2023-02-20,BBSC.MI,23.87,23.87,23.87,23.87,0
2023-02-21,BBSC.MI,23.785,23.79,23.44,23.44,400
2023-02-22,BBSC.MI,23.525,23.635,23.455,23.55,900
2023-02-23,BBSC.MI,23.55,23.55,23.55,23.55,0
2023-02-24,BBSC.MI,23.55,23.55,23.55,23.55,0
2023-02-27,BBSC.MI,23.8,23.8,23.7,23.7,130
2023-02-28,BBSC.MI,23.7,23.7,23.7,23.7,0
2023-03-01,BBSC.MI,23.7,23.7,23.7,23.7,0
2023-03-02,BBSC.MI,23.7,23.7,23.7,23.7,0
2023-03-03,BBSC.MI,23.755,23.8,23.755,23.8,200
2023-03-06,BBSC.MI,23.955,23.955,23.74,23.74,800
2023-03-07,BBSC.MI,23.6,23.64,23.565,23.565,600
2023-03-08,BBSC.MI,23.565,23.565,23.565,23.565,0
2023-03-09,BBSC.MI,23.565,23.565,23.565,23.565,0
2023-03-10,BBSC.MI,23.565,23.565,23.565,23.565,0
2023-03-13,BBSC.MI,21.435,21.61,21.435,21.61,4600
2023-03-14,BBSC.MI,21.95,22.12,21.95,22.03,7935
2023-03-15,BBSC.MI,21.83,21.83,21.5,21.565,600
2023-03-16,BBSC.MI,21.79,21.955,21.485,21.865,10856
2023-03-17,BBSC.MI,21.865,21.865,21.865,21.865,0
2023-03-20,BBSC.MI,21.34,21.465,21.34,21.465,200
2023-03-21,BBSC.MI,21.72,21.93,21.72,21.8,930
2023-03-22,BBSC.MI,21.73,21.73,21.68,21.68,200
2023-03-23,BBSC.MI,21.22,21.22,21.165,21.195,295
2023-03-24,BBSC.MI,21.14,21.175,21.135,21.135,800
2023-03-27,BBSC.MI,21.135,21.135,21.135,21.135,0
2023-03-28,BBSC.MI,21.505,21.505,21.35,21.465,1000
2023-03-29,BBSC.MI,21.65,21.675,21.575,21.575,1000
2023-03-30,BBSC.MI,21.805,21.805,21.66,21.66,200
2023-03-31,BBSC.MI,21.915,22.1,21.915,22.1,200
2023-04-03,BBSC.MI,22.13,22.13,21.885,21.885,400
2023-04-04,BBSC.MI,21.885,21.885,21.885,21.885,0
2023-04-05,BBSC.MI,21.455,21.455,21.31,21.31,200
2023-04-06,BBSC.MI,21.49,21.515,21.36,21.37,1000
2023-04-11,BBSC.MI,21.37,21.37,21.37,21.37,0
2023-04-12,BBSC.MI,21.37,21.37,21.37,21.37,0
2023-04-13,BBSC.MI,21.575,21.62,21.525,21.525,700
2023-04-14,BBSC.MI,21.665,21.665,21.59,21.59,200
2023-04-17,BBSC.MI,21.9,21.9,21.9,21.9,200
2023-04-18,BBSC.MI,21.965,21.965,21.76,21.76,200
2023-04-19,BBSC.MI,21.76,21.76,21.76,21.76,0
2023-04-20,BBSC.MI,21.685,21.755,21.685,21.755,200
2023-04-21,BBSC.MI,21.755,21.755,21.66,21.66,200
2023-04-24,BBSC.MI,21.695,21.695,21.55,21.55,200
2023-04-25,BBSC.MI,21.335,21.47,21.335,21.47,4862
2023-04-26,BBSC.MI,21.015,21.07,20.955,21.07,600
2023-04-27,BBSC.MI,20.955,21.025,20.955,21.025,400
2023-04-28,BBSC.MI,21.26,21.445,21.26,21.445,200
2023-05-02,BBSC.MI,21.445,21.445,21.445,21.445,0
2023-05-03,BBSC.MI,21.2,21.2,21.175,21.175,400
2023-05-04,BBSC.MI,20.935,20.95,20.725,20.795,800
2023-05-05,BBSC.MI,20.795,20.795,20.795,20.795,0
2023-05-08,BBSC.MI,20.795,20.795,20.795,20.795,0
2023-05-09,BBSC.MI,20.795,20.795,20.795,20.795,0
2023-05-10,BBSC.MI,21.35,21.36,21.35,21.36,200
2023-05-11,BBSC.MI,21.385,21.385,21.215,21.235,400
2023-05-12,BBSC.MI,21.235,21.235,21.235,21.235,0
2023-05-15,BBSC.MI,21.455,21.56,21.455,21.56,200
2023-05-16,BBSC.MI,21.48,21.48,21.365,21.38,1000
2023-05-17,BBSC.MI,21.605,21.605,21.58,21.58,200
2023-05-18,BBSC.MI,21.79,22.0,21.79,21.985,800
2023-05-19,BBSC.MI,22.165,22.17,21.825,21.825,600
2023-05-22,BBSC.MI,21.825,21.825,21.825,21.825,0
2023-05-23,BBSC.MI,22.19,22.275,22.19,22.255,400
2023-05-24,BBSC.MI,22.255,22.255,22.255,22.255,0
2023-05-25,BBSC.MI,21.74,21.795,21.565,21.57,1800
2023-05-26,BBSC.MI,21.67,21.84,21.65,21.84,400
2023-05-29,BBSC.MI,21.84,21.84,21.84,21.84,0
2023-05-30,BBSC.MI,22.035,22.085,21.83,21.83,400
2023-05-31,BBSC.MI,21.83,21.83,21.83,21.83,0
2023-06-01,BBSC.MI,21.83,21.83,21.83,21.83,0
2023-06-02,BBSC.MI,22.175,22.405,22.175,22.4,400
2023-06-05,BBSC.MI,22.655,22.655,22.265,22.39,1350
2023-06-06,BBSC.MI,22.45,22.945,22.41,22.91,8775
2023-06-07,BBSC.MI,23.17,23.265,23.135,23.265,7069
2023-06-08,BBSC.MI,23.26,23.29,22.93,22.94,900
2023-06-09,BBSC.MI,22.93,22.93,22.885,22.885,230
2023-06-12,BBSC.MI,23.0,23.045,23.0,23.005,417
2023-06-13,BBSC.MI,23.245,23.245,23.23,23.23,300
2023-06-14,BBSC.MI,23.15,23.175,23.15,23.175,200
2023-06-15,BBSC.MI,23.175,23.175,23.175,23.175,0
2023-06-16,BBSC.MI,22.845,22.845,22.79,22.79,200
2023-06-19,BBSC.MI,22.825,22.89,22.815,22.815,800
2023-06-20,BBSC.MI,22.79,22.79,22.66,22.66,600
2023-06-21,BBSC.MI,22.66,22.66,22.66,22.66,0
2023-06-22,BBSC.MI,22.66,22.66,22.66,22.66,0
2023-06-23,BBSC.MI,22.66,22.66,22.66,22.66,0
2023-06-26,BBSC.MI,22.38,22.38,22.33,22.33,200
2023-06-27,BBSC.MI,22.21,22.48,22.21,22.465,400
2023-06-28,BBSC.MI,22.585,22.7,22.585,22.7,200
2023-06-29,BBSC.MI,23.025,23.07,23.0,23.0,800
2023-06-30,BBSC.MI,23.0,23.0,23.0,23.0,0
2023-07-03,BBSC.MI,23.275,23.29,23.22,23.22,1000
2023-07-04,BBSC.MI,23.22,23.22,23.22,23.22,0
2023-07-05,BBSC.MI,23.045,23.145,22.99,23.145,600
2023-07-06,BBSC.MI,22.68,22.68,22.57,22.57,400
2023-07-07,BBSC.MI,22.75,22.945,22.7,22.945,830
2023-07-10,BBSC.MI,23.095,23.095,23.03,23.03,200
2023-07-11,BBSC.MI,23.315,23.34,23.23,23.23,4745
2023-07-12,BBSC.MI,23.53,23.53,23.385,23.385,1000
2023-07-13,BBSC.MI,23.25,23.275,23.25,23.275,400
2023-07-14,BBSC.MI,23.095,23.095,22.98,22.98,600
2023-07-17,BBSC.MI,23.12,23.155,23.12,23.155,400
2023-07-18,BBSC.MI,23.195,23.42,23.195,23.42,5752
2023-07-19,BBSC.MI,23.56,23.585,23.56,23.585,400
2023-07-20,BBSC.MI,23.45,23.535,23.45,23.535,200
2023-07-21,BBSC.MI,23.615,23.615,23.575,23.595,400
2023-07-24,BBSC.MI,23.76,23.76,23.62,23.62,200
2023-07-25,BBSC.MI,23.62,23.62,23.62,23.62,0
2023-07-26,BBSC.MI,23.72,23.82,23.655,23.72,600
2023-07-27,BBSC.MI,23.72,23.72,23.72,23.72,0
2023-07-28,BBSC.MI,23.715,23.885,23.715,23.885,5429
2023-07-31,BBSC.MI,23.885,23.885,23.885,23.885,0
2023-08-01,BBSC.MI,24.025,24.05,23.95,23.99,800
2023-08-02,BBSC.MI,23.905,23.905,23.83,23.83,200
2023-08-03,BBSC.MI,23.725,23.73,23.725,23.73,200
2023-08-04,BBSC.MI,23.655,23.685,23.655,23.685,400
2023-08-07,BBSC.MI,23.695,23.695,23.57,23.645,1000
2023-08-08,BBSC.MI,23.455,23.455,23.43,23.43,400
2023-08-09,BBSC.MI,23.465,23.465,23.405,23.405,200
2023-08-10,BBSC.MI,23.45,23.58,23.415,23.415,400
2023-08-11,BBSC.MI,23.35,23.36,23.35,23.36,200
2023-08-14,BBSC.MI,23.43,23.43,23.38,23.41,1000
2023-08-16,BBSC.MI,23.26,23.26,23.175,23.175,200
