Date,Ticker,Open,High,Low,Close,Volume
2018-11-12,BNKE.MI,87.9,87.9,86.62,86.62,417
2018-11-13,BNKE.MI,86.81,88.12,86.81,88.12,647
2018-11-14,BNKE.MI,87.02,88.14,86.79,87.51,28646
2018-11-15,BNKE.MI,87.88,87.88,85.97,86.67,10188
2018-11-16,BNKE.MI,87.01,87.04,85.74,86.02,3471
2018-11-19,BNKE.MI,87.09,87.09,85.98,85.98,852
2018-11-20,BNKE.MI,85.19,85.19,83.92,83.96,1231
2018-11-21,BNKE.MI,83.46,85.27,83.46,85.25,1247
2018-11-22,BNKE.MI,84.3,84.73,83.8,84.37,3037
2018-11-23,BNKE.MI,85.01,85.09,84.61,84.61,5662
2018-11-26,BNKE.MI,86.89,87.26,86.86,87.13,1298
2018-11-27,BNKE.MI,87.2,87.25,86.31,86.75,3426
2018-11-28,BNKE.MI,86.82,87.05,86.69,86.78,382
2018-11-29,BNKE.MI,87.35,87.35,86.28,86.72,1213
2018-11-30,BNKE.MI,86.0,86.15,85.6,85.89,2307
2018-12-03,BNKE.MI,87.48,87.9,87.37,87.37,204
2018-12-04,BNKE.MI,86.98,86.98,85.43,85.43,1280
2018-12-05,BNKE.MI,84.5,85.38,84.0,84.88,375
2018-12-06,BNKE.MI,83.95,83.95,81.01,81.11,34253
2018-12-07,BNKE.MI,81.52,82.46,81.4,81.4,3239
2018-12-10,BNKE.MI,81.0,81.2,79.16,79.16,3105
2018-12-11,BNKE.MI,79.28,80.32,79.17,79.37,6297
2018-12-12,BNKE.MI,79.79,81.83,79.79,81.72,2098
2018-12-13,BNKE.MI,82.9,83.45,82.12,82.12,2107
2018-12-14,BNKE.MI,80.62,81.5,80.27,81.5,1568
2018-12-17,BNKE.MI,80.95,81.37,80.27,80.27,2409
2018-12-18,BNKE.MI,80.28,80.76,79.9,79.98,672
2018-12-19,BNKE.MI,80.33,80.86,80.3,80.32,8636
2018-12-20,BNKE.MI,78.66,78.97,77.63,77.64,20947
2018-12-21,BNKE.MI,77.63,77.63,75.65,76.8,21599
2018-12-27,BNKE.MI,76.0,76.5,74.4,75.09,1200
2018-12-28,BNKE.MI,75.57,77.12,75.57,76.72,6461
2019-01-02,BNKE.MI,75.96,76.76,75.22,76.76,4211
2019-01-03,BNKE.MI,77.4,77.54,76.7,76.96,7435
2019-01-04,BNKE.MI,78.03,80.09,77.97,80.09,8179
2019-01-07,BNKE.MI,80.21,80.94,80.11,80.64,485
2019-01-08,BNKE.MI,80.61,81.75,80.61,80.99,593
2019-01-09,BNKE.MI,81.2,81.42,80.79,80.84,853
2019-01-10,BNKE.MI,79.87,81.08,79.87,81.08,3054
2019-01-11,BNKE.MI,81.06,81.47,80.89,81.27,1136
2019-01-14,BNKE.MI,80.91,81.23,80.28,80.94,2247
2019-01-15,BNKE.MI,81.91,81.91,79.86,80.85,14223
2019-01-16,BNKE.MI,81.42,83.45,81.42,83.45,4804
2019-01-17,BNKE.MI,82.25,82.79,81.86,81.92,7061
2019-01-18,BNKE.MI,83.0,83.59,83.0,83.59,12908
2019-01-21,BNKE.MI,83.01,83.12,82.86,83.06,2289
2019-01-22,BNKE.MI,82.52,82.52,81.85,82.28,6139
2019-01-23,BNKE.MI,81.9,83.63,81.88,83.17,8616
