Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,BRA.MI,17.234,17.63,17.166,17.598,14107
2018-01-03,BRA.MI,17.56,17.822,17.462,17.804,17660
2018-01-04,BRA.MI,17.836,18.1,17.786,18.066,16594
2018-01-05,BRA.MI,18.026,18.062,17.804,18.062,13732
2018-01-08,BRA.MI,18.08,18.5,17.996,18.192,9136
2018-01-09,BRA.MI,18.38,18.38,18.154,18.2,12828
2018-01-10,BRA.MI,18.01,18.116,17.692,18.064,9018
2018-01-11,BRA.MI,18.198,18.198,17.998,18.096,11630
2018-01-12,BRA.MI,18.19,18.29,17.932,18.076,22314
2018-01-15,BRA.MI,17.86,18.166,17.86,18.122,8285
2018-01-16,BRA.MI,17.988,18.278,17.988,18.068,32996
2018-01-17,BRA.MI,18.012,18.212,18.012,18.174,6565
2018-01-18,BRA.MI,18.3,18.45,18.3,18.344,9352
2018-01-19,BRA.MI,18.28,18.46,18.28,18.418,4856
2018-01-22,BRA.MI,18.49,18.58,18.426,18.466,10176
2018-01-23,BRA.MI,18.504,18.6,18.122,18.208,14681
2018-01-24,BRA.MI,18.172,18.68,18.06,18.556,17898
2018-01-25,BRA.MI,18.65,19.21,18.65,19.186,47757
2018-01-26,BRA.MI,19.196,19.49,19.114,19.47,48305
2018-01-29,BRA.MI,19.49,19.548,19.228,19.25,16922
2018-01-30,BRA.MI,19.052,19.184,18.862,18.898,64076
2018-01-31,BRA.MI,19.048,19.542,18.962,19.27,25300
2018-02-01,BRA.MI,19.298,19.35,19.074,19.228,14005
2018-02-02,BRA.MI,19.6,19.6,18.614,18.72,28942
2018-02-05,BRA.MI,18.6,18.636,18.302,18.536,15277
2018-02-06,BRA.MI,17.95,18.414,17.41,18.29,50738
2018-02-07,BRA.MI,18.202,18.742,18.202,18.688,19411
2018-02-08,BRA.MI,18.284,18.6,18.092,18.114,11026
2018-02-09,BRA.MI,18.1,18.1,17.748,17.77,6881
2018-02-12,BRA.MI,18.02,18.28,18.02,18.168,1021
2018-02-13,BRA.MI,18.028,18.16,17.942,18.124,13199
2018-02-14,BRA.MI,18.214,18.342,18.01,18.286,6894
2018-02-15,BRA.MI,18.576,19.0,18.55,18.64,7769
2018-02-16,BRA.MI,18.8,18.8,18.524,18.736,4943
2018-02-19,BRA.MI,18.752,18.922,18.752,18.844,4161
2018-02-20,BRA.MI,18.88,19.068,18.676,19.048,3851
2018-02-21,BRA.MI,19.132,19.268,19.056,19.246,8864
2018-02-22,BRA.MI,18.906,19.362,18.906,19.314,7940
2018-02-23,BRA.MI,19.448,19.508,19.218,19.284,17767
2018-02-26,BRA.MI,19.452,19.73,19.418,19.61,9576
2018-02-27,BRA.MI,19.61,19.724,19.378,19.462,78961
2018-02-28,BRA.MI,19.336,19.596,19.3,19.31,10724
2018-03-01,BRA.MI,19.28,19.332,19.048,19.198,4900
2018-03-02,BRA.MI,19.0,19.106,18.59,18.702,16829
2018-03-05,BRA.MI,18.866,19.05,18.86,19.05,7959
2018-03-06,BRA.MI,19.19,19.322,19.13,19.13,16271
2018-03-07,BRA.MI,18.826,18.906,18.766,18.82,8369
2018-03-08,BRA.MI,18.792,18.93,18.692,18.744,1745
2018-03-09,BRA.MI,18.806,19.21,18.804,19.192,7350
2018-03-12,BRA.MI,19.152,19.308,19.152,19.196,3152
2018-03-13,BRA.MI,19.286,19.376,19.0,19.012,5401
2018-03-14,BRA.MI,19.12,19.144,18.914,18.914,17720
2018-03-15,BRA.MI,18.968,19.032,18.652,18.73,10781
2018-03-16,BRA.MI,18.684,18.8,18.43,18.71,39215
2018-03-19,BRA.MI,18.806,18.806,18.368,18.406,6663
2018-03-20,BRA.MI,18.57,18.57,18.396,18.526,20441
2018-03-21,BRA.MI,18.52,18.672,18.438,18.672,5388
2018-03-22,BRA.MI,18.534,18.77,18.476,18.566,26496
2018-03-23,BRA.MI,18.2,18.4,18.2,18.328,9113
2018-03-26,BRA.MI,18.49,18.552,18.226,18.268,1469
2018-03-27,BRA.MI,18.308,18.512,18.198,18.288,39357
2018-03-28,BRA.MI,18.05,18.122,17.75,17.856,31573
2018-03-29,BRA.MI,18.25,18.51,18.196,18.51,14213
2018-04-03,BRA.MI,18.65,18.68,18.428,18.592,16078
2018-04-04,BRA.MI,18.326,18.326,17.776,18.106,5984
2018-04-05,BRA.MI,18.43,18.998,18.42,18.722,27287
2018-04-06,BRA.MI,18.456,18.456,18.03,18.078,12819
2018-04-09,BRA.MI,18.292,18.364,17.92,17.94,14243
2018-04-10,BRA.MI,17.962,17.962,17.448,17.76,25166
2018-04-11,BRA.MI,17.592,18.006,17.592,18.006,15366
2018-04-12,BRA.MI,18.028,18.36,18.028,18.16,19765
