Date,Ticker,Open,High,Low,Close,Volume
2024-04-29,BT27.MI,10.042,10.042,10.042,10.042,0
2024-04-30,BT27.MI,10.015,10.015,10.015,10.015,0
2024-05-02,BT27.MI,10.03,10.03,10.03,10.03,0
2024-05-03,BT27.MI,10.051,10.051,10.051,10.051,0
2024-05-06,BT27.MI,10.059,10.059,10.059,10.059,0
2024-05-07,BT27.MI,10.065,10.065,10.065,10.065,0
2024-05-08,BT27.MI,10.058,10.058,10.058,10.058,0
2024-05-09,BT27.MI,10.051,10.051,10.051,10.051,0
2024-05-10,BT27.MI,10.046,10.046,10.046,10.046,0
2024-05-13,BT27.MI,10.052,10.052,10.052,10.052,0
2024-05-14,BT27.MI,10.043,10.043,10.043,10.043,0
2024-05-15,BT27.MI,10.083,10.083,10.083,10.083,0
2024-05-16,BT27.MI,10.08,10.08,10.08,10.08,0
2024-05-17,BT27.MI,10.062,10.062,10.062,10.062,0
2024-05-20,BT27.MI,10.061,10.061,10.061,10.061,0
2024-05-21,BT27.MI,10.067,10.067,10.067,10.067,0
2024-05-22,BT27.MI,10.058,10.058,10.058,10.058,0
2024-05-23,BT27.MI,10.03,10.03,10.03,10.03,0
2024-05-24,BT27.MI,10.032,10.032,10.032,10.032,0
2024-05-27,BT27.MI,10.043,10.043,10.043,10.043,0
2024-05-28,BT27.MI,10.041,10.041,10.041,10.041,0
2024-05-29,BT27.MI,10.034,10.034,10.034,10.034,0
2024-05-30,BT27.MI,10.042,10.042,10.042,10.042,0
2024-05-31,BT27.MI,10.043,10.043,10.043,10.043,0
2024-06-03,BT27.MI,10.065,10.065,10.065,10.065,0
2024-06-04,BT27.MI,10.075,10.075,10.075,10.075,0
2024-06-05,BT27.MI,10.085,10.085,10.085,10.085,0
2024-06-06,BT27.MI,10.068,10.068,10.068,10.068,0
2024-06-07,BT27.MI,10.039,10.039,10.039,10.039,0
2024-06-10,BT27.MI,10.024,10.024,10.024,10.024,0
2024-06-11,BT27.MI,10.031,10.031,10.031,10.031,0
2024-06-12,BT27.MI,10.066,10.066,10.066,10.066,0
2024-06-13,BT27.MI,10.059,10.059,10.059,10.059,0
2024-06-14,BT27.MI,10.077,10.077,10.077,10.077,0
2024-06-17,BT27.MI,10.072,10.072,10.072,10.072,0
2024-06-18,BT27.MI,10.086,10.086,10.086,10.086,0
2024-06-19,BT27.MI,10.076,10.076,10.076,10.076,0
2024-06-20,BT27.MI,10.081,10.081,10.081,10.081,0
2024-06-21,BT27.MI,10.088,10.088,10.088,10.088,0
2024-06-24,BT27.MI,10.094,10.094,10.094,10.094,0
2024-06-25,BT27.MI,10.092,10.092,10.092,10.092,0
2024-06-26,BT27.MI,10.075,10.075,10.075,10.075,0
2024-06-27,BT27.MI,10.07,10.07,10.07,10.07,0
2024-06-28,BT27.MI,10.066,10.066,10.066,10.066,0
2024-07-01,BT27.MI,10.061,10.061,10.061,10.061,0
2024-07-02,BT27.MI,10.073,10.073,10.073,10.073,0
2024-07-03,BT27.MI,10.085,10.085,10.085,10.085,0
2024-07-04,BT27.MI,10.079,10.079,10.079,10.079,0
2024-07-05,BT27.MI,10.103,10.103,10.103,10.103,0
2024-07-08,BT27.MI,10.115,10.115,10.115,10.115,0
2024-07-09,BT27.MI,10.099,10.099,10.099,10.099,0
2024-07-10,BT27.MI,10.123,10.123,10.123,10.123,0
2024-07-11,BT27.MI,10.156,10.156,10.156,10.156,0
2024-07-12,BT27.MI,10.153,10.153,10.153,10.153,0
2024-07-15,BT27.MI,10.167,10.167,10.167,10.167,0
2024-07-16,BT27.MI,10.175,10.175,10.175,10.175,0
2024-07-17,BT27.MI,10.168,10.168,10.168,10.168,0
2024-07-18,BT27.MI,10.182,10.182,10.182,10.182,0
2024-07-19,BT27.MI,10.171,10.171,10.171,10.171,0
2024-07-22,BT27.MI,10.167,10.167,10.167,10.167,0
2024-07-23,BT27.MI,10.172,10.172,10.172,10.172,0
2024-07-24,BT27.MI,10.177,10.177,10.177,10.177,0
2024-07-25,BT27.MI,10.188,10.188,10.188,10.188,0
2024-07-26,BT27.MI,10.193,10.193,10.193,10.193,0
