Date,Ticker,Open,High,Low,Close,Volume
2018-02-15,C40.MI,72.84,72.88,72.56,72.56,56
2018-02-16,C40.MI,73.04,73.47,73.04,73.47,221
2018-02-19,C40.MI,73.55,73.55,73.06,73.06,519
2018-02-20,C40.MI,73.2,73.59,73.2,73.59,230
2018-02-21,C40.MI,73.24,73.75,73.24,73.75,12
2018-02-22,C40.MI,73.21,73.98,73.21,73.98,290
2018-02-23,C40.MI,73.81,73.94,73.65,73.94,1509
2018-02-26,C40.MI,74.37,74.46,74.2,74.46,546
2018-02-27,C40.MI,74.38,74.46,74.17,74.26,128
2018-02-28,C40.MI,74.26,74.26,74.26,74.26,0
2018-03-01,C40.MI,73.85,73.85,73.12,73.12,1763
2018-03-02,C40.MI,72.33,72.33,71.35,71.44,5547
2018-03-05,C40.MI,71.59,71.99,71.59,71.99,277
2018-03-06,C40.MI,72.31,72.42,71.94,71.94,6028
2018-03-07,C40.MI,71.52,72.14,71.5,72.14,676
2018-03-08,C40.MI,72.49,73.12,72.47,73.12,36
2018-03-09,C40.MI,73.09,73.23,72.96,73.23,1505
2018-03-12,C40.MI,73.4,73.51,73.23,73.35,1642
2018-03-13,C40.MI,73.65,73.71,72.73,72.73,49
2018-03-14,C40.MI,72.96,73.14,72.7,72.85,4311
2018-03-15,C40.MI,73.01,73.32,72.88,73.32,5283
2018-03-16,C40.MI,73.32,73.32,73.32,73.32,0
2018-03-19,C40.MI,73.25,73.27,72.67,72.67,19383
2018-03-20,C40.MI,72.75,73.1,72.58,73.1,90
2018-03-21,C40.MI,72.96,73.04,72.92,72.92,2767
2018-03-22,C40.MI,72.84,72.84,71.66,71.76,6884
2018-03-23,C40.MI,71.12,71.18,70.69,71.04,1899
2018-03-26,C40.MI,71.08,71.22,70.33,70.44,4742
2018-03-27,C40.MI,71.48,71.67,70.99,71.21,9412
2018-03-28,C40.MI,70.51,71.19,70.18,71.19,1897
2018-03-29,C40.MI,71.82,72.12,71.82,72.05,246
2018-04-03,C40.MI,71.67,71.91,71.33,71.79,1691
2018-04-04,C40.MI,71.78,71.78,71.37,71.59,6452
2018-04-05,C40.MI,72.48,73.5,72.48,73.5,8994
2018-04-06,C40.MI,73.15,73.4,73.09,73.1,1760
2018-04-09,C40.MI,73.38,73.64,73.25,73.25,12712
2018-04-10,C40.MI,73.94,73.94,73.52,73.88,25857
2018-04-11,C40.MI,73.57,73.74,73.35,73.43,2407
2018-04-12,C40.MI,73.54,73.88,73.42,73.88,4279
2018-04-13,C40.MI,74.2,74.2,73.91,74.01,300
2018-04-16,C40.MI,74.05,74.05,73.88,74.0,5284
2018-04-17,C40.MI,74.22,74.76,74.22,74.76,1301
2018-04-18,C40.MI,74.77,75.0,74.77,75.0,5019
2018-04-19,C40.MI,75.13,75.22,75.13,75.22,100
2018-04-20,C40.MI,75.09,75.51,75.09,75.4,1088
2018-04-23,C40.MI,75.24,75.87,75.24,75.87,632
2018-04-24,C40.MI,75.83,75.88,75.8,75.88,1181
2018-04-25,C40.MI,75.53,75.57,75.53,75.57,1301
2018-04-26,C40.MI,75.74,76.24,75.74,76.21,4420
2018-04-27,C40.MI,76.48,76.52,76.48,76.52,120
2018-04-30,C40.MI,76.5,77.05,76.5,77.05,7086
2018-05-02,C40.MI,77.17,77.41,77.17,77.41,6340
2018-05-03,C40.MI,77.28,77.33,76.95,77.01,16048
2018-05-04,C40.MI,77.04,77.32,76.96,77.32,3975
2018-05-07,C40.MI,77.31,77.61,77.29,77.61,6718
2018-05-08,C40.MI,77.45,77.67,77.12,77.42,733
2018-05-09,C40.MI,77.46,77.6,77.46,77.6,1672
2018-05-10,C40.MI,77.6,77.8,77.51,77.8,1554
2018-05-11,C40.MI,77.82,78.01,77.69,77.94,26767
2018-05-14,C40.MI,77.97,78.01,77.83,78.01,10434
2018-05-15,C40.MI,77.82,78.18,77.82,78.16,21737
2018-05-16,C40.MI,78.35,78.44,78.05,78.44,7471
2018-05-17,C40.MI,78.62,79.0,78.62,79.0,501
2018-05-18,C40.MI,78.94,79.23,78.94,78.99,1563
2018-05-21,C40.MI,79.32,79.59,79.32,79.46,1015
2018-05-22,C40.MI,79.44,79.67,79.42,79.67,10881
2018-05-23,C40.MI,79.25,79.25,78.4,78.5,1028
2018-05-24,C40.MI,78.84,78.84,78.3,78.3,250
2018-05-25,C40.MI,78.51,78.72,77.88,78.19,12037
2018-05-28,C40.MI,78.31,78.69,77.94,77.94,16377
2018-05-29,C40.MI,77.4,77.46,76.63,76.91,6737
2018-05-30,C40.MI,76.82,76.92,76.67,76.91,685
2018-05-31,C40.MI,77.24,77.29,76.47,76.85,4291
2018-06-01,C40.MI,77.52,77.9,77.52,77.65,4244
2018-06-04,C40.MI,78.0,78.0,77.89,77.89,33
2018-06-05,C40.MI,77.72,78.11,77.72,77.8,2438
2018-06-06,C40.MI,77.91,77.91,77.58,77.66,1309
2018-06-07,C40.MI,78.02,78.07,77.66,77.66,354
2018-06-08,C40.MI,77.12,77.61,76.98,77.58,4563
2018-06-11,C40.MI,78.1,78.19,77.88,78.19,1736
2018-06-12,C40.MI,78.34,78.34,77.8,77.8,535
2018-06-13,C40.MI,77.8,78.02,77.8,77.91,2440
2018-06-14,C40.MI,77.37,79.03,77.18,79.03,14232
2018-06-15,C40.MI,79.15,79.27,78.63,78.63,11785
2018-06-18,C40.MI,77.77,77.77,77.35,77.74,612
2018-06-19,C40.MI,76.85,76.95,76.6,76.95,487
2018-06-20,C40.MI,77.15,77.15,76.76,76.8,313
2018-06-21,C40.MI,76.35,76.44,75.81,75.88,1025
2018-06-22,C40.MI,76.21,76.92,76.21,76.88,7934
2018-06-25,C40.MI,76.38,76.38,75.52,75.52,393
2018-06-26,C40.MI,75.6,75.67,75.54,75.54,115
2018-06-27,C40.MI,75.28,76.65,74.99,76.0,4279
2018-06-28,C40.MI,75.73,75.85,74.95,75.2,3239
2018-06-29,C40.MI,76.27,76.32,76.14,76.14,15457
2018-07-02,C40.MI,75.18,75.3,75.18,75.3,258
2018-07-03,C40.MI,75.84,76.06,75.84,75.9,1079
2018-07-04,C40.MI,75.85,76.11,75.83,75.89,2872
2018-07-05,C40.MI,76.15,76.98,76.15,76.6,5266
2018-07-06,C40.MI,76.6,76.6,76.6,76.6,0
2018-07-09,C40.MI,77.17,77.2,76.88,77.2,77
2018-07-10,C40.MI,77.2,77.2,77.2,77.2,0
2018-07-11,C40.MI,76.85,76.85,76.45,76.45,4321
