Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,CAPU.MI,515.0,520.2,514.8,520.2,15
2018-01-03,CAPU.MI,520.9,524.0,520.9,524.0,24
2018-01-04,CAPU.MI,524.0,524.5,523.7,523.7,329
2018-01-05,CAPU.MI,527.1,528.5,527.1,528.5,8
2018-01-08,CAPU.MI,531.9,532.5,531.7,532.5,72
2018-01-09,CAPU.MI,536.3,538.1,535.3,538.1,139
2018-01-10,CAPU.MI,529.2,536.3,529.2,534.5,42
2018-01-11,CAPU.MI,537.4,537.4,533.3,534.5,59
2018-01-12,CAPU.MI,534.7,536.3,534.7,536.3,63
2018-01-15,CAPU.MI,532.2,534.5,532.2,533.7,41
2018-01-16,CAPU.MI,537.0,537.0,536.5,536.5,67
2018-01-17,CAPU.MI,534.6,534.6,534.1,534.1,230
2018-01-18,CAPU.MI,536.0,536.6,534.4,534.8,391
2018-01-19,CAPU.MI,532.6,536.9,532.6,536.9,119
2018-01-22,CAPU.MI,536.1,537.5,535.9,536.5,251
2018-01-23,CAPU.MI,549.9,549.9,539.3,541.2,455
2018-01-24,CAPU.MI,539.4,539.4,536.2,536.2,71
2018-01-25,CAPU.MI,534.4,535.6,530.7,531.7,138
2018-01-26,CAPU.MI,534.7,538.7,534.4,538.4,339
2018-01-29,CAPU.MI,542.2,545.3,542.2,545.3,170
2018-01-30,CAPU.MI,540.7,540.7,536.3,536.5,224
2018-01-31,CAPU.MI,534.0,535.3,533.5,533.5,322
2018-02-01,CAPU.MI,528.7,534.7,528.7,531.0,48
2018-02-02,CAPU.MI,526.3,528.5,524.8,527.7,211
2018-02-05,CAPU.MI,517.9,523.9,517.4,521.5,192
2018-02-06,CAPU.MI,493.65,501.1,492.0,501.1,191
2018-02-07,CAPU.MI,508.3,522.7,508.3,514.0,353
2018-02-08,CAPU.MI,515.0,515.0,508.2,508.2,44
2018-02-09,CAPU.MI,501.4,501.4,489.0,495.7,154
2018-02-12,CAPU.MI,508.0,509.0,506.4,506.4,42
2018-02-13,CAPU.MI,504.2,504.2,502.9,503.8,65
2018-02-14,CAPU.MI,508.5,508.5,507.2,508.2,55
2018-02-15,CAPU.MI,511.7,513.0,509.6,510.6,175
2018-02-16,CAPU.MI,515.4,519.9,515.4,519.9,104
2018-02-19,CAPU.MI,520.2,520.2,518.9,518.9,287
2018-02-20,CAPU.MI,518.3,523.0,518.2,523.0,33
2018-02-21,CAPU.MI,518.3,524.8,518.2,524.8,200
2018-02-22,CAPU.MI,521.0,523.3,520.6,523.3,152
2018-02-23,CAPU.MI,521.7,523.6,521.7,523.6,37
2018-02-26,CAPU.MI,527.8,530.9,527.6,530.9,34
