Date,Ticker,Open,High,Low,Close,Volume
2018-04-05,CB3.MI,231.88,231.93,231.75,231.75,682
2018-04-06,CB3.MI,231.69,231.99,231.69,231.99,71
2018-04-09,CB3.MI,231.91,232.05,231.83,231.94,17655
2018-04-10,CB3.MI,231.87,231.94,231.65,231.68,2724
2018-04-11,CB3.MI,231.88,231.88,231.8,231.81,1461
2018-04-12,CB3.MI,231.64,231.8,231.5,231.62,12358
2018-04-13,CB3.MI,231.42,231.63,231.42,231.63,601
2018-04-16,CB3.MI,231.54,231.7,231.54,231.59,566
2018-04-17,CB3.MI,231.69,232.07,231.69,232.0,557
2018-04-18,CB3.MI,232.09,232.26,232.05,232.08,524
2018-04-19,CB3.MI,231.14,231.38,231.09,231.09,593
2018-04-20,CB3.MI,230.99,231.21,230.99,231.21,591
2018-04-23,CB3.MI,230.75,230.75,230.72,230.72,913
2018-04-24,CB3.MI,230.48,230.82,230.43,230.82,762
2018-04-25,CB3.MI,230.82,230.82,230.82,230.82,0
2018-04-26,CB3.MI,231.0,231.28,231.0,231.28,4687
2018-04-27,CB3.MI,231.67,231.7,231.48,231.59,609
2018-04-30,CB3.MI,231.28,231.38,231.28,231.38,562
2018-05-02,CB3.MI,231.25,231.55,231.0,231.15,543
2018-05-03,CB3.MI,231.55,231.79,231.55,231.79,247
2018-05-04,CB3.MI,231.41,231.5,231.25,231.25,412
2018-05-07,CB3.MI,231.33,231.69,231.31,231.62,456
2018-05-08,CB3.MI,230.93,231.0,230.78,230.78,518
2018-05-09,CB3.MI,230.66,230.97,230.63,230.88,2778
2018-05-10,CB3.MI,231.06,231.06,230.7,230.7,553
2018-05-11,CB3.MI,230.92,230.96,230.9,230.96,371
2018-05-14,CB3.MI,230.4,230.56,230.33,230.33,650
2018-05-15,CB3.MI,229.88,229.95,229.8,229.8,606
2018-05-16,CB3.MI,229.76,229.76,229.24,229.24,1424
2018-05-17,CB3.MI,229.21,229.21,228.89,229.01,1289
2018-05-18,CB3.MI,228.72,229.01,228.65,229.01,623
2018-05-21,CB3.MI,228.51,228.68,228.46,228.46,535
2018-05-22,CB3.MI,228.49,228.61,228.49,228.51,548
2018-05-23,CB3.MI,228.44,228.62,228.44,228.62,690
2018-05-24,CB3.MI,228.95,229.28,228.95,229.26,674
2018-05-25,CB3.MI,228.91,229.29,228.87,229.29,1399
2018-05-28,CB3.MI,228.8,228.88,228.71,228.71,721
2018-05-29,CB3.MI,226.61,227.46,226.61,226.96,1417
2018-05-30,CB3.MI,227.2,227.24,226.84,226.84,738
2018-05-31,CB3.MI,228.6,228.6,228.52,228.52,791
2018-06-01,CB3.MI,228.95,229.16,228.66,228.66,823
2018-06-04,CB3.MI,229.43,229.56,229.23,229.23,801
2018-06-05,CB3.MI,228.86,228.86,228.82,228.82,1038
2018-06-06,CB3.MI,227.52,227.55,227.0,227.0,1372
2018-06-07,CB3.MI,226.75,227.02,226.56,226.56,1778
2018-06-08,CB3.MI,226.93,226.93,226.27,226.36,6808
2018-06-11,CB3.MI,226.86,227.05,226.86,227.01,1062
2018-06-12,CB3.MI,226.96,227.22,226.96,227.04,885
2018-06-13,CB3.MI,227.54,227.65,227.54,227.61,1065
2018-06-14,CB3.MI,227.18,228.4,226.96,228.38,3552
2018-06-15,CB3.MI,229.54,229.54,229.18,229.18,957
2018-06-18,CB3.MI,229.15,229.64,229.15,229.48,715
2018-06-19,CB3.MI,229.86,229.86,229.8,229.83,643
2018-06-20,CB3.MI,229.77,229.9,229.75,229.75,875
2018-06-21,CB3.MI,229.18,229.35,229.02,229.06,816
2018-06-22,CB3.MI,229.35,229.35,229.01,229.01,194
2018-06-25,CB3.MI,228.48,228.8,228.48,228.65,1033
2018-06-26,CB3.MI,228.46,228.46,228.0,228.18,3082
2018-06-27,CB3.MI,228.88,228.96,228.88,228.92,1027
2018-06-28,CB3.MI,229.04,229.26,229.04,229.2,862
2018-06-29,CB3.MI,229.85,230.16,229.85,230.09,1137
2018-07-02,CB3.MI,230.15,230.46,229.94,230.46,2141
2018-07-03,CB3.MI,230.34,230.68,230.34,230.68,605
2018-07-04,CB3.MI,230.36,230.58,230.36,230.54,246
2018-07-05,CB3.MI,229.98,230.28,229.98,230.27,315
2018-07-06,CB3.MI,230.37,230.47,230.19,230.2,487
2018-07-09,CB3.MI,230.26,230.26,230.03,230.22,355
2018-07-10,CB3.MI,230.01,230.14,230.01,230.06,396
2018-07-11,CB3.MI,230.2,230.38,230.02,230.07,306
2018-07-12,CB3.MI,230.3,230.35,230.3,230.35,331
2018-07-13,CB3.MI,230.92,230.93,230.73,230.73,472
2018-07-16,CB3.MI,230.56,230.56,230.28,230.39,545
2018-07-17,CB3.MI,230.67,231.12,230.67,231.0,436
2018-07-18,CB3.MI,230.99,231.19,230.84,230.84,926
2018-07-19,CB3.MI,231.07,231.07,230.87,230.95,263
2018-07-20,CB3.MI,230.74,230.74,230.22,230.22,258
2018-07-23,CB3.MI,230.08,230.08,229.72,229.72,475
2018-07-24,CB3.MI,229.61,229.8,229.6,229.8,403
2018-07-25,CB3.MI,229.96,230.14,229.94,229.97,742
2018-07-26,CB3.MI,229.57,229.78,229.57,229.78,1898
2018-07-27,CB3.MI,229.74,229.82,229.57,229.57,266
2018-07-30,CB3.MI,228.86,228.99,228.83,228.83,492
2018-07-31,CB3.MI,229.08,229.24,229.0,229.24,315
2018-08-01,CB3.MI,228.86,228.92,228.42,228.42,465
2018-08-02,CB3.MI,228.2,228.27,228.13,228.13,329
2018-08-03,CB3.MI,228.29,228.59,228.29,228.59,348
2018-08-06,CB3.MI,228.81,229.09,228.81,228.98,385
2018-08-07,CB3.MI,228.9,228.98,228.88,228.88,290
2018-08-08,CB3.MI,229.0,229.0,228.85,228.85,135
2018-08-09,CB3.MI,229.01,229.09,229.01,229.06,414
2018-08-10,CB3.MI,229.27,229.36,229.12,229.12,182
2018-08-13,CB3.MI,228.63,228.71,228.57,228.57,205
2018-08-14,CB3.MI,228.75,228.85,228.73,228.73,143
2018-08-16,CB3.MI,228.69,228.78,228.63,228.63,65
2018-08-17,CB3.MI,228.5,228.66,228.5,228.66,25
2018-08-20,CB3.MI,228.94,229.17,228.94,229.17,34
