Date,Ticker,Open,High,Low,Close,Volume
2018-10-29,CBEF.MI,132.55,132.57,132.55,132.56,162
2018-10-30,CBEF.MI,132.67,132.67,132.41,132.46,184
2018-10-31,CBEF.MI,132.21,132.47,132.19,132.28,159
2018-11-01,CBEF.MI,132.28,132.28,132.28,132.28,0
2018-11-02,CBEF.MI,131.93,132.16,131.92,132.16,275
2018-11-05,CBEF.MI,132.11,132.28,132.09,132.22,379
2018-11-06,CBEF.MI,132.24,132.32,132.24,132.32,247
2018-11-07,CBEF.MI,132.32,132.32,132.32,132.32,0
2018-11-08,CBEF.MI,132.38,132.52,132.36,132.52,355
2018-11-09,CBEF.MI,132.52,132.52,132.52,132.52,0
2018-11-12,CBEF.MI,132.01,132.01,131.78,131.78,50
2018-11-13,CBEF.MI,131.57,131.57,131.13,131.47,5832
2018-11-14,CBEF.MI,131.18,131.28,131.16,131.28,91
2018-11-15,CBEF.MI,131.4,131.52,131.21,131.21,43
2018-11-16,CBEF.MI,130.72,130.72,130.63,130.63,8
2018-11-19,CBEF.MI,130.48,130.48,130.12,130.12,206
2018-11-20,CBEF.MI,130.13,130.15,129.53,129.62,260
2018-11-21,CBEF.MI,129.86,130.19,129.86,130.09,37
2018-11-22,CBEF.MI,130.13,130.19,130.13,130.18,7
2018-11-23,CBEF.MI,130.2,130.57,130.2,130.57,61
2018-11-26,CBEF.MI,130.45,130.57,130.45,130.57,214
2018-11-27,CBEF.MI,130.57,130.57,130.57,130.57,0
2018-11-28,CBEF.MI,130.49,130.49,130.44,130.44,226
2018-11-29,CBEF.MI,130.0,130.65,130.0,130.65,186
2018-11-30,CBEF.MI,130.65,130.65,130.65,130.65,0
2018-12-03,CBEF.MI,130.42,130.58,130.42,130.58,98
2018-12-04,CBEF.MI,130.6,130.68,130.53,130.67,75
2018-12-05,CBEF.MI,130.36,130.41,130.36,130.41,40
2018-12-06,CBEF.MI,130.51,130.52,130.32,130.44,348
2018-12-07,CBEF.MI,130.29,130.29,130.27,130.27,143
2018-12-10,CBEF.MI,130.08,130.08,130.06,130.07,35
2018-12-11,CBEF.MI,129.87,130.27,129.87,130.27,429
2018-12-12,CBEF.MI,130.33,130.33,130.24,130.29,128
2018-12-13,CBEF.MI,130.33,130.99,130.33,130.99,82
2018-12-14,CBEF.MI,131.12,131.3,131.12,131.3,821
2018-12-17,CBEF.MI,131.16,131.38,131.14,131.26,92
2018-12-18,CBEF.MI,131.4,131.44,131.31,131.31,36
2018-12-19,CBEF.MI,131.3,131.41,131.3,131.39,3727
2018-12-20,CBEF.MI,131.5,131.5,131.24,131.24,218
2018-12-21,CBEF.MI,131.08,131.11,130.96,131.02,79
2018-12-27,CBEF.MI,131.5,131.63,131.23,131.23,453
2018-12-28,CBEF.MI,131.32,131.32,131.25,131.25,26
2019-01-02,CBEF.MI,131.52,131.74,131.5,131.5,106
2019-01-03,CBEF.MI,131.39,131.39,131.2,131.35,134
2019-01-04,CBEF.MI,131.15,131.15,130.99,130.99,14705
2019-01-07,CBEF.MI,131.14,131.26,131.05,131.05,76
2019-01-08,CBEF.MI,130.84,130.85,130.8,130.83,111
2019-01-09,CBEF.MI,130.89,131.04,130.83,131.04,55
2019-01-10,CBEF.MI,130.99,131.2,130.99,131.2,2
2019-01-11,CBEF.MI,131.38,131.53,131.32,131.41,202
2019-01-14,CBEF.MI,131.39,131.39,131.26,131.26,76
2019-01-15,CBEF.MI,131.22,131.45,131.22,131.44,100
2019-01-16,CBEF.MI,131.45,131.63,131.45,131.63,218
2019-01-17,CBEF.MI,131.57,131.59,131.39,131.39,13
2019-01-18,CBEF.MI,131.45,131.45,131.45,131.45,5
2019-01-21,CBEF.MI,131.56,131.76,131.56,131.57,215
2019-01-22,CBEF.MI,131.6,131.79,131.58,131.68,66
2019-01-23,CBEF.MI,131.74,131.74,131.65,131.65,9
2019-01-24,CBEF.MI,131.77,132.01,131.69,131.99,509
2019-01-25,CBEF.MI,131.94,132.02,131.8,131.88,352
2019-01-28,CBEF.MI,132.0,132.05,132.0,132.0,50
2019-01-29,CBEF.MI,132.0,132.09,131.9,131.95,722
2019-01-30,CBEF.MI,132.0,132.11,132.0,132.11,36
2019-01-31,CBEF.MI,132.18,133.06,132.18,133.06,813
2019-02-01,CBEF.MI,133.3,133.3,133.27,133.27,8
2019-02-04,CBEF.MI,133.39,133.56,133.34,133.34,120
2019-02-05,CBEF.MI,133.37,133.89,133.36,133.89,598
2019-02-06,CBEF.MI,133.89,133.89,133.89,133.89,0
2019-02-07,CBEF.MI,134.29,134.36,134.1,134.24,2019
2019-02-08,CBEF.MI,134.7,134.7,133.88,134.12,107
2019-02-11,CBEF.MI,133.97,133.97,133.62,133.77,253
2019-02-12,CBEF.MI,133.71,133.79,133.64,133.77,96
2019-02-13,CBEF.MI,133.74,133.97,133.74,133.97,171
2019-02-14,CBEF.MI,133.95,134.24,133.82,134.24,77
2019-02-15,CBEF.MI,134.18,134.25,134.08,134.25,1066
2019-02-18,CBEF.MI,134.2,134.35,134.2,134.35,58
2019-02-19,CBEF.MI,134.35,134.47,134.35,134.43,88
2019-02-20,CBEF.MI,134.33,134.46,134.33,134.33,129
2019-02-21,CBEF.MI,134.31,134.31,133.95,134.08,27
2019-02-22,CBEF.MI,134.08,134.21,134.05,134.19,1034
2019-02-25,CBEF.MI,134.15,134.42,134.0,134.42,2373
2019-02-26,CBEF.MI,134.42,134.55,134.42,134.55,528
2019-02-27,CBEF.MI,134.66,134.68,134.49,134.49,67
2019-02-28,CBEF.MI,134.43,134.61,134.41,134.46,311
2019-03-01,CBEF.MI,134.43,134.61,134.41,134.61,27
2019-03-04,CBEF.MI,134.59,134.98,134.57,134.93,303
2019-03-05,CBEF.MI,134.66,134.92,134.66,134.83,103
2019-03-06,CBEF.MI,134.65,134.76,134.65,134.76,486
2019-03-07,CBEF.MI,134.73,135.06,134.73,135.06,30
2019-03-08,CBEF.MI,134.89,134.89,134.68,134.7,125
2019-03-11,CBEF.MI,134.81,134.85,134.72,134.85,354
2019-03-12,CBEF.MI,135.0,135.18,134.99,135.18,84
2019-03-13,CBEF.MI,135.1,135.3,135.1,135.3,1
2019-03-14,CBEF.MI,135.26,135.54,135.26,135.54,380
2019-03-15,CBEF.MI,135.49,135.74,135.49,135.74,37
2019-03-18,CBEF.MI,135.72,135.99,135.72,135.99,54
2019-03-19,CBEF.MI,136.04,136.04,136.0,136.01,717
2019-03-20,CBEF.MI,136.02,136.02,135.8,135.87,279
2019-03-21,CBEF.MI,135.99,136.19,135.99,136.19,30
2019-03-22,CBEF.MI,136.22,136.49,136.22,136.49,40
2019-03-25,CBEF.MI,136.35,136.36,136.25,136.36,589
2019-03-26,CBEF.MI,136.35,136.35,136.25,136.31,210
2019-03-27,CBEF.MI,136.53,136.85,136.53,136.85,2
2019-03-28,CBEF.MI,136.85,136.85,136.85,136.85,0
2019-03-29,CBEF.MI,136.68,136.82,136.66,136.81,193
2019-04-01,CBEF.MI,136.71,136.81,136.71,136.81,11
2019-04-02,CBEF.MI,136.95,137.05,136.85,137.03,2177
2019-04-03,CBEF.MI,136.69,136.7,136.62,136.62,100
2019-04-04,CBEF.MI,136.6,136.63,136.6,136.63,55
2019-04-05,CBEF.MI,136.46,136.56,136.43,136.56,150
2019-04-08,CBEF.MI,136.65,136.65,136.54,136.54,17
2019-04-09,CBEF.MI,136.49,136.54,136.48,136.54,13
2019-04-10,CBEF.MI,138.4,138.4,136.76,136.76,32
2019-04-11,CBEF.MI,136.76,136.76,136.76,136.76,0
2019-04-12,CBEF.MI,136.81,136.81,136.3,136.3,223
2019-04-15,CBEF.MI,136.26,136.43,136.23,136.43,147
2019-04-16,CBEF.MI,136.52,136.73,136.39,136.54,746
2019-04-17,CBEF.MI,136.35,136.54,136.32,136.47,594
2019-04-18,CBEF.MI,137.0,137.0,136.7,136.88,141
2019-04-23,CBEF.MI,137.0,137.0,136.74,136.85,80
2019-04-24,CBEF.MI,137.0,137.34,137.0,137.34,183
2019-04-25,CBEF.MI,137.34,137.34,137.34,137.34,0
2019-04-26,CBEF.MI,137.34,137.34,137.34,137.34,0
2019-04-29,CBEF.MI,137.26,137.4,137.21,137.3,273
2019-04-30,CBEF.MI,137.3,137.3,137.3,137.3,0
2019-05-02,CBEF.MI,137.55,137.62,137.52,137.58,25
2019-05-03,CBEF.MI,137.58,137.58,137.57,137.57,40
2019-05-06,CBEF.MI,137.47,137.52,137.41,137.52,133
2019-05-07,CBEF.MI,137.6,137.62,137.48,137.55,168
2019-05-08,CBEF.MI,136.06,137.31,134.67,137.13,59
2019-05-09,CBEF.MI,137.23,137.26,137.02,137.02,155
