Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,CBEU5.MI,13.7,13.734,13.676,13.704,34670
2018-01-03,CBEU5.MI,13.714,13.722,13.682,13.706,74897
2018-01-04,CBEU5.MI,13.686,13.722,13.684,13.704,15105
2018-01-05,CBEU5.MI,13.642,13.726,13.642,13.724,17485
2018-01-08,CBEU5.MI,13.668,13.726,13.668,13.714,36021
2018-01-09,CBEU5.MI,13.808,13.82,13.672,13.706,17216
2018-01-10,CBEU5.MI,13.646,13.732,13.646,13.708,21902
2018-01-11,CBEU5.MI,13.694,13.73,13.648,13.682,30078
2018-01-12,CBEU5.MI,13.668,13.704,13.664,13.674,12565
2018-01-15,CBEU5.MI,13.602,13.704,13.602,13.67,142231
2018-01-16,CBEU5.MI,13.672,13.718,13.672,13.69,19253
2018-01-17,CBEU5.MI,13.672,13.704,13.666,13.68,38386
2018-01-18,CBEU5.MI,13.67,13.694,13.646,13.678,50881
2018-01-19,CBEU5.MI,13.728,13.728,13.662,13.696,43786
2018-01-22,CBEU5.MI,13.662,13.724,13.662,13.69,31417
2018-01-23,CBEU5.MI,13.664,13.718,13.664,13.696,33834
2018-01-24,CBEU5.MI,13.732,13.732,13.672,13.69,35567
2018-01-25,CBEU5.MI,13.692,13.708,13.658,13.68,9774
2018-01-26,CBEU5.MI,13.662,13.7,13.662,13.68,24404
2018-01-29,CBEU5.MI,13.65,13.694,13.65,13.676,13591
2018-01-30,CBEU5.MI,13.664,13.688,13.66,13.678,29871
2018-01-31,CBEU5.MI,13.518,13.638,13.518,13.608,43669
2018-02-01,CBEU5.MI,13.596,13.636,13.596,13.626,19582
2018-02-02,CBEU5.MI,13.608,13.65,13.584,13.616,23503
2018-02-05,CBEU5.MI,13.522,13.628,13.522,13.624,8104
2018-02-06,CBEU5.MI,13.526,13.652,13.526,13.652,8609
2018-02-07,CBEU5.MI,13.504,13.632,13.504,13.616,32926
2018-02-08,CBEU5.MI,13.6,13.632,13.582,13.614,22115
2018-02-09,CBEU5.MI,13.584,13.628,13.584,13.612,139969
2018-02-12,CBEU5.MI,13.6,13.628,13.506,13.618,20978
2018-02-13,CBEU5.MI,13.6,13.636,13.592,13.61,25254
2018-02-14,CBEU5.MI,13.59,13.624,13.586,13.606,7739
2018-02-15,CBEU5.MI,13.53,13.63,13.53,13.612,10989
2018-02-16,CBEU5.MI,13.638,13.638,13.596,13.622,19823
2018-02-19,CBEU5.MI,13.64,13.64,13.504,13.622,12840
2018-02-20,CBEU5.MI,13.572,13.662,13.572,13.622,116750
2018-02-21,CBEU5.MI,13.614,13.646,13.602,13.632,20504
2018-02-22,CBEU5.MI,13.598,13.662,13.598,13.626,215954
2018-02-23,CBEU5.MI,13.526,13.644,13.526,13.636,21695
2018-02-26,CBEU5.MI,13.65,13.668,13.624,13.638,22479
2018-02-27,CBEU5.MI,13.584,13.646,13.584,13.636,108304
2018-02-28,CBEU5.MI,13.612,13.646,13.612,13.634,19269
2018-03-01,CBEU5.MI,13.622,13.648,13.608,13.63,21887
2018-03-02,CBEU5.MI,13.626,13.65,13.604,13.618,17402
2018-03-05,CBEU5.MI,13.614,13.644,13.602,13.624,27563
2018-03-06,CBEU5.MI,13.61,13.636,13.59,13.614,20898
2018-03-07,CBEU5.MI,13.632,13.632,13.61,13.622,24698
2018-03-08,CBEU5.MI,13.648,13.648,13.57,13.624,21707
2018-03-09,CBEU5.MI,13.57,13.642,13.57,13.628,15167
2018-03-12,CBEU5.MI,13.572,13.65,13.572,13.606,17502
2018-03-13,CBEU5.MI,13.614,13.652,13.61,13.636,23505
2018-03-14,CBEU5.MI,13.572,13.642,13.572,13.634,30069
2018-03-15,CBEU5.MI,13.642,13.642,13.598,13.628,46379
2018-03-16,CBEU5.MI,13.602,13.644,13.602,13.622,29481
2018-03-19,CBEU5.MI,13.552,13.628,13.552,13.612,9671
2018-03-20,CBEU5.MI,13.552,13.61,13.552,13.602,14676
2018-03-21,CBEU5.MI,13.61,13.61,13.582,13.596,15420
2018-03-22,CBEU5.MI,13.618,13.624,13.598,13.612,11668
2018-03-23,CBEU5.MI,13.59,13.618,13.58,13.596,15235
2018-03-26,CBEU5.MI,13.686,13.686,13.568,13.606,20733
2018-03-27,CBEU5.MI,13.592,13.622,13.592,13.61,15390
2018-03-28,CBEU5.MI,13.596,13.622,13.594,13.606,10332
2018-03-29,CBEU5.MI,13.614,13.618,13.594,13.602,6875
2018-04-03,CBEU5.MI,13.53,13.602,13.53,13.592,9817
2018-04-04,CBEU5.MI,13.562,13.616,13.562,13.598,13087
2018-04-05,CBEU5.MI,13.592,13.622,13.576,13.606,24092
2018-04-06,CBEU5.MI,13.596,13.628,13.586,13.616,7277
2018-04-09,CBEU5.MI,13.644,13.644,13.592,13.614,15670
2018-04-10,CBEU5.MI,13.712,13.712,13.578,13.61,27217
2018-04-11,CBEU5.MI,13.562,13.628,13.562,13.614,40426
2018-04-12,CBEU5.MI,13.602,13.63,13.6,13.616,5387
2018-04-13,CBEU5.MI,13.562,13.632,13.562,13.614,19028
2018-04-16,CBEU5.MI,13.564,13.66,13.564,13.624,17190
2018-04-17,CBEU5.MI,13.616,13.646,13.608,13.626,23792
2018-04-18,CBEU5.MI,13.57,13.646,13.57,13.622,19367
2018-04-19,CBEU5.MI,13.572,13.634,13.572,13.612,11040
2018-04-20,CBEU5.MI,13.592,13.626,13.586,13.6,9373
2018-04-23,CBEU5.MI,13.564,13.618,13.564,13.6,51407
2018-04-24,CBEU5.MI,13.602,13.616,13.58,13.606,22643
2018-04-25,CBEU5.MI,13.594,13.61,13.584,13.596,2980
2018-04-26,CBEU5.MI,13.596,13.618,13.584,13.604,16227
2018-04-27,CBEU5.MI,13.604,13.636,13.594,13.618,25169
2018-04-30,CBEU5.MI,13.63,13.636,13.612,13.626,13961
2018-05-02,CBEU5.MI,13.596,13.65,13.596,13.62,5580
2018-05-03,CBEU5.MI,13.602,13.66,13.602,13.624,9966
2018-05-04,CBEU5.MI,13.62,13.642,13.604,13.624,41739
2018-05-07,CBEU5.MI,13.612,13.638,13.612,13.626,7523
2018-05-08,CBEU5.MI,13.572,13.638,13.572,13.616,19156
2018-05-09,CBEU5.MI,13.616,13.63,13.604,13.62,10129
2018-05-10,CBEU5.MI,13.62,13.638,13.61,13.622,32531
2018-05-11,CBEU5.MI,13.638,13.638,13.614,13.626,5964
2018-05-14,CBEU5.MI,13.61,13.626,13.6,13.614,28370
2018-05-15,CBEU5.MI,13.55,13.618,13.55,13.592,11164
2018-05-16,CBEU5.MI,13.566,13.634,13.566,13.6,12587
2018-05-17,CBEU5.MI,13.612,13.614,13.582,13.594,10389
2018-05-18,CBEU5.MI,13.588,13.614,13.588,13.608,60898
2018-05-21,CBEU5.MI,13.602,13.614,13.6,13.614,3708
2018-05-22,CBEU5.MI,13.6,13.62,13.59,13.608,20577
2018-05-23,CBEU5.MI,13.582,13.618,13.582,13.602,14002
2018-05-24,CBEU5.MI,13.588,13.61,13.582,13.598,14233
2018-05-25,CBEU5.MI,13.594,13.616,13.582,13.596,10872
2018-05-28,CBEU5.MI,13.614,13.626,13.592,13.618,8510
2018-05-29,CBEU5.MI,13.586,13.646,13.56,13.6,18155
2018-05-30,CBEU5.MI,13.622,13.622,13.56,13.582,28882
2018-05-31,CBEU5.MI,13.542,13.582,13.542,13.582,9281
2018-06-01,CBEU5.MI,13.554,13.586,13.554,13.578,22606
2018-06-04,CBEU5.MI,13.574,13.606,13.572,13.59,8632
2018-06-05,CBEU5.MI,13.58,13.61,13.58,13.6,12401
2018-06-06,CBEU5.MI,13.596,13.612,13.564,13.57,53762
2018-06-07,CBEU5.MI,13.502,13.574,13.502,13.56,9634
2018-06-08,CBEU5.MI,13.548,13.58,13.546,13.568,16305
2018-06-11,CBEU5.MI,13.6,13.6,13.546,13.55,10457
2018-06-12,CBEU5.MI,13.54,13.564,13.526,13.544,48526
2018-06-13,CBEU5.MI,13.596,13.596,13.548,13.558,7461
2018-06-14,CBEU5.MI,13.576,13.592,13.55,13.588,8394
2018-06-15,CBEU5.MI,13.6,13.616,13.592,13.604,13531
2018-06-18,CBEU5.MI,13.502,13.64,13.502,13.612,10944
2018-06-19,CBEU5.MI,13.592,13.62,13.588,13.592,57245
2018-06-20,CBEU5.MI,13.61,13.616,13.586,13.608,9677
2018-06-21,CBEU5.MI,13.574,13.624,13.574,13.614,31439
2018-06-22,CBEU5.MI,13.604,13.626,13.602,13.608,10676
2018-06-25,CBEU5.MI,13.602,13.616,13.588,13.6,11924
2018-06-26,CBEU5.MI,13.574,13.602,13.57,13.586,45060
2018-06-27,CBEU5.MI,13.6,13.602,13.552,13.584,9236
2018-06-28,CBEU5.MI,13.568,13.59,13.564,13.584,10188
2018-06-29,CBEU5.MI,13.584,13.584,13.548,13.568,26348
2018-07-02,CBEU5.MI,13.538,13.58,13.538,13.564,3867
2018-07-03,CBEU5.MI,13.564,13.588,13.564,13.578,34066
2018-07-04,CBEU5.MI,13.564,13.588,13.564,13.564,6407
2018-07-05,CBEU5.MI,13.56,13.576,13.546,13.564,17012
2018-07-06,CBEU5.MI,13.594,13.596,13.558,13.582,14049
2018-07-09,CBEU5.MI,13.578,13.594,13.562,13.58,34175
2018-07-10,CBEU5.MI,13.576,13.604,13.576,13.58,3099
2018-07-11,CBEU5.MI,13.602,13.608,13.564,13.58,28738
2018-07-12,CBEU5.MI,13.584,13.602,13.582,13.588,8787
2018-07-13,CBEU5.MI,13.568,13.618,13.568,13.618,22494
2018-07-16,CBEU5.MI,13.588,13.618,13.588,13.604,7859
2018-07-17,CBEU5.MI,13.576,13.62,13.576,13.61,12339
2018-07-18,CBEU5.MI,13.602,13.642,13.602,13.622,10945
2018-07-19,CBEU5.MI,13.6,13.618,13.598,13.602,14697
2018-07-20,CBEU5.MI,13.622,13.622,13.594,13.602,10084
2018-07-23,CBEU5.MI,13.592,13.612,13.59,13.596,8801
2018-07-24,CBEU5.MI,13.58,13.608,13.58,13.594,8282
2018-07-25,CBEU5.MI,13.594,13.612,13.592,13.602,13327
2018-07-26,CBEU5.MI,13.59,13.644,13.59,13.614,20152
2018-07-27,CBEU5.MI,13.58,13.626,13.58,13.61,7497
2018-07-30,CBEU5.MI,13.66,13.724,13.594,13.62,47646
2018-07-31,CBEU5.MI,13.57,13.586,13.57,13.576,19654
2018-08-01,CBEU5.MI,13.564,13.58,13.562,13.566,14579
2018-08-02,CBEU5.MI,13.54,13.578,13.54,13.576,5312
2018-08-03,CBEU5.MI,13.61,13.61,13.55,13.584,26885
2018-08-06,CBEU5.MI,13.578,13.602,13.578,13.596,40756
2018-08-07,CBEU5.MI,13.584,13.6,13.58,13.588,107926
2018-08-08,CBEU5.MI,13.582,13.598,13.582,13.59,7523
2018-08-09,CBEU5.MI,13.59,13.606,13.59,13.6,7547
2018-08-10,CBEU5.MI,13.644,13.644,13.588,13.602,23081
2018-08-13,CBEU5.MI,13.58,13.604,13.578,13.59,6123
2018-08-14,CBEU5.MI,13.588,13.602,13.586,13.592,11199
2018-08-16,CBEU5.MI,13.588,13.602,13.58,13.586,9156
2018-08-17,CBEU5.MI,13.604,13.61,13.59,13.604,9414
2018-08-20,CBEU5.MI,13.604,13.604,13.586,13.594,4564
2018-08-21,CBEU5.MI,13.65,13.65,13.588,13.594,7090
2018-08-22,CBEU5.MI,13.57,13.6,13.57,13.582,2727
2018-08-23,CBEU5.MI,13.6,13.6,13.572,13.58,4498
2018-08-24,CBEU5.MI,13.65,13.65,13.566,13.574,3010
2018-08-27,CBEU5.MI,13.478,13.58,13.478,13.566,8773
2018-08-28,CBEU5.MI,13.556,13.578,13.556,13.56,2044
2018-08-29,CBEU5.MI,13.554,13.576,13.55,13.552,12247
2018-08-30,CBEU5.MI,13.526,13.564,13.526,13.564,5302
2018-08-31,CBEU5.MI,13.556,13.57,13.552,13.558,3056
2018-09-03,CBEU5.MI,13.568,13.57,13.55,13.558,3848
2018-09-04,CBEU5.MI,13.548,13.564,13.542,13.544,3847
2018-09-05,CBEU5.MI,13.534,13.554,13.516,13.534,12591
2018-09-06,CBEU5.MI,13.524,13.55,13.522,13.546,8546
2018-09-07,CBEU5.MI,13.454,13.56,13.454,13.54,4085
2018-09-10,CBEU5.MI,13.54,13.546,13.538,13.546,5298
2018-09-11,CBEU5.MI,13.52,13.56,13.51,13.544,6764
2018-09-12,CBEU5.MI,13.542,13.56,13.522,13.552,5387
2018-09-13,CBEU5.MI,13.546,13.56,13.546,13.552,7089
2018-09-14,CBEU5.MI,13.546,13.556,13.524,13.548,4637
2018-09-17,CBEU5.MI,13.518,13.564,13.518,13.548,11929
2018-09-18,CBEU5.MI,13.566,13.566,13.54,13.546,12041
2018-09-19,CBEU5.MI,13.536,13.562,13.536,13.546,45927
2018-09-20,CBEU5.MI,13.542,13.556,13.542,13.55,11253
2018-09-21,CBEU5.MI,13.568,13.568,13.546,13.554,7353
2018-09-24,CBEU5.MI,13.55,13.562,13.542,13.542,2082
2018-09-25,CBEU5.MI,13.578,13.578,13.524,13.526,5338
2018-09-26,CBEU5.MI,13.524,13.542,13.504,13.532,4534
2018-09-27,CBEU5.MI,13.532,13.55,13.53,13.538,44159
2018-09-28,CBEU5.MI,13.508,13.556,13.508,13.546,20662
2018-10-01,CBEU5.MI,13.538,13.56,13.538,13.552,2361
2018-10-02,CBEU5.MI,13.468,13.576,13.468,13.546,12216
2018-10-03,CBEU5.MI,13.458,13.562,13.458,13.544,57231
2018-10-04,CBEU5.MI,13.526,13.54,13.522,13.528,5599
2018-10-05,CBEU5.MI,13.522,13.538,13.5,13.522,10739
