Date,Ticker,Open,High,Low,Close,Volume
2026-01-05,CHPX.MI,15.11,15.11,14.702,14.764,1914
2026-01-06,CHPX.MI,14.736,14.78,14.608,14.78,354
2026-01-07,CHPX.MI,14.772,14.816,14.772,14.814,282
2026-01-08,CHPX.MI,15.55,15.55,14.5,14.5,3273
2026-01-09,CHPX.MI,14.904,14.904,14.856,14.856,280
2026-01-12,CHPX.MI,14.708,14.888,14.616,14.888,192
2026-01-13,CHPX.MI,14.984,15.07,14.978,15.062,1732
2026-01-14,CHPX.MI,15.17,15.17,14.836,14.836,435
2026-01-15,CHPX.MI,15.236,15.516,15.236,15.47,603
2026-01-16,CHPX.MI,15.544,15.544,15.398,15.398,275
2026-01-19,CHPX.MI,15.392,15.778,15.1,15.1,1456
2026-01-20,CHPX.MI,14.802,15.158,14.802,15.134,161
2026-01-21,CHPX.MI,15.134,15.134,15.134,15.134,0
2026-01-22,CHPX.MI,15.834,15.964,15.512,15.512,556
2026-01-23,CHPX.MI,15.43,15.568,15.428,15.474,1151
2026-01-26,CHPX.MI,15.376,15.376,15.19,15.224,485
2026-01-27,CHPX.MI,15.5,15.506,15.42,15.506,705
2026-01-28,CHPX.MI,16.1,16.1,15.688,15.688,1267
2026-01-29,CHPX.MI,15.976,15.976,15.354,15.416,2134
2026-01-30,CHPX.MI,15.726,15.726,15.646,15.654,459
2026-02-02,CHPX.MI,15.31,15.788,14.918,15.724,1265
2026-02-03,CHPX.MI,15.612,16.0,15.404,15.432,926
2026-02-04,CHPX.MI,14.974,14.974,14.844,14.844,676
2026-02-05,CHPX.MI,14.952,15.322,14.684,14.684,336
2026-02-06,CHPX.MI,14.804,15.282,14.5,15.282,815
2026-02-09,CHPX.MI,15.126,15.88,15.126,15.62,1283
2026-02-10,CHPX.MI,15.684,15.684,15.474,15.552,658
2026-02-11,CHPX.MI,15.612,15.968,15.55,15.712,4229
2026-02-12,CHPX.MI,16.022,16.022,15.342,15.342,2605
2026-02-13,CHPX.MI,15.692,15.692,15.372,15.414,75
2026-02-16,CHPX.MI,15.592,15.592,15.352,15.432,1524
2026-02-17,CHPX.MI,15.286,15.434,15.244,15.434,87
2026-02-18,CHPX.MI,15.436,15.818,15.436,15.762,379
2026-02-19,CHPX.MI,15.752,15.752,15.614,15.638,333
2026-02-20,CHPX.MI,15.79,15.8,15.726,15.796,291
2026-02-23,CHPX.MI,15.7,15.79,15.588,15.588,156
2026-02-24,CHPX.MI,15.79,16.072,15.79,16.036,167
2026-02-25,CHPX.MI,16.158,16.34,16.158,16.188,430
2026-02-26,CHPX.MI,16.294,16.372,15.746,15.828,674
2026-02-27,CHPX.MI,15.968,15.968,15.564,15.666,119
2026-03-02,CHPX.MI,15.566,15.576,15.234,15.576,690
2026-03-03,CHPX.MI,15.216,15.216,15.106,15.136,383
2026-03-04,CHPX.MI,15.136,15.562,15.136,15.562,543
2026-03-05,CHPX.MI,15.782,15.782,15.536,15.536,682
2026-03-09,CHPX.MI,15.196,15.224,15.036,15.224,739
2026-03-10,CHPX.MI,15.224,15.224,15.224,15.224,0
2026-03-11,CHPX.MI,15.66,16.01,15.66,15.82,815
2026-03-12,CHPX.MI,15.838,15.838,15.516,15.516,51
2026-03-13,CHPX.MI,15.9,15.9,15.516,15.516,70
2026-03-16,CHPX.MI,16.28,16.28,15.812,15.912,402
2026-03-17,CHPX.MI,16.306,16.306,15.812,15.842,2155
2026-03-18,CHPX.MI,16.166,16.166,15.9,15.946,648
2026-03-19,CHPX.MI,15.7,15.71,15.528,15.618,2883
2026-03-20,CHPX.MI,15.456,15.456,15.428,15.428,15
2026-03-23,CHPX.MI,14.936,15.442,14.936,15.442,154
2026-03-24,CHPX.MI,15.39,15.528,15.39,15.516,1363
2026-03-25,CHPX.MI,15.516,15.516,15.516,15.516,0
2026-03-26,CHPX.MI,15.282,15.308,15.282,15.308,199
2026-03-27,CHPX.MI,15.308,15.308,15.308,15.308,0
2026-03-30,CHPX.MI,14.9,14.968,14.464,14.536,166
2026-03-31,CHPX.MI,14.224,14.524,14.224,14.524,300
2026-04-01,CHPX.MI,15.0,15.368,15.0,15.368,211
2026-04-02,CHPX.MI,14.724,15.262,14.724,15.262,91
2026-04-07,CHPX.MI,15.554,15.788,15.242,15.288,619
2026-04-08,CHPX.MI,15.92,16.322,15.92,16.25,5639
2026-04-09,CHPX.MI,16.35,16.614,16.35,16.448,175
2026-04-10,CHPX.MI,16.682,17.262,16.682,17.004,747
2026-04-13,CHPX.MI,16.98,17.1,16.692,17.054,2552
2026-04-14,CHPX.MI,17.438,17.502,17.356,17.39,3065
2026-04-15,CHPX.MI,17.6,18.12,17.6,17.616,2347
2026-04-16,CHPX.MI,18.054,18.054,17.534,17.864,4601
2026-04-17,CHPX.MI,17.938,18.2,17.912,18.122,257
2026-04-20,CHPX.MI,17.96,18.46,17.96,18.142,1033
2026-04-21,CHPX.MI,18.47,18.558,18.378,18.42,1188
2026-04-22,CHPX.MI,18.574,19.164,18.45,18.894,5980
2026-04-23,CHPX.MI,19.114,19.588,18.954,19.196,1180
2026-04-24,CHPX.MI,19.672,20.525,19.5,19.944,3828
2026-04-27,CHPX.MI,20.31,21.0,19.738,19.764,13048
2026-04-28,CHPX.MI,19.846,19.878,19.202,19.202,2659
2026-04-29,CHPX.MI,19.644,19.768,19.55,19.672,4157
2026-04-30,CHPX.MI,20.17,20.17,19.94,20.11,2385
2026-05-04,CHPX.MI,21.02,21.02,20.675,20.675,3735
2026-05-05,CHPX.MI,21.15,22.2,20.965,21.55,7314
2026-05-06,CHPX.MI,22.335,23.4,22.07,22.46,21443
2026-05-07,CHPX.MI,22.735,23.095,22.315,22.41,14849
2026-05-08,CHPX.MI,22.625,23.095,22.465,23.04,3175
2026-05-11,CHPX.MI,23.1,24.14,23.1,23.945,21870
2026-05-12,CHPX.MI,23.785,23.785,22.665,22.76,5999
2026-05-13,CHPX.MI,23.85,24.175,23.495,23.795,5442
2026-05-14,CHPX.MI,24.25,24.55,24.0,24.45,4732
2026-05-15,CHPX.MI,23.92,23.92,23.275,23.535,9877
2026-05-18,CHPX.MI,23.305,23.94,22.775,22.775,18888
2026-05-19,CHPX.MI,22.71,22.85,21.98,22.44,9267
2026-05-20,CHPX.MI,23.09,23.83,23.09,23.745,3631
2026-05-21,CHPX.MI,23.885,24.98,23.77,24.105,8634
2026-05-22,CHPX.MI,24.7,25.145,24.53,25.025,9325
2026-05-25,CHPX.MI,25.685,26.6,25.28,25.78,8613
2026-05-26,CHPX.MI,25.535,26.44,25.215,26.15,6192
2026-05-27,CHPX.MI,26.445,27.205,25.695,25.845,15360
2026-05-28,CHPX.MI,25.715,26.88,25.715,26.755,4695
2026-05-29,CHPX.MI,27.01,27.3,26.59,26.77,22653
2026-06-01,CHPX.MI,27.3,27.75,26.77,27.665,13326
2026-06-02,CHPX.MI,27.7,28.915,27.7,28.53,9544
2026-06-03,CHPX.MI,28.765,29.59,28.1,28.69,34790
2026-06-04,CHPX.MI,28.03,28.19,26.805,27.6,9729
2026-06-05,CHPX.MI,28.9,28.9,25.955,26.205,23683
2026-06-08,CHPX.MI,26.0,26.885,24.9,26.885,22594
2026-06-09,CHPX.MI,27.12,27.365,25.465,25.465,11588
2026-06-10,CHPX.MI,25.0,26.195,24.84,25.095,8928
2026-06-11,CHPX.MI,25.8,26.235,25.34,25.73,7149
2026-06-12,CHPX.MI,26.235,27.155,26.235,27.155,6495
2026-06-15,CHPX.MI,28.5,28.5,27.795,28.065,10848
2026-06-16,CHPX.MI,28.155,28.53,27.39,27.565,5199
2026-06-17,CHPX.MI,27.77,28.1,27.565,28.0,7234
2026-06-18,CHPX.MI,28.65,29.595,28.39,29.455,8524
2026-06-19,CHPX.MI,29.485,29.755,29.23,29.485,6188
2026-06-22,CHPX.MI,30.01,30.96,29.86,29.985,15884
2026-06-23,CHPX.MI,28.56,28.855,27.705,28.18,17330
2026-06-24,CHPX.MI,28.735,28.735,27.76,28.01,5591
2026-06-25,CHPX.MI,29.61,29.845,28.005,28.575,24673
2026-06-26,CHPX.MI,27.93,28.085,27.57,27.825,7400
2026-06-29,CHPX.MI,27.79,28.075,26.485,27.4,4819
2026-06-30,CHPX.MI,28.44,29.065,28.265,28.975,5303
