Date,Ticker,Open,High,Low,Close,Volume
2022-10-07,CURE.MI,21.11,21.11,20.65,20.65,50
2022-10-10,CURE.MI,20.65,20.65,20.65,20.65,0
2022-10-11,CURE.MI,20.65,20.65,20.65,20.65,0
2022-10-12,CURE.MI,20.65,20.65,20.65,20.65,0
2022-10-13,CURE.MI,20.26,20.26,20.15,20.15,20
2022-10-14,CURE.MI,20.15,20.15,20.15,20.15,0
2022-10-17,CURE.MI,20.0,20.27,20.0,20.27,50
2022-10-18,CURE.MI,20.7,20.7,20.265,20.265,33
2022-10-19,CURE.MI,20.395,20.395,19.784,19.784,75
2022-10-20,CURE.MI,19.784,19.784,19.784,19.784,0
2022-10-21,CURE.MI,19.784,19.784,19.784,19.784,0
2022-10-24,CURE.MI,19.784,19.784,19.784,19.784,0
2022-10-25,CURE.MI,19.784,19.784,19.784,19.784,0
2022-10-26,CURE.MI,19.784,19.784,19.784,19.784,0
2022-10-27,CURE.MI,19.784,19.784,19.784,19.784,0
2022-10-28,CURE.MI,19.784,19.784,19.784,19.784,0
2022-10-31,CURE.MI,21.23,21.29,21.23,21.29,50
2022-11-01,CURE.MI,21.29,21.29,21.29,21.29,0
2022-11-02,CURE.MI,21.29,21.29,21.29,21.29,0
2022-11-03,CURE.MI,20.585,20.89,20.585,20.89,33
2022-11-04,CURE.MI,20.89,20.89,20.89,20.89,0
2022-11-07,CURE.MI,20.89,20.89,20.89,20.89,0
2022-11-08,CURE.MI,20.89,20.89,20.89,20.89,0
2022-11-09,CURE.MI,20.67,20.67,20.57,20.57,50
2022-11-10,CURE.MI,20.815,20.885,20.815,20.885,6000
2022-11-11,CURE.MI,20.885,20.885,20.885,20.885,0
2022-11-14,CURE.MI,20.885,20.885,20.885,20.885,0
2022-11-15,CURE.MI,20.885,20.885,20.885,20.885,0
2022-11-16,CURE.MI,20.885,20.885,20.885,20.885,0
2022-11-17,CURE.MI,20.885,20.885,20.885,20.885,0
2022-11-18,CURE.MI,20.885,20.885,20.885,20.885,0
2022-11-21,CURE.MI,20.885,20.885,20.885,20.885,0
2022-11-22,CURE.MI,20.9,20.9,20.665,20.665,3200
2022-11-23,CURE.MI,20.875,20.885,20.76,20.76,600
2022-11-24,CURE.MI,20.76,20.76,20.76,20.76,0
2022-11-25,CURE.MI,20.78,20.78,20.595,20.595,50
2022-11-28,CURE.MI,20.595,20.595,20.595,20.595,0
2022-11-29,CURE.MI,20.595,20.595,20.595,20.595,0
2022-11-30,CURE.MI,20.595,20.595,20.595,20.595,0
2022-12-01,CURE.MI,21.0,21.18,21.0,21.18,100
2022-12-02,CURE.MI,21.18,21.18,21.18,21.18,0
2022-12-05,CURE.MI,21.18,21.18,21.18,21.18,0
2022-12-06,CURE.MI,21.18,21.18,21.18,21.18,0
2022-12-07,CURE.MI,21.18,21.18,21.18,21.18,0
2022-12-08,CURE.MI,21.18,21.18,21.18,21.18,0
2022-12-09,CURE.MI,21.18,21.18,21.18,21.18,0
2022-12-12,CURE.MI,21.18,21.18,21.18,21.18,0
2022-12-13,CURE.MI,21.18,21.18,21.18,21.18,0
2022-12-14,CURE.MI,21.0,21.3,21.0,21.3,50
