Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,CWE.MI,277.335,277.335,277.335,277.335,0
2018-01-03,CWE.MI,281.187,281.187,281.187,281.187,0
2018-01-04,CWE.MI,282.516,282.516,282.516,282.516,0
2018-01-05,CWE.MI,283.324,283.324,283.324,283.324,0
2018-01-08,CWE.MI,285.438,285.438,285.438,285.438,0
2018-01-09,CWE.MI,285.907,285.907,285.907,285.907,0
2018-01-10,CWE.MI,284.814,284.814,284.814,284.814,0
2018-01-11,CWE.MI,287.267,287.267,287.267,287.267,0
2018-01-12,CWE.MI,287.563,287.563,287.563,287.563,0
2018-01-15,CWE.MI,285.633,285.633,285.633,285.633,0
2018-01-16,CWE.MI,283.143,283.143,283.143,283.143,0
2018-01-17,CWE.MI,283.917,283.917,283.917,283.917,0
2018-01-18,CWE.MI,282.447,282.447,282.447,282.447,0
2018-01-19,CWE.MI,281.961,281.961,281.961,281.961,0
2018-01-22,CWE.MI,285.825,285.825,285.825,285.825,0
2018-01-23,CWE.MI,285.117,285.117,285.117,285.117,0
2018-01-24,CWE.MI,283.383,283.383,283.383,283.383,0
2018-01-25,CWE.MI,279.744,279.744,279.744,279.744,0
2018-01-26,CWE.MI,281.353,281.353,281.353,281.353,0
2018-01-30,CWE.MI,278.5,278.5,273.15,273.85,4601
2018-01-31,CWE.MI,272.05,272.1,271.75,271.75,69
2018-02-01,CWE.MI,272.9,274.15,270.85,270.85,481
2018-02-02,CWE.MI,271.0,272.25,266.3,266.3,1483
2018-02-05,CWE.MI,261.8,263.25,260.7,261.8,867
2018-02-06,CWE.MI,254.05,257.0,249.85,252.65,19316
2018-02-07,CWE.MI,255.2,260.75,255.0,258.65,1022
2018-02-08,CWE.MI,255.25,256.8,253.05,253.05,2058
2018-02-09,CWE.MI,251.15,251.85,246.95,246.95,1351
2018-02-12,CWE.MI,249.55,253.5,249.55,250.95,927
2018-02-13,CWE.MI,250.5,250.9,249.15,249.3,1191
2018-02-14,CWE.MI,250.05,250.15,246.4,249.6,417
2018-02-15,CWE.MI,253.1,253.3,248.5,249.2,500
2018-02-16,CWE.MI,252.25,253.3,251.25,252.85,1681
2018-02-19,CWE.MI,259.0,259.05,252.7,252.85,1927
2018-02-20,CWE.MI,254.4,254.5,252.85,254.05,1516
2018-02-21,CWE.MI,252.75,254.2,251.45,254.1,214
2018-02-22,CWE.MI,250.0,253.8,250.0,253.8,399
2018-02-23,CWE.MI,252.45,254.5,252.3,254.5,239
2018-02-26,CWE.MI,256.65,257.6,256.65,257.5,87
2018-02-27,CWE.MI,257.95,259.65,257.05,258.45,250
2018-02-28,CWE.MI,256.85,258.1,255.65,255.65,639
2018-03-01,CWE.MI,251.3,253.1,251.3,251.95,489
2018-03-02,CWE.MI,249.35,249.35,245.7,246.25,281
2018-03-05,CWE.MI,248.3,250.3,247.95,250.2,226
2018-03-06,CWE.MI,251.45,251.9,249.8,249.8,316
