Date,Ticker,Open,High,Low,Close,Volume
2021-05-19,DAXESG.MI,56.66,56.84,56.62,56.62,288
2021-05-20,DAXESG.MI,56.62,56.62,56.62,56.62,0
2021-05-21,DAXESG.MI,57.53,57.69,57.53,57.69,35
2021-05-24,DAXESG.MI,57.69,57.69,57.69,57.69,0
2021-05-25,DAXESG.MI,57.69,57.69,57.69,57.69,0
2021-05-26,DAXESG.MI,57.8,57.81,57.8,57.81,150
2021-05-27,DAXESG.MI,57.63,57.97,57.63,57.77,1014
2021-05-28,DAXESG.MI,57.77,57.77,57.77,57.77,0
2021-05-31,DAXESG.MI,57.98,57.98,57.71,57.71,35
2021-06-01,DAXESG.MI,58.15,58.67,58.15,58.3,225
2021-06-02,DAXESG.MI,58.34,58.34,58.32,58.33,150
2021-06-03,DAXESG.MI,58.13,58.64,58.13,58.64,2
2021-06-04,DAXESG.MI,58.62,58.81,58.62,58.81,78
2021-06-07,DAXESG.MI,58.81,58.81,58.81,58.81,0
2021-06-08,DAXESG.MI,58.8,58.8,58.77,58.77,80
2021-06-09,DAXESG.MI,58.77,58.77,58.77,58.77,0
2021-06-10,DAXESG.MI,58.77,58.77,58.77,58.77,0
2021-06-11,DAXESG.MI,58.77,58.77,58.77,58.77,0
2021-06-14,DAXESG.MI,58.77,58.77,58.77,58.77,0
2021-06-15,DAXESG.MI,59.14,59.14,59.0,59.03,400
2021-06-16,DAXESG.MI,59.03,59.03,59.03,59.03,0
2021-06-17,DAXESG.MI,59.03,59.03,59.03,59.03,0
2021-06-18,DAXESG.MI,58.97,58.97,58.04,58.04,7
2021-06-21,DAXESG.MI,58.04,58.04,58.04,58.04,0
2021-06-22,DAXESG.MI,58.04,58.04,58.04,58.04,0
2021-06-23,DAXESG.MI,58.04,58.04,58.04,58.04,0
2021-06-24,DAXESG.MI,58.04,58.04,58.04,58.04,0
2021-06-25,DAXESG.MI,58.79,58.94,58.79,58.94,6
2021-06-28,DAXESG.MI,58.94,58.94,58.94,58.94,0
2021-06-29,DAXESG.MI,58.94,58.94,58.94,58.94,0
2021-06-30,DAXESG.MI,58.94,58.94,58.94,58.94,0
2021-07-01,DAXESG.MI,58.94,58.94,58.94,58.94,0
2021-07-02,DAXESG.MI,58.92,58.94,58.92,58.94,100
2021-07-05,DAXESG.MI,58.94,58.94,58.94,58.94,0
2021-07-06,DAXESG.MI,58.9,58.95,58.46,58.46,1130
2021-07-07,DAXESG.MI,59.09,59.11,59.07,59.07,333
