Date,Ticker,Open,High,Low,Close,Volume
2025-06-10,DEFS.MI,5.447,5.447,5.418,5.419,650
2025-06-11,DEFS.MI,5.431,5.483,5.415,5.457,51353
2025-06-12,DEFS.MI,5.487,5.495,5.351,5.447,13202
2025-06-13,DEFS.MI,5.549,5.549,5.435,5.469,41148
2025-06-16,DEFS.MI,5.532,5.544,5.469,5.506,27369
2025-06-17,DEFS.MI,5.435,5.509,5.411,5.494,9875
2025-06-18,DEFS.MI,5.531,5.564,5.51,5.523,34412
2025-06-19,DEFS.MI,5.552,5.57,5.476,5.476,14075
2025-06-20,DEFS.MI,5.5,5.536,5.5,5.526,10571
2025-06-23,DEFS.MI,5.48,5.503,5.394,5.465,19435
2025-06-24,DEFS.MI,5.422,5.508,5.4,5.424,16292
2025-06-25,DEFS.MI,5.459,5.526,5.459,5.516,9214
2025-06-26,DEFS.MI,5.546,5.709,5.539,5.709,60717
2025-06-27,DEFS.MI,5.698,5.698,5.627,5.627,37823
2025-06-30,DEFS.MI,5.704,5.72,5.691,5.712,33018
2025-07-01,DEFS.MI,5.704,5.704,5.503,5.503,14777
2025-07-02,DEFS.MI,5.502,5.506,5.446,5.484,11595
2025-07-03,DEFS.MI,5.526,5.545,5.481,5.535,3529
2025-07-04,DEFS.MI,5.544,5.576,5.528,5.568,10640
2025-07-07,DEFS.MI,5.602,5.652,5.581,5.652,10111
2025-07-08,DEFS.MI,5.675,5.702,5.655,5.659,42651
2025-07-09,DEFS.MI,5.714,5.725,5.678,5.722,37183
2025-07-10,DEFS.MI,5.708,5.734,5.675,5.701,16279
2025-07-11,DEFS.MI,5.725,5.746,5.67,5.73,30416
2025-07-14,DEFS.MI,5.718,5.793,5.7,5.786,54021
2025-07-15,DEFS.MI,5.768,5.777,5.7,5.706,19394
2025-07-16,DEFS.MI,5.702,5.703,5.66,5.66,25676
2025-07-17,DEFS.MI,5.695,5.748,5.695,5.748,1827
2025-07-18,DEFS.MI,5.815,5.852,5.808,5.848,21063
2025-07-21,DEFS.MI,5.833,5.833,5.734,5.784,21998
2025-07-22,DEFS.MI,5.787,5.787,5.672,5.676,15692
2025-07-23,DEFS.MI,5.661,5.708,5.661,5.689,7723
2025-07-24,DEFS.MI,5.772,5.772,5.638,5.638,25313
2025-07-25,DEFS.MI,5.616,5.624,5.57,5.602,32144
2025-07-28,DEFS.MI,5.564,5.584,5.489,5.493,9048
2025-07-29,DEFS.MI,5.545,5.634,5.531,5.626,17624
2025-07-30,DEFS.MI,5.616,5.634,5.59,5.607,9207
2025-07-31,DEFS.MI,5.691,5.746,5.678,5.678,9001
2025-08-01,DEFS.MI,5.645,5.645,5.499,5.574,27818
2025-08-04,DEFS.MI,5.624,5.671,5.624,5.665,12834
2025-08-05,DEFS.MI,5.69,5.798,5.685,5.692,15799
2025-08-06,DEFS.MI,5.756,5.756,5.668,5.74,12348
2025-08-07,DEFS.MI,5.673,5.695,5.59,5.608,13605
2025-08-08,DEFS.MI,5.619,5.655,5.509,5.532,35718
2025-08-11,DEFS.MI,5.427,5.486,5.407,5.474,15291
2025-08-12,DEFS.MI,5.541,5.558,5.541,5.558,1975
2025-08-13,DEFS.MI,5.623,5.646,5.558,5.562,3125
2025-08-14,DEFS.MI,5.597,5.691,5.597,5.689,9942
2025-08-18,DEFS.MI,5.67,5.715,5.67,5.715,3924
2025-08-19,DEFS.MI,5.684,5.684,5.467,5.504,10642
2025-08-20,DEFS.MI,5.422,5.486,5.421,5.462,18534
2025-08-21,DEFS.MI,5.55,5.564,5.525,5.558,6486
