Date,Ticker,Open,High,Low,Close,Volume
2024-09-30,DXG5.MI,5.012,5.012,5.012,5.012,0
2024-10-01,DXG5.MI,5.025,5.025,5.025,5.025,0
2024-10-02,DXG5.MI,5.017,5.017,5.017,5.017,0
2024-10-03,DXG5.MI,5.012,5.012,5.012,5.012,0
2024-10-04,DXG5.MI,4.993,4.993,4.993,4.993,0
2024-10-07,DXG5.MI,4.984,4.984,4.984,4.984,0
2024-10-08,DXG5.MI,4.987,4.987,4.987,4.987,0
2024-10-09,DXG5.MI,4.985,4.985,4.985,4.985,0
2024-10-10,DXG5.MI,4.986,4.986,4.986,4.986,0
2024-10-11,DXG5.MI,4.983,4.983,4.983,4.983,0
2024-10-14,DXG5.MI,4.984,4.984,4.984,4.984,0
2024-10-15,DXG5.MI,4.997,4.997,4.997,4.997,0
2024-10-16,DXG5.MI,5.005,5.005,5.005,5.005,0
2024-10-17,DXG5.MI,5.006,5.006,5.006,5.006,0
2024-10-18,DXG5.MI,5.014,5.014,5.014,5.014,0
2024-10-21,DXG5.MI,4.996,4.996,4.996,4.996,0
2024-10-22,DXG5.MI,4.992,4.992,4.992,4.992,0
2024-10-23,DXG5.MI,4.997,4.997,4.997,4.997,0
2024-10-24,DXG5.MI,5.009,5.009,5.009,5.009,0
2024-10-25,DXG5.MI,4.999,4.999,4.999,4.999,0
2024-10-28,DXG5.MI,5.001,5.001,5.001,5.001,0
2024-10-29,DXG5.MI,4.992,4.992,4.992,4.992,0
2024-10-30,DXG5.MI,4.976,4.976,4.976,4.976,0
2024-10-31,DXG5.MI,4.971,4.971,4.971,4.971,0
2024-11-04,DXG5.MI,4.974,4.974,4.974,4.974,0
2024-11-05,DXG5.MI,4.969,4.969,4.969,4.969,0
2024-11-06,DXG5.MI,4.98,4.98,4.98,4.98,0
2024-11-07,DXG5.MI,4.977,4.977,4.977,4.977,0
2024-11-08,DXG5.MI,4.984,4.984,4.984,4.984,0
2024-11-11,DXG5.MI,4.992,4.996,4.992,4.996,17239
2024-11-12,DXG5.MI,5.01,5.01,4.992,4.992,23774
2024-11-13,DXG5.MI,4.992,4.992,4.992,4.992,0
2024-11-14,DXG5.MI,4.993,5.001,4.991,5.001,39486
2024-11-15,DXG5.MI,5.0,5.001,5.0,5.001,1019
2024-11-18,DXG5.MI,4.991,4.993,4.989,4.993,13635
2024-11-19,DXG5.MI,5.0,5.002,4.999,4.999,50072
2024-11-20,DXG5.MI,4.996,4.997,4.985,4.997,27671
2024-11-21,DXG5.MI,5.001,5.008,4.997,5.002,43837
2024-11-22,DXG5.MI,5.019,5.019,5.015,5.015,3000
2024-11-25,DXG5.MI,5.015,5.019,5.009,5.019,69822
2024-11-26,DXG5.MI,5.016,5.023,5.016,5.016,20448
2024-11-27,DXG5.MI,5.021,5.021,5.016,5.02,44762
2024-11-28,DXG5.MI,5.025,5.029,5.02,5.029,24452
