Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,DXJF.MI,17.596,17.692,17.596,17.668,126
2018-01-03,DXJF.MI,17.816,17.936,17.752,17.918,3179
2018-01-04,DXJF.MI,18.244,18.278,18.234,18.278,3610
2018-01-05,DXJF.MI,18.374,18.374,18.348,18.348,8000
2018-01-08,DXJF.MI,18.448,18.448,18.404,18.444,2254
2018-01-09,DXJF.MI,18.444,18.444,18.444,18.444,0
2018-01-10,DXJF.MI,18.304,18.338,18.302,18.338,1251
2018-01-11,DXJF.MI,18.348,18.386,18.348,18.35,1275
2018-01-12,DXJF.MI,18.458,18.458,18.4,18.4,8000
2018-01-15,DXJF.MI,18.416,18.416,18.408,18.408,270
2018-01-16,DXJF.MI,18.408,18.408,18.408,18.408,0
2018-01-17,DXJF.MI,18.416,18.476,18.416,18.476,700
2018-01-18,DXJF.MI,18.33,18.342,18.33,18.342,270
2018-01-19,DXJF.MI,18.342,18.342,18.342,18.342,0
2018-01-22,DXJF.MI,18.46,18.492,18.46,18.492,136
2018-01-23,DXJF.MI,18.58,18.58,18.558,18.558,270
2018-01-24,DXJF.MI,18.408,18.408,18.334,18.334,200
2018-01-25,DXJF.MI,18.238,18.322,18.216,18.216,1440
2018-01-26,DXJF.MI,18.284,18.286,18.212,18.212,1248
2018-01-29,DXJF.MI,18.246,18.27,18.242,18.258,13223
2018-01-30,DXJF.MI,18.064,18.064,18.0,18.02,626
2018-01-31,DXJF.MI,17.922,17.958,17.922,17.958,8300
2018-02-01,DXJF.MI,18.148,18.176,18.068,18.068,112
2018-02-02,DXJF.MI,18.232,18.234,18.086,18.124,9887
2018-02-05,DXJF.MI,17.716,17.762,17.642,17.688,12971
2018-02-06,DXJF.MI,17.15,17.23,17.124,17.124,11771
2018-02-07,DXJF.MI,17.248,17.468,17.248,17.456,2640
2018-02-08,DXJF.MI,17.31,17.31,16.926,16.952,2724
2018-02-09,DXJF.MI,16.98,16.98,16.664,16.664,10010
2018-02-12,DXJF.MI,16.876,17.008,16.876,17.008,13116
2018-02-13,DXJF.MI,17.008,17.008,17.008,17.008,0
2018-02-14,DXJF.MI,17.008,17.008,17.008,17.008,0
2018-02-15,DXJF.MI,16.83,16.83,16.714,16.714,100
