Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,EBBB.MI,50.77,50.77,50.77,50.77,0
2018-01-03,EBBB.MI,50.78,50.82,50.78,50.8,5538
2018-01-04,EBBB.MI,50.82,50.83,50.81,50.81,748
2018-01-05,EBBB.MI,50.84,50.89,50.83,50.83,2048
2018-01-08,EBBB.MI,50.86,50.87,50.86,50.86,852
2018-01-09,EBBB.MI,50.87,50.88,50.85,50.85,1141
2018-01-10,EBBB.MI,50.86,50.87,50.82,50.82,2878
2018-01-11,EBBB.MI,50.84,50.85,50.73,50.73,1548
2018-01-12,EBBB.MI,50.73,50.73,50.73,50.73,0
2018-01-15,EBBB.MI,50.73,50.73,50.73,50.73,0
2018-01-16,EBBB.MI,50.75,50.77,50.75,50.77,1728
2018-01-17,EBBB.MI,50.78,50.79,50.77,50.77,774
2018-01-18,EBBB.MI,50.78,50.81,50.78,50.78,874
2018-01-19,EBBB.MI,50.82,50.85,50.82,50.82,280
2018-01-22,EBBB.MI,50.82,50.82,50.82,50.82,0
2018-01-23,EBBB.MI,50.89,50.89,50.85,50.85,206
2018-01-24,EBBB.MI,50.85,50.85,50.85,50.85,0
2018-01-25,EBBB.MI,50.87,50.87,50.81,50.81,1017
2018-01-26,EBBB.MI,50.81,50.81,50.81,50.81,0
2018-01-29,EBBB.MI,50.7,50.74,50.7,50.74,378
2018-01-30,EBBB.MI,50.78,50.78,50.71,50.74,260
2018-01-31,EBBB.MI,50.59,50.8,50.59,50.72,2569
2018-02-01,EBBB.MI,50.71,50.8,50.71,50.77,308
2018-02-02,EBBB.MI,50.7,50.75,50.7,50.71,2221
2018-02-05,EBBB.MI,50.71,50.71,50.71,50.71,0
2018-02-06,EBBB.MI,50.87,50.87,50.72,50.72,260
2018-02-07,EBBB.MI,50.74,50.79,50.73,50.79,264
2018-02-08,EBBB.MI,50.76,50.76,50.67,50.67,4753
2018-02-09,EBBB.MI,50.7,50.7,50.69,50.69,237
2018-02-12,EBBB.MI,50.69,50.72,50.69,50.69,3878
2018-02-13,EBBB.MI,50.68,50.7,50.63,50.63,2957
2018-02-14,EBBB.MI,50.67,50.73,50.67,50.7,5081
2018-02-15,EBBB.MI,50.7,50.72,50.7,50.71,7432
2018-02-16,EBBB.MI,50.82,50.82,50.71,50.79,4241
2018-02-19,EBBB.MI,50.77,50.79,50.72,50.76,1312
2018-02-20,EBBB.MI,50.76,50.78,50.76,50.76,1457
2018-02-21,EBBB.MI,50.77,50.77,50.71,50.74,398
2018-02-22,EBBB.MI,50.77,50.78,50.77,50.77,5296
