Date,Ticker,Open,High,Low,Close,Volume
2020-06-26,ECO.MI,11.71,11.71,11.68,11.68,50
2020-06-29,ECO.MI,11.68,11.68,11.68,11.68,0
2020-06-30,ECO.MI,11.77,11.77,11.71,11.71,500
2020-07-01,ECO.MI,11.7,11.7,11.7,11.7,0
2020-07-02,ECO.MI,11.79,11.79,11.784,11.784,500
2020-07-03,ECO.MI,11.782,11.782,11.782,11.782,0
2020-07-06,ECO.MI,11.754,11.754,11.754,11.754,0
2020-07-07,ECO.MI,11.77,11.77,11.77,11.77,0
2020-07-08,ECO.MI,11.76,11.76,11.76,11.76,0
2020-07-09,ECO.MI,11.78,11.78,11.78,11.78,0
2020-07-10,ECO.MI,11.812,11.812,11.812,11.812,0
2020-07-13,ECO.MI,11.838,11.838,11.764,11.764,50
2020-07-14,ECO.MI,11.736,11.736,11.736,11.736,0
2020-07-15,ECO.MI,11.792,11.792,11.752,11.752,91
2020-07-16,ECO.MI,11.782,11.782,11.782,11.782,0
2020-07-17,ECO.MI,11.806,11.806,11.806,11.806,0
2020-07-20,ECO.MI,11.816,11.832,11.8,11.832,650
2020-07-21,ECO.MI,11.868,11.888,11.834,11.834,1235
2020-07-22,ECO.MI,11.848,11.848,11.772,11.772,900
2020-07-23,ECO.MI,11.804,11.804,11.772,11.772,3950
2020-07-24,ECO.MI,11.732,11.732,11.732,11.732,0
2020-07-27,ECO.MI,11.69,11.69,11.654,11.654,800
2020-07-28,ECO.MI,11.674,11.68,11.674,11.68,856
2020-07-29,ECO.MI,11.642,11.642,11.642,11.642,0
2020-07-30,ECO.MI,11.652,11.652,11.652,11.652,0
2020-07-31,ECO.MI,11.64,11.64,11.616,11.616,450
2020-08-03,ECO.MI,11.63,11.71,11.63,11.668,1260
2020-08-04,ECO.MI,11.72,11.728,11.692,11.692,1390
2020-08-05,ECO.MI,11.716,11.716,11.6,11.6,40
2020-08-06,ECO.MI,11.68,11.68,11.678,11.678,40
2020-08-07,ECO.MI,11.74,11.74,11.708,11.708,40
2020-08-10,ECO.MI,11.778,11.778,11.718,11.718,40
2020-08-11,ECO.MI,11.69,11.69,11.656,11.656,40
2020-08-12,ECO.MI,11.646,11.646,11.602,11.602,86012
2020-08-13,ECO.MI,11.558,11.558,11.558,11.558,0
2020-08-14,ECO.MI,11.492,11.492,11.492,11.492,0
2020-08-17,ECO.MI,11.5,11.5,11.47,11.47,46
2020-08-18,ECO.MI,11.44,11.44,11.44,11.44,0
2020-08-19,ECO.MI,11.454,11.46,11.454,11.46,4350
2020-08-20,ECO.MI,11.482,11.482,11.482,11.482,0
2020-08-21,ECO.MI,11.544,11.544,11.544,11.544,0
2020-08-24,ECO.MI,11.536,11.536,11.536,11.536,0
2020-08-25,ECO.MI,11.464,11.464,11.464,11.464,0
2020-08-26,ECO.MI,11.446,11.446,11.446,11.446,0
2020-08-27,ECO.MI,11.49,11.49,11.448,11.448,45
2020-08-28,ECO.MI,11.38,11.38,11.38,11.38,0
2020-08-31,ECO.MI,11.4,11.4,11.36,11.36,45
2020-09-01,ECO.MI,11.39,11.39,11.39,11.39,0
2020-09-02,ECO.MI,11.542,11.542,11.542,11.542,0
2020-09-03,ECO.MI,11.59,11.59,11.55,11.55,7200
2020-09-04,ECO.MI,11.522,11.522,11.522,11.522,0
2020-09-07,ECO.MI,11.458,11.458,11.458,11.458,0
2020-09-08,ECO.MI,11.49,11.49,11.49,11.49,0
2020-09-09,ECO.MI,11.466,11.466,11.466,11.466,0
2020-09-10,ECO.MI,11.394,11.394,11.394,11.394,0
2020-09-11,ECO.MI,11.404,11.456,11.404,11.456,100
2020-09-14,ECO.MI,11.45,11.45,11.45,11.45,0
2020-09-15,ECO.MI,11.486,11.486,11.476,11.476,2
2020-09-16,ECO.MI,11.494,11.494,11.494,11.494,0
2020-09-17,ECO.MI,11.524,11.524,11.524,11.524,0
2020-09-18,ECO.MI,11.516,11.516,11.48,11.48,100000
2020-09-21,ECO.MI,11.504,11.54,11.504,11.54,500
2020-09-22,ECO.MI,11.53,11.556,11.53,11.556,100
2020-09-23,ECO.MI,11.564,11.564,11.564,11.564,0
2020-09-24,ECO.MI,11.548,11.548,11.548,11.548,0
2020-09-25,ECO.MI,11.544,11.544,11.544,11.544,0
2020-09-28,ECO.MI,11.538,11.538,11.538,11.538,0
2020-09-29,ECO.MI,11.496,11.496,11.496,11.496,0
2020-09-30,ECO.MI,11.488,11.488,11.488,11.488,0
2020-10-01,ECO.MI,11.494,11.494,11.494,11.494,0
2020-10-02,ECO.MI,11.522,11.522,11.522,11.522,0
2020-10-05,ECO.MI,11.474,11.474,11.474,11.474,0
2020-10-06,ECO.MI,11.474,11.478,11.474,11.478,800
2020-10-07,ECO.MI,11.492,11.492,11.492,11.492,0
2020-10-08,ECO.MI,11.514,11.514,11.514,11.514,0
2020-10-09,ECO.MI,11.512,11.512,11.478,11.478,30000
2020-10-12,ECO.MI,11.516,11.516,11.516,11.516,0
2020-10-13,ECO.MI,11.568,11.572,11.568,11.572,63
2020-10-14,ECO.MI,11.576,11.576,11.576,11.576,0
2020-10-15,ECO.MI,11.648,11.648,11.614,11.614,2
2020-10-16,ECO.MI,11.596,11.596,11.596,11.596,0
2020-10-19,ECO.MI,11.568,11.568,11.54,11.54,8700
2020-10-20,ECO.MI,11.494,11.494,11.494,11.494,0
2020-10-21,ECO.MI,11.45,11.45,11.45,11.45,0
2020-10-22,ECO.MI,11.448,11.448,11.448,11.448,0
2020-10-23,ECO.MI,11.442,11.442,11.442,11.442,0
2020-10-26,ECO.MI,11.468,11.468,11.468,11.468,0
2020-10-27,ECO.MI,11.494,11.494,11.494,11.494,0
2020-10-28,ECO.MI,11.582,11.582,11.528,11.528,1750
2020-10-29,ECO.MI,11.59,11.59,11.566,11.566,120
2020-10-30,ECO.MI,11.546,11.546,11.546,11.546,0
2020-11-02,ECO.MI,11.566,11.566,11.566,11.566,0
2020-11-03,ECO.MI,11.502,11.502,11.502,11.502,0
2020-11-04,ECO.MI,11.588,11.618,11.588,11.618,86012
2020-11-05,ECO.MI,11.6,11.6,11.6,11.6,0
2020-11-06,ECO.MI,11.558,11.558,11.558,11.558,0
2020-11-09,ECO.MI,11.552,11.552,11.552,11.552,0
2020-11-10,ECO.MI,11.534,11.534,11.534,11.534,0
2020-11-11,ECO.MI,11.534,11.534,11.534,11.534,0
2020-11-12,ECO.MI,11.52,11.52,11.52,11.52,0
2020-11-13,ECO.MI,11.534,11.552,11.534,11.552,500
2020-11-16,ECO.MI,11.53,11.554,11.53,11.554,40
2020-11-17,ECO.MI,11.56,11.56,11.56,11.56,0
2020-11-18,ECO.MI,11.59,11.59,11.59,11.59,0
2020-11-19,ECO.MI,11.626,11.626,11.626,11.626,0
2020-11-20,ECO.MI,11.632,11.632,11.632,11.632,0
2020-11-23,ECO.MI,11.626,11.676,11.606,11.676,130675
2020-11-24,ECO.MI,11.638,11.638,11.638,11.638,0
2020-11-25,ECO.MI,11.622,11.622,11.622,11.622,0
2020-11-26,ECO.MI,11.598,11.636,11.598,11.636,120
2020-11-27,ECO.MI,11.654,11.654,11.604,11.604,119
2020-11-30,ECO.MI,11.634,11.634,11.634,11.634,0
2020-12-01,ECO.MI,11.566,11.566,11.566,11.566,0
2020-12-02,ECO.MI,11.572,11.572,11.49,11.49,40
2020-12-03,ECO.MI,11.472,11.472,11.472,11.472,0
2020-12-04,ECO.MI,11.464,11.464,11.464,11.464,0
2020-12-07,ECO.MI,11.516,11.516,11.458,11.458,175
2020-12-08,ECO.MI,11.494,11.494,11.494,11.494,0
2020-12-09,ECO.MI,11.494,11.494,11.494,11.494,0
2020-12-10,ECO.MI,11.458,11.458,11.458,11.458,0
2020-12-11,ECO.MI,11.502,11.502,11.502,11.502,0
2020-12-14,ECO.MI,11.478,11.478,11.478,11.478,0
2020-12-15,ECO.MI,11.492,11.492,11.454,11.454,2
2020-12-16,ECO.MI,11.444,11.444,11.444,11.444,0
2020-12-17,ECO.MI,11.418,11.418,11.418,11.418,0
2020-12-18,ECO.MI,11.422,11.422,11.422,11.422,0
2020-12-21,ECO.MI,11.404,11.404,11.404,11.404,0
2020-12-22,ECO.MI,11.438,11.438,11.438,11.438,0
2020-12-23,ECO.MI,11.418,11.418,11.418,11.418,0
2020-12-28,ECO.MI,11.448,11.448,11.448,11.448,0
2020-12-29,ECO.MI,11.444,11.444,11.444,11.444,0
2020-12-30,ECO.MI,11.458,11.458,11.424,11.424,10
2021-01-04,ECO.MI,11.446,11.446,11.446,11.446,0
2021-01-05,ECO.MI,11.434,11.434,11.434,11.434,0
2021-01-06,ECO.MI,11.33,11.33,11.33,11.33,0
2021-01-07,ECO.MI,11.314,11.314,11.314,11.314,0
2021-01-08,ECO.MI,11.324,11.324,11.324,11.324,0
2021-01-11,ECO.MI,11.366,11.366,11.366,11.366,0
2021-01-12,ECO.MI,11.326,11.326,11.326,11.326,0
2021-01-13,ECO.MI,11.388,11.388,11.388,11.388,0
2021-01-14,ECO.MI,11.432,11.432,11.432,11.432,0
