Date,Ticker,Open,High,Low,Close,Volume
2022-07-28,EGEHE.MI,10.904,11.214,10.904,11.214,13549
2022-07-29,EGEHE.MI,11.214,11.214,11.214,11.214,0
2022-08-01,EGEHE.MI,11.214,11.214,11.214,11.214,0
2022-08-02,EGEHE.MI,11.214,11.214,11.214,11.214,0
2022-08-03,EGEHE.MI,11.214,11.214,11.214,11.214,0
2022-08-04,EGEHE.MI,11.348,11.36,11.312,11.36,13477
2022-08-05,EGEHE.MI,11.4,11.406,11.4,11.406,100
2022-08-08,EGEHE.MI,11.586,11.586,11.568,11.568,50
2022-08-09,EGEHE.MI,11.568,11.568,11.568,11.568,0
2022-08-10,EGEHE.MI,11.568,11.568,11.568,11.568,0
2022-08-11,EGEHE.MI,11.718,11.802,11.718,11.802,1320
2022-08-12,EGEHE.MI,11.742,11.768,11.742,11.768,171
2022-08-16,EGEHE.MI,11.768,11.768,11.768,11.768,0
2022-08-17,EGEHE.MI,11.908,11.916,11.76,11.76,430
2022-08-18,EGEHE.MI,11.76,11.76,11.76,11.76,0
2022-08-19,EGEHE.MI,11.896,11.896,11.564,11.564,265
2022-08-22,EGEHE.MI,11.564,11.564,11.564,11.564,0
2022-08-23,EGEHE.MI,11.564,11.564,11.564,11.564,0
2022-08-24,EGEHE.MI,11.45,11.58,11.42,11.58,190
2022-08-25,EGEHE.MI,11.62,11.794,11.62,11.652,12047
2022-08-26,EGEHE.MI,11.496,11.502,11.496,11.502,1750
2022-08-29,EGEHE.MI,11.318,11.354,11.312,11.354,1039
2022-08-30,EGEHE.MI,11.354,11.354,11.354,11.354,0
2022-08-31,EGEHE.MI,11.208,11.208,11.104,11.104,130
2022-09-01,EGEHE.MI,10.972,11.06,10.894,10.894,6498
2022-09-02,EGEHE.MI,10.936,10.998,10.936,10.992,460
2022-09-05,EGEHE.MI,10.844,10.904,10.844,10.898,2061
2022-09-06,EGEHE.MI,10.898,10.898,10.898,10.898,0
2022-09-07,EGEHE.MI,10.97,10.97,10.954,10.954,1770
2022-09-08,EGEHE.MI,10.954,10.954,10.954,10.954,0
2022-09-09,EGEHE.MI,11.178,11.22,11.178,11.22,730
2022-09-12,EGEHE.MI,11.214,11.258,11.214,11.258,16
2022-09-13,EGEHE.MI,11.258,11.258,11.258,11.258,0
2022-09-14,EGEHE.MI,11.258,11.258,11.258,11.258,0
2022-09-15,EGEHE.MI,11.258,11.258,11.258,11.258,0
2022-09-16,EGEHE.MI,11.258,11.258,11.258,11.258,0
2022-09-19,EGEHE.MI,11.258,11.258,11.258,11.258,0
2022-09-20,EGEHE.MI,11.258,11.258,11.258,11.258,0
2022-09-21,EGEHE.MI,10.708,10.796,10.708,10.776,1926
2022-09-22,EGEHE.MI,10.5,10.5,10.474,10.474,200
2022-09-23,EGEHE.MI,10.474,10.474,10.474,10.474,0
2022-09-26,EGEHE.MI,10.474,10.474,10.474,10.474,0
2022-09-27,EGEHE.MI,10.474,10.474,10.474,10.474,0
2022-09-28,EGEHE.MI,10.0,10.142,10.0,10.142,200
2022-09-29,EGEHE.MI,10.142,10.142,10.142,10.142,0
2022-09-30,EGEHE.MI,10.142,10.142,10.142,10.142,0
2022-10-03,EGEHE.MI,9.804,10.05,9.804,10.05,135
2022-10-04,EGEHE.MI,10.05,10.05,10.05,10.05,0
2022-10-05,EGEHE.MI,10.05,10.05,10.05,10.05,0
2022-10-06,EGEHE.MI,10.05,10.05,10.05,10.05,0
2022-10-07,EGEHE.MI,10.05,10.05,10.05,10.05,0
2022-10-10,EGEHE.MI,10.05,10.05,10.05,10.05,0
2022-10-11,EGEHE.MI,10.05,10.05,10.05,10.05,0
2022-10-12,EGEHE.MI,9.74,9.74,9.678,9.678,500
2022-10-13,EGEHE.MI,9.678,9.678,9.678,9.678,0
2022-10-14,EGEHE.MI,9.678,9.678,9.678,9.678,0
2022-10-17,EGEHE.MI,9.912,9.912,9.871,9.871,59
2022-10-18,EGEHE.MI,9.981,9.981,9.907,9.907,102
2022-10-19,EGEHE.MI,9.907,9.907,9.907,9.907,0
2022-10-20,EGEHE.MI,9.915,9.915,9.871,9.871,36
2022-10-21,EGEHE.MI,9.871,9.871,9.871,9.871,0
2022-10-24,EGEHE.MI,9.871,9.871,9.871,9.871,0
2022-10-25,EGEHE.MI,9.871,9.871,9.871,9.871,0
2022-10-26,EGEHE.MI,9.871,9.871,9.871,9.871,0
2022-10-27,EGEHE.MI,9.871,9.871,9.871,9.871,0
2022-10-28,EGEHE.MI,9.871,9.871,9.871,9.871,0
2022-10-31,EGEHE.MI,9.871,9.871,9.871,9.871,0
2022-11-01,EGEHE.MI,10.39,10.39,10.318,10.318,80
2022-11-02,EGEHE.MI,10.294,10.294,10.214,10.214,50
2022-11-03,EGEHE.MI,10.214,10.214,10.214,10.214,0
