Date,Ticker,Open,High,Low,Close,Volume
2019-08-28,EIB3.MI,40.0,40.0,40.0,40.0,0
2019-08-29,EIB3.MI,40.014,40.014,40.014,40.014,0
2019-08-30,EIB3.MI,40.015,40.015,40.015,40.015,0
2019-09-02,EIB3.MI,40.021,40.021,40.021,40.021,0
2019-09-03,EIB3.MI,40.031,40.031,40.031,40.031,0
2019-09-04,EIB3.MI,40.032,40.032,40.032,40.032,0
2019-09-05,EIB3.MI,40.012,40.012,40.012,40.012,0
2019-09-06,EIB3.MI,40.022,40.022,40.022,40.022,0
2019-09-09,EIB3.MI,40.002,40.002,40.002,40.002,0
2019-09-10,EIB3.MI,39.987,39.987,39.987,39.987,0
2019-09-11,EIB3.MI,39.996,39.996,39.996,39.996,0
2019-09-12,EIB3.MI,39.949,39.949,39.949,39.949,0
2019-09-13,EIB3.MI,39.912,39.912,39.912,39.912,0
2019-09-16,EIB3.MI,39.939,39.939,39.939,39.939,0
2019-09-17,EIB3.MI,39.921,39.921,39.921,39.921,0
2019-09-18,EIB3.MI,39.936,39.936,39.936,39.936,0
2019-09-19,EIB3.MI,39.921,39.921,39.921,39.921,0
2019-09-20,EIB3.MI,39.92,39.92,39.92,39.92,0
2019-09-23,EIB3.MI,39.943,39.943,39.943,39.943,0
2019-09-24,EIB3.MI,39.943,39.943,39.943,39.943,0
2019-09-25,EIB3.MI,39.936,39.936,39.936,39.936,0
2019-09-26,EIB3.MI,39.94,39.94,39.94,39.94,0
2019-09-27,EIB3.MI,39.951,39.951,39.951,39.951,0
2019-09-30,EIB3.MI,39.956,39.956,39.956,39.956,0
2019-10-01,EIB3.MI,39.955,39.955,39.955,39.955,0
2019-10-02,EIB3.MI,39.945,39.945,39.945,39.945,0
2019-10-03,EIB3.MI,39.954,39.954,39.954,39.954,0
2019-10-04,EIB3.MI,39.957,39.957,39.957,39.957,0
2019-10-07,EIB3.MI,39.944,39.944,39.944,39.944,0
2019-10-08,EIB3.MI,39.947,39.947,39.947,39.947,0
2019-10-09,EIB3.MI,39.933,39.933,39.933,39.933,0
2019-10-10,EIB3.MI,39.903,39.903,39.903,39.903,0
2019-10-11,EIB3.MI,39.908,39.908,39.908,39.908,0
2019-10-14,EIB3.MI,39.902,39.902,39.902,39.902,0
