Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,EJAH.MI,114.96,114.96,114.96,114.96,0
2018-01-03,EJAH.MI,114.36,115.86,114.36,115.86,1949
2018-01-04,EJAH.MI,116.92,118.26,116.92,118.06,4576
2018-01-05,EJAH.MI,118.54,118.56,118.54,118.56,10
2018-01-08,EJAH.MI,119.1,119.3,119.1,119.3,75
2018-01-09,EJAH.MI,119.02,119.02,118.72,118.78,60
2018-01-10,EJAH.MI,118.6,118.6,118.52,118.52,20
2018-01-11,EJAH.MI,118.64,118.64,118.52,118.52,15
2018-01-12,EJAH.MI,118.38,119.12,118.38,119.12,1602
2018-01-15,EJAH.MI,118.66,118.8,118.66,118.8,20
2018-01-16,EJAH.MI,119.5,119.5,119.32,119.32,125
2018-01-17,EJAH.MI,119.32,119.32,119.32,119.32,0
2018-01-18,EJAH.MI,119.32,119.32,119.32,119.32,0
2018-01-19,EJAH.MI,119.32,119.32,119.32,119.32,0
2018-01-22,EJAH.MI,119.32,119.32,119.32,119.32,0
2018-01-23,EJAH.MI,120.24,120.36,120.24,120.36,217
2018-01-24,EJAH.MI,120.36,120.36,120.36,120.36,0
2018-01-25,EJAH.MI,120.36,120.36,120.36,120.36,0
2018-01-26,EJAH.MI,120.36,120.36,120.36,120.36,0
2018-01-29,EJAH.MI,120.36,120.36,120.36,120.36,0
2018-01-30,EJAH.MI,120.36,120.36,120.36,120.36,0
2018-01-31,EJAH.MI,120.36,120.36,120.36,120.36,0
2018-02-01,EJAH.MI,117.62,117.62,116.92,116.92,5
2018-02-02,EJAH.MI,116.92,116.92,116.92,116.92,0
2018-02-05,EJAH.MI,116.92,116.92,116.92,116.92,0
2018-02-06,EJAH.MI,116.92,116.92,116.92,116.92,0
2018-02-07,EJAH.MI,116.92,116.92,116.92,116.92,0
2018-02-08,EJAH.MI,116.92,116.92,116.92,116.92,0
2018-02-09,EJAH.MI,116.92,116.92,116.92,116.92,0
2018-02-12,EJAH.MI,110.02,110.02,109.82,109.82,92
2018-02-13,EJAH.MI,109.82,109.82,109.82,109.82,0
2018-02-14,EJAH.MI,109.82,109.82,109.82,109.82,0
2018-02-15,EJAH.MI,109.82,109.82,109.82,109.82,0
