Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,EMHD.MI,27.14,27.24,27.14,27.165,38
2018-01-03,EMHD.MI,27.43,27.53,27.43,27.475,579
2018-01-04,EMHD.MI,27.51,27.545,27.51,27.545,140
2018-01-05,EMHD.MI,27.75,27.835,27.75,27.835,200
2018-01-08,EMHD.MI,28.05,28.12,28.05,28.12,40
2018-01-09,EMHD.MI,28.16,28.205,28.16,28.205,120
2018-01-10,EMHD.MI,28.0,28.0,27.935,27.965,108
2018-01-11,EMHD.MI,27.95,28.0,27.915,27.915,2071
2018-01-12,EMHD.MI,27.835,27.89,27.805,27.89,78
2018-01-15,EMHD.MI,27.63,27.63,27.495,27.495,1114
2018-01-16,EMHD.MI,27.495,27.495,27.495,27.495,0
2018-01-17,EMHD.MI,27.78,27.915,27.78,27.885,274
2018-01-18,EMHD.MI,28.0,28.0,27.91,27.98,490
2018-01-19,EMHD.MI,27.98,27.98,27.98,27.98,0
2018-01-22,EMHD.MI,27.98,27.98,27.98,27.98,0
2018-01-23,EMHD.MI,28.3,28.335,28.3,28.335,118
2018-01-24,EMHD.MI,28.335,28.335,28.335,28.335,0
2018-01-25,EMHD.MI,28.21,28.34,28.2,28.2,1290
2018-01-26,EMHD.MI,28.4,28.42,28.4,28.42,70
2018-01-29,EMHD.MI,28.3,28.31,28.25,28.31,2257
2018-01-30,EMHD.MI,28.1,28.1,27.89,27.89,260
2018-01-31,EMHD.MI,27.935,27.935,27.905,27.91,94
2018-02-01,EMHD.MI,27.94,27.94,27.73,27.73,388
2018-02-02,EMHD.MI,27.57,27.57,27.465,27.465,707
2018-02-05,EMHD.MI,27.465,27.465,27.465,27.465,0
2018-02-06,EMHD.MI,26.75,26.92,26.195,26.82,1436
2018-02-07,EMHD.MI,26.885,27.3,26.885,27.27,688
2018-02-08,EMHD.MI,27.27,27.27,27.27,27.27,0
2018-02-09,EMHD.MI,26.39,26.465,26.185,26.185,1753
2018-02-12,EMHD.MI,26.615,26.62,26.575,26.575,891
2018-02-13,EMHD.MI,26.67,26.68,26.655,26.655,340
2018-02-14,EMHD.MI,26.75,26.815,26.75,26.815,80
2018-02-15,EMHD.MI,27.14,27.14,27.01,27.09,439
2018-02-16,EMHD.MI,27.09,27.09,27.09,27.09,0
2018-02-19,EMHD.MI,27.315,27.365,27.315,27.365,70
2018-02-20,EMHD.MI,27.365,27.365,27.365,27.365,0
2018-02-21,EMHD.MI,27.505,27.665,27.505,27.665,285
2018-02-22,EMHD.MI,27.71,27.71,27.67,27.67,36
2018-02-23,EMHD.MI,27.67,27.67,27.67,27.67,0
2018-02-26,EMHD.MI,27.845,27.86,27.845,27.86,55299
2018-02-27,EMHD.MI,27.86,27.86,27.86,27.86,0
2018-02-28,EMHD.MI,27.86,27.86,27.86,27.86,0
2018-03-01,EMHD.MI,27.565,27.59,27.55,27.55,474
2018-03-02,EMHD.MI,27.55,27.55,27.55,27.55,0
2018-03-05,EMHD.MI,27.185,27.34,27.165,27.34,300
2018-03-06,EMHD.MI,27.34,27.34,27.34,27.34,0
2018-03-07,EMHD.MI,27.34,27.34,27.34,27.34,0
2018-03-08,EMHD.MI,27.215,27.29,27.215,27.29,25
2018-03-09,EMHD.MI,27.385,27.6,27.385,27.6,119
2018-03-12,EMHD.MI,27.6,27.6,27.6,27.6,0
2018-03-13,EMHD.MI,27.6,27.6,27.445,27.445,362
2018-03-14,EMHD.MI,27.735,27.735,27.415,27.42,137
2018-03-15,EMHD.MI,27.42,27.42,27.42,27.42,0
2018-03-16,EMHD.MI,27.42,27.42,27.42,27.42,0
2018-03-19,EMHD.MI,27.475,27.475,27.195,27.195,2668
2018-03-20,EMHD.MI,27.495,27.495,27.475,27.475,230
2018-03-21,EMHD.MI,27.6,27.65,27.6,27.65,100
2018-03-22,EMHD.MI,27.29,27.29,27.2,27.275,2338
2018-03-23,EMHD.MI,27.0,27.04,26.955,26.955,500
2018-03-26,EMHD.MI,27.15,27.15,26.72,26.72,10
2018-03-27,EMHD.MI,26.99,27.0,26.94,26.99,21332
2018-03-28,EMHD.MI,26.67,26.88,26.67,26.88,326
2018-03-29,EMHD.MI,26.88,26.88,26.88,26.88,0
2018-04-03,EMHD.MI,27.14,27.155,26.89,27.155,133
2018-04-04,EMHD.MI,26.625,27.045,26.625,27.045,199
2018-04-05,EMHD.MI,27.235,27.485,27.235,27.485,108
2018-04-06,EMHD.MI,27.21,27.21,27.045,27.045,18
2018-04-09,EMHD.MI,26.895,26.895,26.605,26.605,309
2018-04-10,EMHD.MI,26.645,26.645,26.515,26.61,564
2018-04-11,EMHD.MI,26.45,26.485,26.23,26.485,246
2018-04-12,EMHD.MI,26.485,26.485,26.485,26.485,0
2018-04-13,EMHD.MI,26.485,26.485,26.485,26.485,0
2018-04-16,EMHD.MI,26.485,26.485,26.485,26.485,0
2018-04-17,EMHD.MI,26.25,26.66,26.23,26.58,5098
2018-04-18,EMHD.MI,26.58,26.58,26.58,26.58,0
2018-04-19,EMHD.MI,26.58,26.58,26.58,26.58,0
2018-04-20,EMHD.MI,26.72,26.72,26.56,26.56,225
2018-04-23,EMHD.MI,26.56,26.56,26.56,26.56,0
2018-04-24,EMHD.MI,26.625,26.66,26.625,26.66,500
2018-04-25,EMHD.MI,26.48,26.48,26.455,26.455,90
2018-04-26,EMHD.MI,26.455,26.455,26.455,26.455,0
2018-04-27,EMHD.MI,26.455,26.455,26.455,26.455,0
2018-04-30,EMHD.MI,26.985,27.045,26.985,26.99,600
2018-05-02,EMHD.MI,26.97,26.97,26.815,26.815,115
2018-05-03,EMHD.MI,26.83,26.83,26.465,26.465,5400
2018-05-04,EMHD.MI,26.465,26.465,26.465,26.465,0
2018-05-07,EMHD.MI,26.465,26.465,26.465,26.465,0
2018-05-08,EMHD.MI,26.9,26.9,26.67,26.67,254
2018-05-09,EMHD.MI,26.67,26.67,26.67,26.67,0
2018-05-10,EMHD.MI,26.94,26.985,26.94,26.985,5000
2018-05-11,EMHD.MI,27.0,27.0,26.955,26.955,4000
2018-05-14,EMHD.MI,26.895,26.895,26.86,26.86,5054
2018-05-15,EMHD.MI,26.86,26.86,26.86,26.86,0
