Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,EMRG.MI,48.915,49.04,48.915,49.03,141
2018-01-03,EMRG.MI,49.795,49.835,49.765,49.765,60
2018-01-04,EMRG.MI,49.765,49.765,49.765,49.765,0
2018-01-05,EMRG.MI,49.765,49.765,49.765,49.765,0
2018-01-08,EMRG.MI,50.74,50.74,50.61,50.73,232
2018-01-09,EMRG.MI,50.99,50.99,50.91,50.91,6
2018-01-10,EMRG.MI,50.74,50.74,50.04,50.3,63
2018-01-11,EMRG.MI,50.5,50.5,50.09,50.12,169
2018-01-12,EMRG.MI,50.12,50.12,50.12,50.12,0
2018-01-15,EMRG.MI,49.75,49.8,49.75,49.8,50
2018-01-16,EMRG.MI,50.37,50.48,50.36,50.36,520
2018-01-17,EMRG.MI,50.02,50.49,50.02,50.43,6550
2018-01-18,EMRG.MI,50.68,50.76,50.57,50.57,113
2018-01-19,EMRG.MI,50.7,50.98,50.7,50.94,1254
2018-01-22,EMRG.MI,50.94,51.15,50.94,51.12,501
2018-01-23,EMRG.MI,51.36,51.44,51.36,51.44,298
2018-01-24,EMRG.MI,51.56,51.58,51.27,51.27,1795
2018-01-25,EMRG.MI,51.23,51.28,51.2,51.2,78
2018-01-26,EMRG.MI,51.61,51.82,51.61,51.77,234
2018-01-29,EMRG.MI,51.72,51.72,51.59,51.61,18
2018-01-30,EMRG.MI,50.95,50.95,50.42,50.45,478
2018-01-31,EMRG.MI,50.9,50.9,50.76,50.76,4
2018-02-01,EMRG.MI,50.79,50.79,50.13,50.13,420
2018-02-02,EMRG.MI,50.13,50.13,50.13,50.13,0
2018-02-05,EMRG.MI,49.245,49.245,48.805,48.99,484
2018-02-06,EMRG.MI,47.5,48.385,47.38,48.11,371
2018-02-07,EMRG.MI,48.075,48.845,48.075,48.75,5426
2018-02-08,EMRG.MI,48.07,48.07,47.075,47.075,280
2018-02-09,EMRG.MI,46.555,46.555,46.5,46.5,114
2018-02-12,EMRG.MI,47.625,47.625,47.35,47.365,20040
2018-02-13,EMRG.MI,47.55,47.55,47.29,47.455,710
2018-02-14,EMRG.MI,48.18,48.255,47.7,48.14,2037
2018-02-15,EMRG.MI,49.015,49.25,48.77,49.005,7140
2018-02-16,EMRG.MI,49.58,49.64,49.21,49.615,5705
2018-02-19,EMRG.MI,49.285,49.285,49.135,49.135,120
2018-02-20,EMRG.MI,48.79,49.11,48.65,49.07,2153
2018-02-21,EMRG.MI,49.31,49.765,49.31,49.765,240
2018-02-22,EMRG.MI,49.28,49.525,49.21,49.525,245
2018-02-23,EMRG.MI,49.825,49.895,49.61,49.785,5450
2018-02-26,EMRG.MI,50.25,50.25,50.03,50.13,11292
2018-02-27,EMRG.MI,49.86,50.02,49.62,49.62,2424
2018-02-28,EMRG.MI,49.13,49.445,49.13,49.22,1837
2018-03-01,EMRG.MI,49.42,49.42,49.05,49.195,14996
2018-03-02,EMRG.MI,48.17,48.17,47.6,47.8,1088
2018-03-05,EMRG.MI,48.155,48.39,48.02,48.355,1260
2018-03-06,EMRG.MI,48.8,48.995,48.535,48.535,991
2018-03-07,EMRG.MI,48.175,48.46,47.94,48.46,505
2018-03-08,EMRG.MI,48.745,48.96,48.6,48.96,506
2018-03-09,EMRG.MI,49.2,49.785,49.2,49.785,293
2018-03-12,EMRG.MI,50.23,50.24,49.82,50.11,1252
2018-03-13,EMRG.MI,50.3,50.3,49.5,49.59,3192
2018-03-14,EMRG.MI,49.865,49.955,49.5,49.5,1417
2018-03-15,EMRG.MI,50.04,50.04,49.8,49.805,3302
2018-03-16,EMRG.MI,50.01,50.01,49.645,49.75,244
2018-03-19,EMRG.MI,49.845,49.845,48.865,48.91,700
2018-03-20,EMRG.MI,49.705,49.83,49.705,49.83,1140
2018-03-21,EMRG.MI,49.54,49.825,49.54,49.825,50
2018-03-22,EMRG.MI,48.5,48.64,48.425,48.64,232
2018-03-23,EMRG.MI,47.875,48.0,47.785,47.79,1479
2018-03-26,EMRG.MI,48.25,48.275,47.53,47.585,3470
2018-03-27,EMRG.MI,48.36,48.555,48.305,48.305,9449
2018-03-28,EMRG.MI,47.325,47.555,47.325,47.37,5000
2018-03-29,EMRG.MI,47.37,47.37,47.37,47.37,0
2018-04-03,EMRG.MI,47.91,48.25,47.91,48.25,149
2018-04-04,EMRG.MI,47.955,47.955,46.85,47.66,353
2018-04-05,EMRG.MI,48.675,48.845,48.39,48.845,220
2018-04-06,EMRG.MI,48.845,48.845,48.845,48.845,0
2018-04-09,EMRG.MI,48.095,48.465,47.505,47.825,446
2018-04-10,EMRG.MI,47.91,48.08,47.815,48.08,146
2018-04-11,EMRG.MI,47.725,48.01,47.635,48.01,99
2018-04-12,EMRG.MI,48.285,48.375,48.26,48.375,30
2018-04-13,EMRG.MI,48.25,48.25,47.915,47.915,135
2018-04-16,EMRG.MI,47.775,47.775,47.5,47.54,128
2018-04-17,EMRG.MI,47.54,47.54,47.54,47.54,0
2018-04-18,EMRG.MI,47.845,48.19,47.845,48.19,513
2018-04-19,EMRG.MI,48.32,48.325,48.19,48.22,255
2018-04-20,EMRG.MI,47.75,48.075,47.685,47.685,86
2018-04-23,EMRG.MI,47.745,47.93,47.745,47.925,6253
2018-04-24,EMRG.MI,47.885,47.885,47.625,47.825,1030
2018-04-25,EMRG.MI,47.21,47.21,47.155,47.155,20
2018-04-26,EMRG.MI,47.295,47.95,47.255,47.95,5040
