Date,Ticker,Open,High,Low,Close,Volume
2018-04-27,EMUAA.MI,19.996,20.05,19.96,20.035,38850
2018-04-30,EMUAA.MI,20.035,20.035,20.035,20.035,0
2018-05-02,EMUAA.MI,20.035,20.035,20.035,20.035,0
2018-05-03,EMUAA.MI,20.035,20.035,20.035,20.035,0
2018-05-04,EMUAA.MI,20.035,20.035,20.035,20.035,0
2018-05-07,EMUAA.MI,20.035,20.035,20.035,20.035,0
2018-05-08,EMUAA.MI,20.035,20.035,20.035,20.035,0
2018-05-09,EMUAA.MI,20.035,20.035,20.035,20.035,0
2018-05-10,EMUAA.MI,20.035,20.035,20.035,20.035,0
2018-05-11,EMUAA.MI,20.035,20.035,20.035,20.035,0
2018-05-14,EMUAA.MI,20.035,20.035,20.035,20.035,0
2018-05-15,EMUAA.MI,20.52,20.52,20.5,20.5,250
2018-05-16,EMUAA.MI,20.5,20.5,20.5,20.5,0
2018-05-17,EMUAA.MI,20.485,20.6,20.485,20.6,6
2018-05-18,EMUAA.MI,20.6,20.6,20.6,20.6,0
2018-05-21,EMUAA.MI,20.6,20.6,20.6,20.6,0
2018-05-22,EMUAA.MI,20.6,20.6,20.6,20.6,0
2018-05-23,EMUAA.MI,20.6,20.6,20.6,20.6,0
2018-05-24,EMUAA.MI,20.515,20.515,20.35,20.35,147
2018-05-25,EMUAA.MI,20.35,20.35,20.35,20.35,0
2018-05-28,EMUAA.MI,20.47,20.47,20.235,20.235,2065
2018-05-29,EMUAA.MI,20.235,20.235,20.235,20.235,0
2018-05-30,EMUAA.MI,19.92,19.96,19.896,19.96,90
2018-05-31,EMUAA.MI,19.96,19.96,19.96,19.96,0
2018-06-01,EMUAA.MI,20.115,20.115,20.075,20.075,20
2018-06-04,EMUAA.MI,20.075,20.075,20.075,20.075,0
2018-06-05,EMUAA.MI,20.075,20.075,20.075,20.075,0
2018-06-06,EMUAA.MI,20.1,20.17,20.035,20.17,1039
2018-06-07,EMUAA.MI,20.195,20.195,20.175,20.175,600
2018-06-08,EMUAA.MI,20.175,20.175,20.175,20.175,0
2018-06-11,EMUAA.MI,20.24,20.295,20.24,20.295,1000
2018-06-12,EMUAA.MI,20.295,20.295,20.295,20.295,0
2018-06-13,EMUAA.MI,20.295,20.295,20.295,20.295,0
2018-06-14,EMUAA.MI,20.295,20.295,20.295,20.295,0
2018-06-15,EMUAA.MI,20.295,20.295,20.295,20.295,0
2018-06-18,EMUAA.MI,20.295,20.295,20.295,20.295,0
2018-06-19,EMUAA.MI,20.295,20.295,20.295,20.295,0
2018-06-20,EMUAA.MI,20.13,20.13,20.07,20.07,90
2018-06-21,EMUAA.MI,20.07,20.07,20.07,20.07,0
2018-06-22,EMUAA.MI,20.07,20.07,20.07,20.07,0
2018-06-25,EMUAA.MI,20.07,20.07,20.07,20.07,0
2018-06-26,EMUAA.MI,19.68,19.68,19.632,19.632,25800
2018-06-27,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-06-28,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-06-29,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-02,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-03,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-04,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-05,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-06,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-09,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-10,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-11,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-12,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-13,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-16,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-17,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-18,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-19,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-20,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-23,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-24,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-25,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-26,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-27,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-30,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-07-31,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-08-01,EMUAA.MI,19.632,19.632,19.632,19.632,0
2018-08-02,EMUAA.MI,19.632,19.632,19.632,19.632,0
