Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,ENAM.MI,218.25,218.25,218.25,218.25,0
2018-01-03,ENAM.MI,218.25,218.25,218.25,218.25,0
2018-01-04,ENAM.MI,218.25,218.25,218.25,218.25,0
2018-01-05,ENAM.MI,218.25,218.25,218.25,218.25,0
2018-01-08,ENAM.MI,218.25,218.25,218.25,218.25,0
2018-01-09,ENAM.MI,218.25,218.25,218.25,218.25,0
2018-01-10,ENAM.MI,218.25,218.25,218.25,218.25,0
2018-01-11,ENAM.MI,218.25,218.25,218.25,218.25,0
2018-01-12,ENAM.MI,218.25,218.25,218.25,218.25,0
2018-01-15,ENAM.MI,218.25,218.25,218.25,218.25,0
2018-01-16,ENAM.MI,218.25,218.25,218.25,218.25,0
2018-01-17,ENAM.MI,218.25,218.25,218.25,218.25,0
2018-01-18,ENAM.MI,218.25,218.25,218.25,218.25,0
2018-01-19,ENAM.MI,218.25,218.25,218.25,218.25,0
2018-01-22,ENAM.MI,218.25,218.25,218.25,218.25,0
2018-01-23,ENAM.MI,218.25,218.25,218.25,218.25,0
2018-01-24,ENAM.MI,218.25,218.25,218.25,218.25,0
2018-01-25,ENAM.MI,218.25,218.25,218.25,218.25,0
2018-01-26,ENAM.MI,221.35,222.75,221.3,222.75,2657
2018-01-29,ENAM.MI,222.75,222.75,222.75,222.75,0
2018-01-30,ENAM.MI,222.75,222.75,222.75,222.75,0
2018-01-31,ENAM.MI,222.75,222.75,222.75,222.75,0
2018-02-01,ENAM.MI,222.75,222.75,222.75,222.75,0
2018-02-02,ENAM.MI,222.75,222.75,222.75,222.75,0
2018-02-05,ENAM.MI,222.75,222.75,222.75,222.75,0
2018-02-06,ENAM.MI,222.75,222.75,222.75,222.75,0
2018-02-07,ENAM.MI,222.75,222.75,222.75,222.75,0
2018-02-08,ENAM.MI,211.75,211.75,209.45,209.45,112
2018-02-09,ENAM.MI,209.45,209.45,209.45,209.45,0
