Date,Ticker,Open,High,Low,Close,Volume
2019-10-11,ETFUSC.MI,18.324,18.324,18.204,18.204,20
2019-10-14,ETFUSC.MI,18.276,18.308,18.276,18.308,1707
2019-10-15,ETFUSC.MI,18.308,18.308,18.308,18.308,0
2019-10-16,ETFUSC.MI,18.246,18.27,18.246,18.246,10415
2019-10-17,ETFUSC.MI,18.074,18.166,18.074,18.166,25105
2019-10-18,ETFUSC.MI,18.18,18.18,18.16,18.16,10
2019-10-21,ETFUSC.MI,18.16,18.16,18.16,18.16,0
2019-10-22,ETFUSC.MI,18.16,18.16,18.16,18.16,0
2019-10-23,ETFUSC.MI,18.16,18.16,18.16,18.16,0
2019-10-24,ETFUSC.MI,18.16,18.16,18.16,18.16,0
2019-10-25,ETFUSC.MI,18.16,18.16,18.16,18.16,0
2019-10-28,ETFUSC.MI,18.16,18.16,18.16,18.16,0
2019-10-29,ETFUSC.MI,18.238,18.238,18.14,18.14,1873
2019-10-30,ETFUSC.MI,18.14,18.14,18.124,18.124,210
2019-10-31,ETFUSC.MI,18.124,18.124,18.124,18.124,0
2019-11-01,ETFUSC.MI,18.176,18.214,18.158,18.158,2414
2019-11-04,ETFUSC.MI,18.212,18.212,18.188,18.188,1607
2019-11-05,ETFUSC.MI,18.162,18.2,18.162,18.2,1407
2019-11-06,ETFUSC.MI,18.19,18.218,18.19,18.208,664
2019-11-07,ETFUSC.MI,18.208,18.208,18.208,18.208,0
2019-11-08,ETFUSC.MI,18.252,18.264,18.226,18.264,40
2019-11-11,ETFUSC.MI,18.234,18.234,18.194,18.222,1362
2019-11-12,ETFUSC.MI,18.226,18.23,18.226,18.23,1107
2019-11-13,ETFUSC.MI,18.23,18.23,18.23,18.23,0
2019-11-14,ETFUSC.MI,18.23,18.23,18.23,18.23,0
2019-11-15,ETFUSC.MI,18.23,18.23,18.23,18.23,0
2019-11-18,ETFUSC.MI,18.256,18.256,18.22,18.248,1744
2019-11-19,ETFUSC.MI,18.294,18.334,18.294,18.312,2705
2019-11-20,ETFUSC.MI,18.352,18.388,18.34,18.34,1067
2019-11-21,ETFUSC.MI,18.352,18.352,18.32,18.32,900
2019-11-22,ETFUSC.MI,18.32,18.32,18.32,18.32,0
2019-11-25,ETFUSC.MI,18.418,18.466,18.418,18.466,950
2019-11-26,ETFUSC.MI,18.51,18.512,18.5,18.512,1299
2019-11-27,ETFUSC.MI,18.544,18.544,18.506,18.506,500
2019-11-28,ETFUSC.MI,18.526,18.554,18.518,18.518,2645
2019-11-29,ETFUSC.MI,18.58,18.58,18.512,18.512,3020
2019-12-02,ETFUSC.MI,18.57,18.57,18.314,18.314,1650
2019-12-03,ETFUSC.MI,18.448,18.452,18.44,18.44,2000
2019-12-04,ETFUSC.MI,18.472,18.472,18.368,18.368,1084
2019-12-05,ETFUSC.MI,18.402,18.402,18.358,18.358,368
2019-12-06,ETFUSC.MI,18.468,18.468,18.446,18.446,500
2019-12-09,ETFUSC.MI,18.45,18.46,18.44,18.44,14500
2019-12-10,ETFUSC.MI,18.38,18.38,18.368,18.368,500
2019-12-11,ETFUSC.MI,18.368,18.368,18.368,18.368,0
2019-12-12,ETFUSC.MI,18.324,18.324,18.316,18.316,10000
2019-12-13,ETFUSC.MI,18.28,18.434,18.28,18.434,1107
2019-12-16,ETFUSC.MI,18.434,18.434,18.434,18.434,0
2019-12-17,ETFUSC.MI,18.434,18.434,18.434,18.434,0
2019-12-18,ETFUSC.MI,18.406,18.406,18.342,18.342,100
2019-12-19,ETFUSC.MI,18.342,18.342,18.342,18.342,0
2019-12-20,ETFUSC.MI,18.342,18.342,18.342,18.342,0
2019-12-23,ETFUSC.MI,18.452,18.452,18.42,18.42,1107
2019-12-27,ETFUSC.MI,18.42,18.42,18.42,18.42,0
2019-12-30,ETFUSC.MI,18.27,18.27,18.23,18.23,1050
2020-01-02,ETFUSC.MI,18.29,18.332,18.29,18.332,327
2020-01-03,ETFUSC.MI,18.472,18.472,18.368,18.368,5607
2020-01-06,ETFUSC.MI,18.368,18.368,18.368,18.368,0
2020-01-07,ETFUSC.MI,18.368,18.368,18.368,18.368,0
2020-01-08,ETFUSC.MI,18.368,18.368,18.368,18.368,0
2020-01-09,ETFUSC.MI,18.368,18.368,18.368,18.368,0
2020-01-10,ETFUSC.MI,18.368,18.368,18.368,18.368,0
2020-01-13,ETFUSC.MI,18.368,18.368,18.368,18.368,0
2020-01-14,ETFUSC.MI,18.482,18.482,18.46,18.47,5027
