Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,EUHI.MI,10.015,10.015,10.015,10.015,0
2018-01-03,EUHI.MI,10.034,10.045,10.034,10.045,600
2018-01-04,EUHI.MI,10.042,10.06,10.042,10.06,13300
2018-01-05,EUHI.MI,10.05,10.062,10.05,10.062,2924
2018-01-08,EUHI.MI,10.058,10.058,10.054,10.054,3100
2018-01-09,EUHI.MI,10.048,10.07,10.048,10.068,365
2018-01-10,EUHI.MI,10.058,10.064,10.056,10.064,3000
2018-01-11,EUHI.MI,10.05,10.052,10.05,10.052,1700
2018-01-12,EUHI.MI,10.028,10.049,10.028,10.049,1070
2018-01-15,EUHI.MI,10.049,10.049,10.049,10.049,0
2018-01-16,EUHI.MI,10.04,10.069,10.04,10.069,180
2018-01-17,EUHI.MI,10.066,10.077,10.065,10.077,4570
2018-01-18,EUHI.MI,10.058,10.058,10.055,10.055,1994
2018-01-19,EUHI.MI,10.05,10.055,10.05,10.055,6030
2018-01-22,EUHI.MI,10.06,10.088,10.06,10.088,50
2018-01-23,EUHI.MI,10.07,10.079,10.07,10.079,2314
2018-01-24,EUHI.MI,10.079,10.079,10.079,10.079,0
2018-01-25,EUHI.MI,10.06,10.08,10.054,10.055,20506
2018-01-26,EUHI.MI,10.06,10.072,10.06,10.072,31795
2018-01-29,EUHI.MI,10.074,10.074,10.062,10.062,1740
2018-01-30,EUHI.MI,10.056,10.061,10.048,10.061,2350
2018-01-31,EUHI.MI,10.061,10.061,10.061,10.061,0
2018-02-01,EUHI.MI,10.044,10.066,10.044,10.066,110
2018-02-02,EUHI.MI,10.032,10.032,10.024,10.025,840
2018-02-05,EUHI.MI,10.016,10.044,10.016,10.044,1210
2018-02-06,EUHI.MI,9.996,10.0,9.944,9.988,20251
2018-02-07,EUHI.MI,9.993,10.021,9.993,10.021,505
2018-02-08,EUHI.MI,10.021,10.021,10.021,10.021,0
2018-02-09,EUHI.MI,9.997,9.997,9.977,9.977,2500
2018-02-12,EUHI.MI,9.977,9.993,9.977,9.993,5000
2018-02-13,EUHI.MI,9.985,9.985,9.939,9.939,1688
2018-02-14,EUHI.MI,9.949,9.953,9.949,9.953,400
2018-02-15,EUHI.MI,9.953,9.953,9.953,9.953,0
2018-02-16,EUHI.MI,9.981,9.981,9.965,9.974,4421
2018-02-19,EUHI.MI,9.974,9.974,9.974,9.974,0
2018-02-20,EUHI.MI,9.982,9.982,9.977,9.977,305
2018-02-21,EUHI.MI,9.98,10.004,9.98,9.999,10987
2018-02-22,EUHI.MI,9.976,9.996,9.976,9.996,400
2018-02-23,EUHI.MI,9.985,9.985,9.954,9.971,8200
2018-02-26,EUHI.MI,9.971,9.971,9.971,9.971,0
2018-02-27,EUHI.MI,9.979,9.988,9.979,9.988,1000
2018-02-28,EUHI.MI,9.988,9.988,9.988,9.988,0
2018-03-01,EUHI.MI,9.969,9.976,9.965,9.976,1500
2018-03-02,EUHI.MI,9.974,9.982,9.974,9.982,50
2018-03-05,EUHI.MI,9.967,9.967,9.966,9.966,85
2018-03-06,EUHI.MI,9.966,9.966,9.966,9.966,0
2018-03-07,EUHI.MI,9.966,9.966,9.966,9.966,0
2018-03-08,EUHI.MI,9.966,9.966,9.966,9.966,0
2018-03-09,EUHI.MI,9.991,9.991,9.989,9.989,1500
2018-03-12,EUHI.MI,9.989,9.989,9.989,9.989,0
2018-03-13,EUHI.MI,10.0,10.004,9.994,9.994,2000
2018-03-14,EUHI.MI,9.994,9.994,9.994,9.994,0
2018-03-15,EUHI.MI,9.978,9.978,9.974,9.974,739
2018-03-16,EUHI.MI,9.974,9.974,9.974,9.974,0
2018-03-19,EUHI.MI,9.97,9.97,9.969,9.969,1500
2018-03-20,EUHI.MI,9.955,9.977,9.955,9.977,8
2018-03-21,EUHI.MI,10.0,10.0,9.963,9.971,350
2018-03-22,EUHI.MI,9.971,9.971,9.971,9.971,0
2018-03-23,EUHI.MI,9.945,9.946,9.928,9.938,8273
2018-03-26,EUHI.MI,9.945,9.945,9.945,9.945,150
2018-03-27,EUHI.MI,9.945,9.945,9.945,9.945,0
2018-03-28,EUHI.MI,9.945,9.945,9.945,9.945,0
2018-03-29,EUHI.MI,9.957,9.973,9.957,9.973,24312
2018-04-03,EUHI.MI,9.973,9.973,9.973,9.973,0
2018-04-04,EUHI.MI,9.945,9.961,9.945,9.953,666
2018-04-05,EUHI.MI,9.953,9.953,9.953,9.953,0
2018-04-06,EUHI.MI,9.953,9.953,9.953,9.953,0
2018-04-09,EUHI.MI,9.99,9.993,9.978,9.978,200
2018-04-10,EUHI.MI,9.978,9.978,9.978,9.978,0
2018-04-11,EUHI.MI,9.978,9.978,9.978,9.978,0
2018-04-12,EUHI.MI,9.978,9.978,9.978,9.978,0
2018-04-13,EUHI.MI,9.978,9.978,9.978,9.978,0
2018-04-16,EUHI.MI,10.02,10.02,10.016,10.016,12006
2018-04-17,EUHI.MI,10.028,10.028,10.025,10.025,1100
2018-04-18,EUHI.MI,10.025,10.032,10.021,10.021,8997
2018-04-19,EUHI.MI,10.004,10.004,9.986,9.986,16123
2018-04-20,EUHI.MI,9.996,10.016,9.996,10.008,390681
2018-04-23,EUHI.MI,10.012,10.02,10.009,10.009,276200
2018-04-24,EUHI.MI,10.157,10.176,10.009,10.01,457378
2018-04-25,EUHI.MI,10.014,10.014,10.002,10.002,9507
2018-04-26,EUHI.MI,10.166,10.166,9.999,10.01,283771
2018-04-27,EUHI.MI,10.027,10.035,10.02,10.028,384425
2018-04-30,EUHI.MI,10.03,10.03,10.019,10.019,61999
2018-05-02,EUHI.MI,10.034,10.13,10.018,10.029,137860
2018-05-03,EUHI.MI,10.024,10.034,10.024,10.024,33623
