Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,EXS1.MI,111.8,111.8,110.3,111.3,12377
2018-01-03,EXS1.MI,111.9,112.5,111.72,112.5,2002
2018-01-04,EXS1.MI,113.3,114.28,113.2,114.0,12721
2018-01-05,EXS1.MI,114.42,115.36,114.26,115.36,643
2018-01-08,EXS1.MI,116.0,116.08,115.62,115.8,5264
2018-01-09,EXS1.MI,116.04,116.14,115.84,115.92,5730
2018-01-10,EXS1.MI,115.72,115.72,114.6,114.94,7657
2018-01-11,EXS1.MI,115.16,115.16,113.9,114.26,16693
2018-01-12,EXS1.MI,114.58,114.7,113.96,114.56,75626
2018-01-15,EXS1.MI,114.7,114.7,114.06,114.38,55609
2018-01-16,EXS1.MI,114.46,115.52,114.38,114.58,37665
2018-01-17,EXS1.MI,114.26,114.54,113.8,114.0,11582
2018-01-18,EXS1.MI,114.52,115.0,114.36,114.86,3327
2018-01-19,EXS1.MI,115.0,116.34,115.0,116.34,5183
2018-01-22,EXS1.MI,116.48,116.64,116.08,116.46,2703
2018-01-23,EXS1.MI,117.56,117.66,117.1,117.44,6666
2018-01-24,EXS1.MI,117.36,117.46,116.3,116.3,7834
2018-01-25,EXS1.MI,116.22,116.32,114.64,114.98,30740
2018-01-26,EXS1.MI,115.16,115.52,114.84,115.46,25698
2018-01-29,EXS1.MI,115.6,115.76,115.04,115.34,8886
2018-01-30,EXS1.MI,114.84,115.18,114.22,114.32,1882
2018-01-31,EXS1.MI,114.66,114.72,114.04,114.14,563
2018-02-01,EXS1.MI,114.9,115.0,112.28,112.28,12084
2018-02-02,EXS1.MI,112.04,112.04,110.76,110.76,14225
2018-02-05,EXS1.MI,110.04,110.26,109.32,109.84,27720
2018-02-06,EXS1.MI,107.76,108.42,105.42,107.46,28203
2018-02-07,EXS1.MI,107.82,109.42,107.44,109.0,10442
2018-02-08,EXS1.MI,108.54,108.54,105.54,105.54,18647
2018-02-09,EXS1.MI,105.9,106.26,104.22,104.64,14850
2018-02-12,EXS1.MI,106.34,107.0,106.18,106.4,1827
2018-02-13,EXS1.MI,106.4,106.4,105.62,105.62,7530
2018-02-14,EXS1.MI,106.66,107.2,104.58,107.12,5409
2018-02-15,EXS1.MI,107.82,107.96,106.48,106.74,9897
2018-02-16,EXS1.MI,107.46,108.0,107.22,107.76,12718
2018-02-19,EXS1.MI,108.38,108.38,107.02,107.12,776
2018-02-20,EXS1.MI,107.58,108.14,107.0,108.14,1171
2018-02-21,EXS1.MI,107.82,107.9,107.24,107.9,1822
2018-02-22,EXS1.MI,106.96,108.12,106.56,108.12,1174
2018-02-23,EXS1.MI,107.98,108.14,107.78,108.0,1765
2018-02-26,EXS1.MI,108.9,109.02,108.12,108.56,5917
2018-02-27,EXS1.MI,108.7,108.78,107.78,107.98,49445
2018-02-28,EXS1.MI,107.56,108.2,107.4,107.62,4531
2018-03-01,EXS1.MI,107.24,107.24,105.2,105.2,1442
2018-03-02,EXS1.MI,104.5,104.5,102.8,103.14,5708
2018-03-05,EXS1.MI,102.3,104.8,102.3,104.8,18813
2018-03-06,EXS1.MI,105.96,106.12,104.82,104.82,9951
2018-03-07,EXS1.MI,104.76,106.0,104.4,105.98,9771
2018-03-08,EXS1.MI,105.9,107.0,105.56,107.0,3669
2018-03-09,EXS1.MI,107.0,107.3,106.34,106.72,1874
2018-03-12,EXS1.MI,107.94,107.94,107.0,107.52,1903
2018-03-13,EXS1.MI,107.58,107.8,105.54,105.54,15281
2018-03-14,EXS1.MI,105.76,106.6,105.62,105.8,37746
2018-03-15,EXS1.MI,106.36,107.12,106.1,106.94,22139
2018-03-16,EXS1.MI,107.02,107.56,106.86,107.38,35170
2018-03-19,EXS1.MI,106.94,106.94,105.42,105.64,36241
2018-03-20,EXS1.MI,105.98,106.56,105.48,106.56,32603
2018-03-21,EXS1.MI,106.9,106.9,105.98,106.5,24373
2018-03-22,EXS1.MI,105.46,106.1,103.86,104.52,31919
2018-03-23,EXS1.MI,103.7,103.9,102.26,102.96,20538
2018-03-26,EXS1.MI,103.18,103.68,101.38,101.82,17875
2018-03-27,EXS1.MI,104.06,104.18,103.28,103.62,14200
2018-03-28,EXS1.MI,103.0,103.32,101.84,103.06,20712
2018-03-29,EXS1.MI,103.44,104.96,103.36,104.82,9820
2018-04-03,EXS1.MI,103.9,104.42,103.06,103.94,9016
2018-04-04,EXS1.MI,103.72,103.72,102.06,103.46,19688
2018-04-05,EXS1.MI,104.92,106.66,104.92,106.6,5277
2018-04-06,EXS1.MI,105.92,106.22,105.56,105.7,4796
2018-04-09,EXS1.MI,106.52,106.98,105.54,105.92,12833
2018-04-10,EXS1.MI,107.1,107.38,106.66,107.22,6959
2018-04-11,EXS1.MI,107.02,107.02,106.0,106.32,7160
2018-04-12,EXS1.MI,106.28,107.48,106.06,107.38,7113
2018-04-13,EXS1.MI,107.78,108.22,107.44,107.62,4658
2018-04-16,EXS1.MI,107.96,107.96,107.04,107.14,6119
2018-04-17,EXS1.MI,107.3,109.1,107.3,108.92,8043
2018-04-18,EXS1.MI,108.9,109.28,108.6,108.88,6581
2018-04-19,EXS1.MI,108.86,108.86,108.46,108.66,3572
2018-04-20,EXS1.MI,108.56,108.74,108.08,108.4,8488
2018-04-23,EXS1.MI,108.42,108.82,107.8,108.82,13896
2018-04-24,EXS1.MI,108.92,109.3,108.02,108.4,16433
2018-04-25,EXS1.MI,107.66,107.8,106.48,107.3,16028
2018-04-26,EXS1.MI,107.18,108.1,107.1,108.06,6996
2018-04-27,EXS1.MI,108.72,109.1,108.26,108.76,8986
2018-04-30,EXS1.MI,108.9,109.08,108.58,108.86,3387
2018-05-02,EXS1.MI,108.92,110.82,108.92,110.72,71382
2018-05-03,EXS1.MI,110.42,110.58,109.48,109.64,7949
2018-05-04,EXS1.MI,109.9,110.68,109.82,110.68,5286
2018-05-07,EXS1.MI,110.76,111.92,110.74,111.84,10365
2018-05-08,EXS1.MI,111.76,111.76,111.06,111.48,6226
2018-05-09,EXS1.MI,111.52,111.9,111.32,111.8,8384
2018-05-10,EXS1.MI,112.0,112.48,111.6,112.36,11047
2018-05-11,EXS1.MI,112.12,112.24,111.86,112.16,10643
2018-05-14,EXS1.MI,112.34,112.34,111.58,112.0,4095
2018-05-15,EXS1.MI,111.7,112.12,111.5,111.96,4788
2018-05-16,EXS1.MI,112.0,112.38,112.0,112.1,3687
2018-05-17,EXS1.MI,112.06,113.1,112.04,113.0,3127
2018-05-18,EXS1.MI,113.28,113.28,112.52,112.66,2006
2018-05-21,EXS1.MI,113.28,114.0,113.12,113.2,52055
2018-05-22,EXS1.MI,113.42,113.8,112.82,113.78,5100
2018-05-23,EXS1.MI,112.76,112.76,111.52,111.88,13474
2018-05-24,EXS1.MI,111.88,112.12,110.6,110.76,20126
2018-05-25,EXS1.MI,111.28,112.1,111.0,111.5,4173
2018-05-28,EXS1.MI,112.1,112.38,110.66,111.02,1027
2018-05-29,EXS1.MI,110.28,110.28,108.78,109.12,12760
2018-05-30,EXS1.MI,109.28,110.1,109.2,109.86,3801
2018-05-31,EXS1.MI,110.28,110.28,108.1,108.84,12259
2018-06-01,EXS1.MI,109.18,110.22,109.18,109.46,39418
2018-06-04,EXS1.MI,109.98,110.7,109.7,110.18,4885
2018-06-05,EXS1.MI,110.12,111.44,110.12,110.26,11391
2018-06-06,EXS1.MI,110.52,110.88,109.72,110.66,3244
2018-06-07,EXS1.MI,110.96,111.16,110.1,110.44,5018
2018-06-08,EXS1.MI,109.36,110.26,108.88,109.96,10035
2018-06-11,EXS1.MI,110.42,110.8,109.96,110.78,3528
2018-06-12,EXS1.MI,111.44,111.62,110.52,110.72,2983
2018-06-13,EXS1.MI,110.72,111.2,110.26,111.2,3535
2018-06-14,EXS1.MI,110.48,113.2,110.48,113.2,5775
2018-06-15,EXS1.MI,112.94,113.54,112.2,112.3,5243
2018-06-18,EXS1.MI,111.7,111.84,110.34,110.66,3796
2018-06-19,EXS1.MI,109.34,109.5,108.58,109.4,3720
2018-06-20,EXS1.MI,109.56,109.96,109.32,109.56,408
2018-06-21,EXS1.MI,109.44,109.44,107.64,107.8,2945
2018-06-22,EXS1.MI,107.8,108.3,107.8,108.28,583
2018-06-25,EXS1.MI,107.54,107.92,105.84,105.86,3575
2018-06-26,EXS1.MI,106.44,106.48,105.02,105.56,6831
2018-06-27,EXS1.MI,105.44,106.4,104.7,106.4,1256
2018-06-28,EXS1.MI,105.96,106.64,104.36,104.84,6865
2018-06-29,EXS1.MI,106.58,106.6,106.2,106.22,3856
2018-07-02,EXS1.MI,105.5,105.9,104.98,105.56,1345
2018-07-03,EXS1.MI,106.36,106.96,106.26,106.44,10565
2018-07-04,EXS1.MI,106.32,106.38,106.08,106.18,519
2018-07-05,EXS1.MI,106.3,107.82,106.3,107.5,3220
2018-07-06,EXS1.MI,107.96,107.96,107.24,107.66,1307
2018-07-09,EXS1.MI,108.26,108.26,107.84,108.22,933
2018-07-10,EXS1.MI,108.18,108.88,108.18,108.7,16310
2018-07-11,EXS1.MI,107.92,107.92,106.94,107.08,1538
2018-07-12,EXS1.MI,107.2,107.68,107.2,107.68,589
2018-07-13,EXS1.MI,108.38,108.48,107.78,108.14,936
2018-07-16,EXS1.MI,108.1,108.38,108.1,108.38,3430
2018-07-17,EXS1.MI,108.32,109.24,108.0,109.24,1597
2018-07-18,EXS1.MI,109.58,110.1,109.58,109.98,4879
2018-07-19,EXS1.MI,109.7,109.7,109.16,109.34,3073
2018-07-20,EXS1.MI,109.0,109.5,107.6,108.36,8472
2018-07-23,EXS1.MI,107.92,108.16,107.68,108.16,3537
2018-07-24,EXS1.MI,108.92,109.88,108.92,109.52,4372
2018-07-25,EXS1.MI,109.1,109.24,108.26,108.26,505
2018-07-26,EXS1.MI,109.66,110.54,109.58,110.52,9063
2018-07-27,EXS1.MI,110.58,111.0,110.58,110.98,2937
2018-07-30,EXS1.MI,110.58,110.68,110.4,110.4,984
2018-07-31,EXS1.MI,110.26,110.8,109.88,110.54,2195
2018-08-01,EXS1.MI,110.7,110.7,109.5,109.9,1773
2018-08-02,EXS1.MI,109.16,109.16,107.7,108.08,5465
2018-08-03,EXS1.MI,108.5,108.8,108.44,108.78,811
2018-08-06,EXS1.MI,108.86,109.56,108.12,108.46,5911
2018-08-07,EXS1.MI,109.12,109.68,109.04,109.1,1880
2018-08-08,EXS1.MI,108.64,109.36,108.54,108.84,3396
2018-08-09,EXS1.MI,108.74,109.26,108.54,109.16,1658
2018-08-10,EXS1.MI,108.26,108.26,106.78,107.02,1836
2018-08-13,EXS1.MI,106.38,106.84,106.34,106.68,14340
2018-08-14,EXS1.MI,107.08,107.32,106.42,106.56,2341
