Date,Ticker,Open,High,Low,Close,Volume
2022-09-13,FAMLSS.MI,100.0,100.0,100.0,100.0,0
2022-09-14,FAMLSS.MI,100.694,100.694,100.694,100.694,0
2022-09-15,FAMLSS.MI,100.459,100.459,100.459,100.459,0
2022-09-16,FAMLSS.MI,99.922,99.922,99.922,99.922,0
2022-09-20,FAMLSS.MI,99.665,99.665,99.665,99.665,0
2022-09-21,FAMLSS.MI,101.256,101.256,101.256,101.256,0
2022-09-22,FAMLSS.MI,100.611,100.611,100.611,100.611,0
2022-09-23,FAMLSS.MI,101.595,101.595,101.595,101.595,0
2022-09-26,FAMLSS.MI,101.097,101.097,101.097,101.097,0
2022-09-27,FAMLSS.MI,100.524,100.524,100.524,100.524,0
2022-09-28,FAMLSS.MI,101.228,101.228,101.228,101.228,0
2022-09-29,FAMLSS.MI,99.382,99.382,99.382,99.382,0
2022-09-30,FAMLSS.MI,98.852,98.852,98.852,98.852,0
2022-10-03,FAMLSS.MI,99.659,99.659,99.659,99.659,0
2022-10-04,FAMLSS.MI,98.95,98.95,98.95,98.95,0
2022-10-05,FAMLSS.MI,99.221,99.221,99.221,99.221,0
2022-10-06,FAMLSS.MI,99.114,99.114,99.114,99.114,0
2022-10-07,FAMLSS.MI,99.245,99.245,99.245,99.245,0
2022-10-10,FAMLSS.MI,100.49,100.75,100.49,100.55,10
2022-10-11,FAMLSS.MI,100.16,100.16,99.67,99.67,5
2022-10-12,FAMLSS.MI,99.67,99.67,99.67,99.67,0
2022-10-13,FAMLSS.MI,99.67,99.67,99.67,99.67,0
2022-10-14,FAMLSS.MI,99.67,99.67,99.67,99.67,0
2022-10-17,FAMLSS.MI,99.67,99.67,99.67,99.67,0
2022-10-18,FAMLSS.MI,99.67,99.67,99.67,99.67,0
2022-10-19,FAMLSS.MI,99.67,99.67,99.67,99.67,0
2022-10-20,FAMLSS.MI,99.67,99.67,99.67,99.67,0
2022-10-21,FAMLSS.MI,97.14,97.14,96.47,96.47,58
2022-10-24,FAMLSS.MI,96.47,96.47,96.47,96.47,0
2022-10-25,FAMLSS.MI,96.47,96.47,96.47,96.47,0
2022-10-26,FAMLSS.MI,96.47,96.47,96.47,96.47,0
2022-10-27,FAMLSS.MI,96.47,96.47,96.47,96.47,0
2022-10-28,FAMLSS.MI,96.47,96.47,96.47,96.47,0
2022-10-31,FAMLSS.MI,96.47,96.47,96.47,96.47,0
2022-11-01,FAMLSS.MI,96.47,96.47,96.47,96.47,0
2022-11-02,FAMLSS.MI,96.47,96.47,96.47,96.47,0
2022-11-03,FAMLSS.MI,96.47,96.47,96.47,96.47,0
2022-11-04,FAMLSS.MI,96.47,96.47,96.47,96.47,0
2022-11-07,FAMLSS.MI,96.4,96.59,96.13,96.13,2374
2022-11-08,FAMLSS.MI,96.13,96.13,96.13,96.13,0
2022-11-09,FAMLSS.MI,96.13,96.13,96.13,96.13,0
2022-11-10,FAMLSS.MI,96.13,96.13,96.13,96.13,0
2022-11-11,FAMLSS.MI,96.13,96.13,96.13,96.13,0
2022-11-14,FAMLSS.MI,96.13,96.13,96.13,96.13,0
2022-11-15,FAMLSS.MI,95.38,95.73,95.38,95.73,28
2022-11-16,FAMLSS.MI,95.73,95.73,95.73,95.73,0
2022-11-17,FAMLSS.MI,95.73,95.73,95.73,95.73,0
2022-11-18,FAMLSS.MI,95.73,95.73,95.73,95.73,0
2022-11-21,FAMLSS.MI,95.73,95.73,95.73,95.73,0
2022-11-22,FAMLSS.MI,95.73,95.73,95.73,95.73,0
2022-11-23,FAMLSS.MI,95.73,95.73,95.73,95.73,0
2022-11-24,FAMLSS.MI,95.73,95.73,95.73,95.73,0
2022-11-25,FAMLSS.MI,95.73,95.73,95.73,95.73,0
2022-11-28,FAMLSS.MI,95.73,95.73,95.73,95.73,0
2022-11-29,FAMLSS.MI,95.73,95.73,95.73,95.73,0
2022-11-30,FAMLSS.MI,96.92,97.1,96.92,97.1,10
2022-12-01,FAMLSS.MI,97.1,97.1,97.1,97.1,0
2022-12-02,FAMLSS.MI,97.47,97.47,97.26,97.26,3
2022-12-05,FAMLSS.MI,97.26,97.26,97.26,97.26,0
