Date,Ticker,Open,High,Low,Close,Volume
2020-05-20,FBT.MI,20.0,20.0,20.0,20.0,0
2020-05-21,FBT.MI,20.0,20.0,20.0,20.0,0
2020-05-22,FBT.MI,20.0,20.0,20.0,20.0,0
2020-05-25,FBT.MI,20.0,20.0,20.0,20.0,0
2020-05-26,FBT.MI,20.0,20.0,20.0,20.0,0
2020-05-27,FBT.MI,20.0,20.0,20.0,20.0,0
2020-05-28,FBT.MI,20.001,20.001,20.001,20.001,0
2020-05-29,FBT.MI,20.228,20.228,20.228,20.228,0
2020-06-01,FBT.MI,20.203,20.203,20.203,20.203,0
2020-06-02,FBT.MI,20.391,20.391,20.391,20.391,0
2020-06-03,FBT.MI,20.24,20.24,20.24,20.24,0
2020-06-04,FBT.MI,19.957,19.957,19.957,19.957,0
2020-06-05,FBT.MI,19.98,19.98,19.98,19.98,0
2020-06-08,FBT.MI,17.738,17.9,17.738,17.9,2977
2020-06-09,FBT.MI,17.964,17.964,17.88,17.88,960
2020-06-10,FBT.MI,17.88,17.95,17.88,17.95,3170
2020-06-11,FBT.MI,17.808,17.808,17.464,17.464,579
2020-06-12,FBT.MI,17.5,17.5,17.276,17.276,383
2020-06-15,FBT.MI,17.126,17.314,17.126,17.314,300
2020-06-16,FBT.MI,17.314,17.314,17.314,17.314,0
2020-06-17,FBT.MI,17.314,17.314,17.314,17.314,0
2020-06-18,FBT.MI,17.986,18.128,17.92,18.124,450
2020-06-19,FBT.MI,18.186,18.388,18.186,18.388,950
2020-06-22,FBT.MI,18.72,18.75,18.396,18.488,7414
2020-06-23,FBT.MI,18.836,18.836,18.824,18.824,59
2020-06-24,FBT.MI,18.81,18.896,18.324,18.324,355
2020-06-25,FBT.MI,18.518,18.538,18.518,18.538,55
2020-06-26,FBT.MI,18.584,18.584,18.494,18.494,1168
2020-06-29,FBT.MI,18.3,18.3,18.136,18.136,25
2020-06-30,FBT.MI,18.176,18.176,18.038,18.122,719
2020-07-01,FBT.MI,18.122,18.122,18.122,18.122,0
2020-07-02,FBT.MI,18.488,18.696,18.488,18.696,14144
2020-07-03,FBT.MI,18.73,18.73,18.672,18.672,1400
2020-07-06,FBT.MI,18.672,18.672,18.672,18.672,0
2020-07-07,FBT.MI,18.672,19.156,18.672,19.114,14275
2020-07-08,FBT.MI,19.114,19.114,19.114,19.114,0
2020-07-09,FBT.MI,19.026,19.026,18.756,18.756,775
2020-07-10,FBT.MI,18.98,19.0,18.896,18.896,7630
2020-07-13,FBT.MI,18.906,18.94,18.816,18.94,850
2020-07-14,FBT.MI,18.036,18.246,18.036,18.246,150
2020-07-15,FBT.MI,18.246,18.246,18.246,18.246,0
2020-07-16,FBT.MI,18.904,18.904,18.676,18.676,3
2020-07-17,FBT.MI,18.984,19.048,18.984,19.048,300
2020-07-20,FBT.MI,19.048,19.048,19.048,19.048,0
2020-07-21,FBT.MI,19.534,19.534,18.884,18.884,2780
2020-07-22,FBT.MI,18.614,18.614,18.514,18.514,555
2020-07-23,FBT.MI,18.686,18.686,18.648,18.686,390
2020-07-24,FBT.MI,18.112,18.112,17.9,17.9,80
2020-07-27,FBT.MI,17.962,17.962,17.854,17.854,211
2020-07-28,FBT.MI,18.206,18.206,18.028,18.028,83
2020-07-29,FBT.MI,17.93,17.98,17.63,17.63,1045
2020-07-30,FBT.MI,17.522,17.628,17.45,17.628,14884
2020-07-31,FBT.MI,17.558,17.558,17.264,17.264,418
2020-08-03,FBT.MI,17.444,17.688,17.444,17.688,288
2020-08-04,FBT.MI,17.732,17.758,17.624,17.624,511
2020-08-05,FBT.MI,17.57,17.57,17.284,17.284,250
2020-08-06,FBT.MI,17.312,17.312,17.244,17.244,120
2020-08-07,FBT.MI,17.158,17.41,17.158,17.41,1677
2020-08-10,FBT.MI,17.422,17.422,17.112,17.112,7278
2020-08-11,FBT.MI,17.274,17.3,17.274,17.294,1487
2020-08-12,FBT.MI,17.116,17.132,17.116,17.132,30
2020-08-13,FBT.MI,17.078,17.18,17.05,17.18,1433
2020-08-14,FBT.MI,17.012,17.034,17.012,17.034,10
2020-08-17,FBT.MI,16.986,17.182,16.986,17.182,55
2020-08-18,FBT.MI,17.204,17.204,16.91,16.91,1750
2020-08-19,FBT.MI,16.978,16.978,16.65,16.652,100
