Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,FEDF.MI,84.2,84.24,83.89,84.1,1052
2018-01-03,FEDF.MI,84.16,84.35,84.16,84.29,318
2018-01-04,FEDF.MI,84.26,84.26,83.97,83.97,167
2018-01-05,FEDF.MI,84.11,84.22,84.0,84.22,1731
2018-01-08,FEDF.MI,84.22,84.22,84.22,84.22,0
2018-01-09,FEDF.MI,84.9,85.0,84.89,85.0,432
2018-01-10,FEDF.MI,84.83,84.83,84.42,84.66,350
2018-01-11,FEDF.MI,84.84,84.87,84.14,84.14,293
2018-01-12,FEDF.MI,83.82,83.82,83.39,83.4,520
2018-01-15,FEDF.MI,83.0,83.0,82.5,82.66,7621
2018-01-16,FEDF.MI,82.86,83.03,82.86,82.91,111
2018-01-17,FEDF.MI,82.92,82.95,82.87,82.87,1644
2018-01-18,FEDF.MI,82.92,82.92,82.78,82.78,193
2018-01-19,FEDF.MI,82.6,82.91,82.56,82.91,1349
2018-01-22,FEDF.MI,83.0,83.0,82.75,82.75,2290
2018-01-23,FEDF.MI,82.79,82.9,82.55,82.57,931
2018-01-24,FEDF.MI,82.17,82.24,81.82,81.85,456
2018-01-25,FEDF.MI,81.77,81.92,81.02,81.1,4383
2018-01-26,FEDF.MI,81.35,81.7,81.35,81.62,1902
2018-01-29,FEDF.MI,81.77,82.16,81.66,82.16,1793
2018-01-30,FEDF.MI,81.95,82.05,81.65,81.86,349
2018-01-31,FEDF.MI,81.52,81.6,81.42,81.54,672
2018-02-01,FEDF.MI,81.76,81.76,81.32,81.34,1672
2018-02-02,FEDF.MI,81.2,81.69,81.08,81.54,1404
2018-02-05,FEDF.MI,81.39,81.79,81.36,81.71,128
2018-02-06,FEDF.MI,81.89,82.41,81.69,82.06,1342
2018-02-07,FEDF.MI,82.19,82.57,82.19,82.57,277
2018-02-08,FEDF.MI,82.73,82.99,82.47,82.89,14177
2018-02-09,FEDF.MI,82.72,82.91,82.72,82.91,2221
2018-02-12,FEDF.MI,82.73,82.74,82.64,82.64,48
2018-02-13,FEDF.MI,82.2,82.27,82.07,82.07,1229
