Date,Ticker,Open,High,Low,Close,Volume
2021-11-22,FEUI.MI,6.221,6.221,6.203,6.203,1000
2021-11-23,FEUI.MI,6.203,6.203,6.203,6.203,0
2021-11-24,FEUI.MI,6.203,6.203,6.203,6.203,0
2021-11-25,FEUI.MI,6.203,6.203,6.203,6.203,0
2021-11-26,FEUI.MI,6.203,6.203,6.203,6.203,0
2021-11-29,FEUI.MI,6.203,6.203,6.203,6.203,0
2021-11-30,FEUI.MI,6.203,6.203,6.203,6.203,0
2021-12-01,FEUI.MI,6.203,6.203,6.203,6.203,0
2021-12-02,FEUI.MI,6.203,6.203,6.203,6.203,0
2021-12-03,FEUI.MI,6.203,6.203,6.203,6.203,0
2021-12-06,FEUI.MI,6.203,6.203,6.203,6.203,0
2021-12-07,FEUI.MI,6.203,6.203,6.203,6.203,0
2021-12-08,FEUI.MI,6.104,6.104,6.083,6.083,1278
2021-12-09,FEUI.MI,6.083,6.083,6.083,6.083,0
2021-12-10,FEUI.MI,6.083,6.083,6.083,6.083,0
2021-12-13,FEUI.MI,6.119,6.142,6.067,6.067,83334
2021-12-14,FEUI.MI,5.998,6.009,5.998,6.009,7495
2021-12-15,FEUI.MI,6.009,6.009,6.009,6.009,0
2021-12-16,FEUI.MI,6.009,6.009,6.009,6.009,0
2021-12-17,FEUI.MI,6.009,6.009,6.009,6.009,0
2021-12-20,FEUI.MI,5.974,5.985,5.97,5.983,68796
2021-12-21,FEUI.MI,6.06,6.06,6.049,6.057,40148
2021-12-22,FEUI.MI,6.057,6.057,6.057,6.057,0
2021-12-23,FEUI.MI,6.057,6.057,6.057,6.057,0
2021-12-27,FEUI.MI,6.16,6.236,6.157,6.236,5952
2021-12-28,FEUI.MI,6.236,6.236,6.236,6.236,0
2021-12-29,FEUI.MI,6.276,6.276,6.255,6.255,61
2021-12-30,FEUI.MI,6.255,6.255,6.255,6.255,0
2022-01-03,FEUI.MI,6.288,6.288,6.286,6.286,1000
2022-01-04,FEUI.MI,6.286,6.286,6.286,6.286,0
2022-01-05,FEUI.MI,6.314,6.314,6.292,6.292,300
2022-01-06,FEUI.MI,6.197,6.197,6.184,6.184,3028
2022-01-07,FEUI.MI,6.184,6.184,6.184,6.184,0
2022-01-10,FEUI.MI,6.184,6.184,6.184,6.184,0
2022-01-11,FEUI.MI,6.184,6.184,6.184,6.184,0
2022-01-12,FEUI.MI,6.184,6.184,6.184,6.184,0
2022-01-13,FEUI.MI,6.184,6.184,6.184,6.184,0
2022-01-14,FEUI.MI,6.184,6.184,6.184,6.184,0
2022-01-17,FEUI.MI,6.184,6.184,6.184,6.184,0
2022-01-18,FEUI.MI,6.184,6.184,6.184,6.184,0
2022-01-19,FEUI.MI,6.034,6.034,6.031,6.031,107
2022-01-20,FEUI.MI,6.05,6.079,6.05,6.079,500
2022-01-21,FEUI.MI,6.079,6.079,6.079,6.079,0
2022-01-24,FEUI.MI,6.079,6.079,6.079,6.079,0
2022-01-25,FEUI.MI,6.079,6.079,6.079,6.079,0
2022-01-26,FEUI.MI,5.876,5.876,5.867,5.867,1000
2022-01-27,FEUI.MI,5.867,5.867,5.867,5.867,0
2022-01-28,FEUI.MI,5.867,5.867,5.867,5.867,0
2022-01-31,FEUI.MI,5.867,5.867,5.867,5.867,0
2022-02-01,FEUI.MI,5.867,5.867,5.867,5.867,0
2022-02-02,FEUI.MI,5.867,5.867,5.867,5.867,0
2022-02-03,FEUI.MI,5.867,5.867,5.867,5.867,0
2022-02-04,FEUI.MI,5.867,5.867,5.867,5.867,0
2022-02-07,FEUI.MI,5.867,5.867,5.867,5.867,0
2022-02-08,FEUI.MI,5.867,5.867,5.867,5.867,0
2022-02-09,FEUI.MI,5.859,5.859,5.855,5.855,780
2022-02-10,FEUI.MI,5.81,5.82,5.81,5.82,55
2022-02-11,FEUI.MI,5.82,5.82,5.82,5.82,0
2022-02-14,FEUI.MI,5.694,5.694,5.672,5.672,20
2022-02-15,FEUI.MI,5.672,5.672,5.672,5.672,0
2022-02-16,FEUI.MI,5.672,5.672,5.672,5.672,0
2022-02-17,FEUI.MI,5.78,5.78,5.745,5.745,200
2022-02-18,FEUI.MI,5.78,5.78,5.706,5.706,100
2022-02-21,FEUI.MI,5.706,5.706,5.706,5.706,0
2022-02-22,FEUI.MI,5.706,5.706,5.706,5.706,0
2022-02-23,FEUI.MI,5.706,5.706,5.706,5.706,0
2022-02-24,FEUI.MI,5.706,5.706,5.706,5.706,0
2022-02-25,FEUI.MI,5.706,5.706,5.706,5.706,0
2022-02-28,FEUI.MI,5.706,5.706,5.706,5.706,0
2022-03-01,FEUI.MI,5.706,5.706,5.706,5.706,0
2022-03-02,FEUI.MI,5.706,5.706,5.706,5.706,0
2022-03-03,FEUI.MI,5.706,5.706,5.706,5.706,0
2022-03-04,FEUI.MI,5.3,5.3,5.254,5.254,6300
2022-03-07,FEUI.MI,5.113,5.192,5.106,5.192,2300
2022-03-08,FEUI.MI,5.192,5.192,5.158,5.158,160
2022-03-09,FEUI.MI,5.158,5.158,5.158,5.158,0
2022-03-10,FEUI.MI,5.158,5.158,5.158,5.158,0
2022-03-11,FEUI.MI,5.158,5.158,5.158,5.158,0
2022-03-14,FEUI.MI,5.158,5.158,5.158,5.158,0
2022-03-15,FEUI.MI,5.158,5.158,5.158,5.158,0
2022-03-16,FEUI.MI,5.158,5.158,5.158,5.158,0
2022-03-17,FEUI.MI,5.158,5.158,5.158,5.158,0
2022-03-18,FEUI.MI,5.158,5.158,5.158,5.158,0
2022-03-21,FEUI.MI,5.158,5.158,5.158,5.158,0
