Date,Ticker,Open,High,Low,Close,Volume
2021-10-05,FGEU.MI,6.778,6.819,6.778,6.819,500
2021-10-06,FGEU.MI,6.8,6.8,6.733,6.733,200
2021-10-07,FGEU.MI,6.733,6.733,6.733,6.733,0
2021-10-08,FGEU.MI,6.884,6.884,6.882,6.882,250
2021-10-11,FGEU.MI,6.882,6.882,6.882,6.882,0
2021-10-12,FGEU.MI,6.882,6.882,6.882,6.882,0
2021-10-13,FGEU.MI,6.882,6.882,6.882,6.882,0
2021-10-14,FGEU.MI,6.882,6.882,6.882,6.882,0
2021-10-15,FGEU.MI,6.882,6.882,6.882,6.882,0
2021-10-18,FGEU.MI,6.882,6.882,6.882,6.882,0
2021-10-19,FGEU.MI,6.882,6.882,6.882,6.882,0
2021-10-20,FGEU.MI,7.035,7.059,7.035,7.059,285
2021-10-21,FGEU.MI,7.059,7.059,7.059,7.059,0
2021-10-22,FGEU.MI,7.059,7.059,7.059,7.059,0
2021-10-25,FGEU.MI,7.059,7.059,7.059,7.059,0
2021-10-26,FGEU.MI,7.059,7.059,7.059,7.059,0
2021-10-27,FGEU.MI,7.086,7.086,7.074,7.074,71
2021-10-28,FGEU.MI,7.074,7.074,7.074,7.074,0
2021-10-29,FGEU.MI,7.074,7.074,7.074,7.074,0
2021-11-01,FGEU.MI,7.074,7.074,7.074,7.074,0
2021-11-02,FGEU.MI,7.074,7.074,7.074,7.074,0
2021-11-03,FGEU.MI,7.074,7.074,7.074,7.074,0
2021-11-04,FGEU.MI,7.074,7.074,7.074,7.074,0
2021-11-05,FGEU.MI,7.242,7.244,7.242,7.244,700
2021-11-08,FGEU.MI,7.244,7.244,7.244,7.244,0
2021-11-09,FGEU.MI,7.244,7.244,7.244,7.244,0
2021-11-10,FGEU.MI,7.244,7.244,7.244,7.244,0
2021-11-11,FGEU.MI,7.244,7.244,7.244,7.244,0
2021-11-12,FGEU.MI,7.244,7.244,7.244,7.244,0
2021-11-15,FGEU.MI,7.244,7.244,7.244,7.244,0
2021-11-16,FGEU.MI,7.244,7.244,7.244,7.244,0
2021-11-17,FGEU.MI,7.244,7.244,7.244,7.244,0
2021-11-18,FGEU.MI,7.244,7.244,7.244,7.244,0
2021-11-19,FGEU.MI,7.244,7.244,7.244,7.244,0
2021-11-22,FGEU.MI,7.244,7.244,7.244,7.244,0
2021-11-23,FGEU.MI,7.244,7.244,7.244,7.244,0
2021-11-24,FGEU.MI,7.183,7.2,7.183,7.2,500
2021-11-25,FGEU.MI,7.187,7.225,7.187,7.225,3348
2021-11-26,FGEU.MI,7.065,7.067,7.035,7.035,8338
2021-11-29,FGEU.MI,7.091,7.091,7.087,7.087,4480
2021-11-30,FGEU.MI,6.984,7.006,6.984,7.006,3000
2021-12-01,FGEU.MI,7.109,7.109,7.102,7.102,35
2021-12-02,FGEU.MI,7.102,7.102,7.102,7.102,0
2021-12-03,FGEU.MI,7.102,7.102,7.102,7.102,0
2021-12-06,FGEU.MI,7.102,7.102,7.102,7.102,0
2021-12-07,FGEU.MI,7.102,7.102,7.102,7.102,0
2021-12-08,FGEU.MI,7.102,7.102,7.102,7.102,0
2021-12-09,FGEU.MI,7.174,7.186,7.166,7.186,12830
2021-12-10,FGEU.MI,7.186,7.186,7.186,7.186,0
2021-12-13,FGEU.MI,7.229,7.229,7.178,7.178,735
2021-12-14,FGEU.MI,7.19,7.19,7.139,7.139,20
2021-12-15,FGEU.MI,7.135,7.143,7.135,7.143,467
2021-12-16,FGEU.MI,7.301,7.301,7.256,7.256,20
2021-12-17,FGEU.MI,7.256,7.256,7.256,7.256,0
2021-12-20,FGEU.MI,7.085,7.085,7.037,7.037,150
2021-12-21,FGEU.MI,7.037,7.037,7.037,7.037,0
2021-12-22,FGEU.MI,7.17,7.204,7.17,7.204,4570
2021-12-23,FGEU.MI,7.255,7.282,7.221,7.274,16965
2021-12-27,FGEU.MI,7.288,7.323,7.288,7.323,4858
2021-12-28,FGEU.MI,7.323,7.323,7.323,7.323,0
2021-12-29,FGEU.MI,7.323,7.323,7.323,7.323,0
2021-12-30,FGEU.MI,7.323,7.323,7.323,7.323,0
2022-01-03,FGEU.MI,7.43,7.43,7.352,7.352,33
2022-01-04,FGEU.MI,7.352,7.352,7.352,7.352,0
2022-01-05,FGEU.MI,7.424,7.427,7.424,7.427,300
2022-01-06,FGEU.MI,7.427,7.427,7.427,7.427,0
2022-01-07,FGEU.MI,7.427,7.427,7.427,7.427,0
2022-01-10,FGEU.MI,7.286,7.286,7.218,7.218,3000
2022-01-11,FGEU.MI,7.218,7.218,7.218,7.218,0
2022-01-12,FGEU.MI,7.218,7.218,7.218,7.218,0
2022-01-13,FGEU.MI,7.218,7.218,7.218,7.218,0
2022-01-14,FGEU.MI,7.316,7.316,7.243,7.243,2500
2022-01-17,FGEU.MI,7.306,7.309,7.295,7.295,2063
2022-01-18,FGEU.MI,7.218,7.219,7.218,7.219,1225
2022-01-19,FGEU.MI,7.208,7.208,7.182,7.182,15952
2022-01-20,FGEU.MI,7.16,7.206,7.16,7.206,1060
2022-01-21,FGEU.MI,7.044,7.086,7.044,7.086,153
2022-01-24,FGEU.MI,6.909,6.909,6.857,6.857,1000
2022-01-25,FGEU.MI,6.857,6.857,6.857,6.857,0
2022-01-26,FGEU.MI,7.027,7.027,7.009,7.009,440
2022-01-27,FGEU.MI,7.009,7.009,7.009,7.009,0
2022-01-28,FGEU.MI,7.009,7.009,7.009,7.009,0
2022-01-31,FGEU.MI,7.009,7.009,7.009,7.009,0
2022-02-01,FGEU.MI,7.162,7.162,7.107,7.107,36
2022-02-02,FGEU.MI,7.176,7.176,7.168,7.168,2585
2022-02-03,FGEU.MI,7.16,7.182,7.16,7.167,2900
2022-02-04,FGEU.MI,7.167,7.167,7.167,7.167,0
2022-02-07,FGEU.MI,7.114,7.189,7.104,7.104,16500
2022-02-08,FGEU.MI,7.104,7.104,7.104,7.104,0
2022-02-09,FGEU.MI,7.104,7.104,7.104,7.104,0
2022-02-10,FGEU.MI,7.174,7.206,7.174,7.206,2400
2022-02-11,FGEU.MI,7.1,7.131,7.1,7.131,700
2022-02-14,FGEU.MI,7.015,7.015,6.993,6.993,2000
2022-02-15,FGEU.MI,7.102,7.102,7.092,7.092,3200
2022-02-16,FGEU.MI,7.092,7.092,7.092,7.092,0
2022-02-17,FGEU.MI,7.092,7.092,7.092,7.092,0
2022-02-18,FGEU.MI,7.092,7.092,7.092,7.092,0
2022-02-21,FGEU.MI,7.092,7.092,7.092,7.092,0
2022-02-22,FGEU.MI,7.092,7.092,7.092,7.092,0
2022-02-23,FGEU.MI,7.092,7.092,7.092,7.092,0
2022-02-24,FGEU.MI,6.604,6.658,6.604,6.658,300
2022-02-25,FGEU.MI,6.658,6.658,6.658,6.658,0
2022-02-28,FGEU.MI,6.937,6.937,6.933,6.933,350
2022-03-01,FGEU.MI,6.955,6.955,6.861,6.861,36
2022-03-02,FGEU.MI,6.861,6.861,6.861,6.861,0
2022-03-03,FGEU.MI,6.908,6.908,6.904,6.904,6000
2022-03-04,FGEU.MI,6.904,6.904,6.904,6.904,0
2022-03-07,FGEU.MI,6.904,6.904,6.904,6.904,0
2022-03-08,FGEU.MI,6.904,6.904,6.904,6.904,0
2022-03-09,FGEU.MI,6.904,6.904,6.904,6.904,0
2022-03-10,FGEU.MI,6.904,6.904,6.904,6.904,0
2022-03-11,FGEU.MI,6.904,6.904,6.904,6.904,0
2022-03-14,FGEU.MI,6.904,6.904,6.904,6.904,0
2022-03-15,FGEU.MI,6.904,6.904,6.904,6.904,0
2022-03-16,FGEU.MI,6.904,6.904,6.904,6.904,0
2022-03-17,FGEU.MI,6.904,6.904,6.904,6.904,0
2022-03-18,FGEU.MI,6.976,7.009,6.976,7.009,1390
2022-03-21,FGEU.MI,7.009,7.009,7.009,7.009,0
2022-03-22,FGEU.MI,7.009,7.009,7.009,7.009,0
2022-03-23,FGEU.MI,7.095,7.095,7.06,7.06,50
2022-03-24,FGEU.MI,7.1,7.1,7.072,7.072,250
2022-03-25,FGEU.MI,7.072,7.072,7.072,7.072,0
2022-03-28,FGEU.MI,7.119,7.119,7.109,7.109,767
2022-03-29,FGEU.MI,7.109,7.109,7.109,7.109,0
2022-03-30,FGEU.MI,7.109,7.109,7.109,7.109,0
2022-03-31,FGEU.MI,7.109,7.109,7.109,7.109,0
2022-04-01,FGEU.MI,7.189,7.189,7.107,7.107,34
2022-04-04,FGEU.MI,7.107,7.107,7.107,7.107,0
2022-04-05,FGEU.MI,7.107,7.107,7.107,7.107,0
2022-04-06,FGEU.MI,7.143,7.143,6.882,7.021,25110
2022-04-07,FGEU.MI,7.021,7.021,7.021,7.021,0
2022-04-08,FGEU.MI,7.021,7.021,7.021,7.021,0
2022-04-11,FGEU.MI,7.091,7.091,7.026,7.026,1
2022-04-12,FGEU.MI,7.011,7.038,7.011,7.038,215
2022-04-13,FGEU.MI,7.038,7.038,7.038,7.038,0
2022-04-14,FGEU.MI,7.038,7.038,7.038,7.038,0
2022-04-19,FGEU.MI,7.038,7.038,7.038,7.038,0
2022-04-20,FGEU.MI,7.038,7.038,7.038,7.038,0
2022-04-21,FGEU.MI,7.145,7.145,7.131,7.131,350
2022-04-22,FGEU.MI,7.07,7.07,6.953,6.953,500
2022-04-25,FGEU.MI,6.953,6.953,6.953,6.953,0
2022-04-26,FGEU.MI,6.953,6.953,6.953,6.953,0
2022-04-27,FGEU.MI,6.83,6.83,6.783,6.8,594
2022-04-28,FGEU.MI,6.829,6.831,6.829,6.831,49
2022-04-29,FGEU.MI,6.831,6.831,6.831,6.831,0
2022-05-02,FGEU.MI,6.775,6.775,6.705,6.705,36
2022-05-03,FGEU.MI,6.758,6.791,6.758,6.791,2200
2022-05-04,FGEU.MI,6.791,6.791,6.791,6.791,0
2022-05-05,FGEU.MI,6.791,6.791,6.791,6.791,0
2022-05-06,FGEU.MI,6.67,6.72,6.67,6.72,500
2022-05-09,FGEU.MI,6.72,6.72,6.72,6.72,0
2022-05-10,FGEU.MI,6.72,6.72,6.72,6.72,0
2022-05-11,FGEU.MI,6.72,6.72,6.72,6.72,0
2022-05-12,FGEU.MI,6.72,6.72,6.72,6.72,0
2022-05-13,FGEU.MI,6.72,6.72,6.72,6.72,0
2022-05-16,FGEU.MI,6.72,6.72,6.72,6.72,0
2022-05-17,FGEU.MI,6.72,6.72,6.72,6.72,0
2022-05-18,FGEU.MI,6.687,6.687,6.572,6.572,150
2022-05-19,FGEU.MI,6.572,6.572,6.572,6.572,0
2022-05-20,FGEU.MI,6.39,6.39,6.376,6.376,5500
2022-05-23,FGEU.MI,6.376,6.376,6.376,6.376,0
2022-05-24,FGEU.MI,6.376,6.376,6.376,6.376,0
2022-05-25,FGEU.MI,6.376,6.376,6.376,6.376,0
2022-05-26,FGEU.MI,6.376,6.376,6.376,6.376,0
2022-05-27,FGEU.MI,6.376,6.376,6.376,6.376,0
2022-05-30,FGEU.MI,6.797,6.797,6.779,6.779,2644
2022-05-31,FGEU.MI,6.779,6.779,6.779,6.779,0
2022-06-01,FGEU.MI,6.798,6.798,6.653,6.653,36
2022-06-02,FGEU.MI,6.653,6.653,6.653,6.653,0
2022-06-03,FGEU.MI,6.653,6.653,6.653,6.653,0
2022-06-06,FGEU.MI,6.653,6.653,6.653,6.653,0
2022-06-07,FGEU.MI,6.653,6.653,6.653,6.653,0
2022-06-08,FGEU.MI,6.734,6.734,6.724,6.724,200
2022-06-09,FGEU.MI,6.724,6.724,6.724,6.724,0
2022-06-10,FGEU.MI,6.724,6.724,6.724,6.724,0
2022-06-13,FGEU.MI,6.724,6.724,6.724,6.724,0
2022-06-14,FGEU.MI,6.724,6.724,6.724,6.724,0
2022-06-15,FGEU.MI,6.724,6.724,6.724,6.724,0
2022-06-16,FGEU.MI,6.724,6.724,6.724,6.724,0
2022-06-17,FGEU.MI,6.724,6.724,6.724,6.724,0
2022-06-20,FGEU.MI,6.724,6.724,6.724,6.724,0
2022-06-21,FGEU.MI,6.724,6.724,6.724,6.724,0
2022-06-22,FGEU.MI,6.724,6.724,6.724,6.724,0
2022-06-23,FGEU.MI,6.724,6.724,6.724,6.724,0
2022-06-24,FGEU.MI,6.724,6.724,6.724,6.724,0
2022-06-27,FGEU.MI,6.724,6.724,6.724,6.724,0
2022-06-28,FGEU.MI,6.724,6.724,6.724,6.724,0
2022-06-29,FGEU.MI,6.724,6.724,6.724,6.724,0
2022-06-30,FGEU.MI,6.724,6.724,6.724,6.724,0
2022-07-01,FGEU.MI,6.244,6.244,6.211,6.211,54
2022-07-04,FGEU.MI,6.211,6.211,6.211,6.211,0
2022-07-05,FGEU.MI,6.211,6.211,6.211,6.211,0
2022-07-06,FGEU.MI,6.211,6.211,6.211,6.211,0
2022-07-07,FGEU.MI,6.309,6.339,6.309,6.339,480
2022-07-08,FGEU.MI,6.339,6.339,6.339,6.339,0
2022-07-11,FGEU.MI,6.339,6.339,6.339,6.339,0
2022-07-12,FGEU.MI,6.339,6.339,6.339,6.339,0
2022-07-13,FGEU.MI,6.339,6.339,6.339,6.339,0
2022-07-14,FGEU.MI,6.179,6.179,6.179,6.179,323
2022-07-15,FGEU.MI,6.179,6.179,6.179,6.179,0
2022-07-18,FGEU.MI,6.179,6.179,6.179,6.179,0
2022-07-19,FGEU.MI,6.299,6.385,6.299,6.385,4536
2022-07-20,FGEU.MI,6.44,6.446,6.44,6.446,100
2022-07-21,FGEU.MI,6.446,6.446,6.446,6.446,0
2022-07-22,FGEU.MI,6.446,6.446,6.446,6.446,0
2022-07-25,FGEU.MI,6.446,6.446,6.446,6.446,0
2022-07-26,FGEU.MI,6.446,6.446,6.446,6.446,0
2022-07-27,FGEU.MI,6.446,6.446,6.446,6.446,0
2022-07-28,FGEU.MI,6.446,6.446,6.446,6.446,0
2022-07-29,FGEU.MI,6.446,6.446,6.446,6.446,0
2022-08-01,FGEU.MI,6.646,6.646,6.624,6.624,53
2022-08-02,FGEU.MI,6.624,6.624,6.624,6.624,0
