Date,Ticker,Open,High,Low,Close,Volume
2019-06-17,FLXB.MI,22.77,22.855,22.77,22.855,410
2019-06-18,FLXB.MI,22.855,22.855,22.855,22.855,0
2019-06-19,FLXB.MI,22.855,22.855,22.855,22.855,0
2019-06-20,FLXB.MI,22.855,22.855,22.855,22.855,0
2019-06-21,FLXB.MI,22.855,22.855,22.855,22.855,0
2019-06-24,FLXB.MI,22.855,22.855,22.855,22.855,0
2019-06-25,FLXB.MI,22.855,22.855,22.855,22.855,0
2019-06-26,FLXB.MI,22.855,22.855,22.855,22.855,0
2019-06-27,FLXB.MI,23.3,23.3,23.06,23.06,85
2019-06-28,FLXB.MI,23.06,23.06,23.06,23.06,0
2019-07-01,FLXB.MI,23.06,23.06,23.06,23.06,0
2019-07-02,FLXB.MI,23.06,23.06,23.06,23.06,0
2019-07-03,FLXB.MI,23.295,23.585,23.295,23.585,130
2019-07-04,FLXB.MI,23.585,23.585,23.585,23.585,0
2019-07-05,FLXB.MI,23.585,23.585,23.585,23.585,0
2019-07-08,FLXB.MI,23.585,23.585,23.585,23.585,0
2019-07-09,FLXB.MI,23.585,23.585,23.585,23.585,0
2019-07-10,FLXB.MI,23.585,23.585,23.585,23.585,0
2019-07-11,FLXB.MI,23.585,23.585,23.585,23.585,0
2019-07-12,FLXB.MI,23.585,23.585,23.585,23.585,0
2019-07-15,FLXB.MI,23.585,23.585,23.585,23.585,0
2019-07-16,FLXB.MI,23.585,23.585,23.585,23.585,0
2019-07-17,FLXB.MI,23.585,23.585,23.585,23.585,0
2019-07-18,FLXB.MI,23.585,23.585,23.585,23.585,0
2019-07-19,FLXB.MI,23.585,23.585,23.585,23.585,0
2019-07-22,FLXB.MI,23.585,23.585,23.585,23.585,0
2019-07-23,FLXB.MI,23.585,23.585,23.585,23.585,0
2019-07-24,FLXB.MI,23.585,23.585,23.585,23.585,0
2019-07-25,FLXB.MI,23.585,23.585,23.585,23.585,0
2019-07-26,FLXB.MI,24.885,24.885,24.66,24.66,30
2019-07-29,FLXB.MI,24.66,24.66,24.66,24.66,0
2019-07-30,FLXB.MI,24.66,24.66,24.66,24.66,0
