Date,Ticker,Open,High,Low,Close,Volume
2019-06-11,FLXC.MI,23.02,23.02,23.0,23.0,17
2019-06-12,FLXC.MI,22.64,22.64,22.53,22.53,600
2019-06-13,FLXC.MI,22.53,22.53,22.53,22.53,0
2019-06-14,FLXC.MI,22.53,22.53,22.53,22.53,0
2019-06-17,FLXC.MI,22.53,22.53,22.53,22.53,0
2019-06-18,FLXC.MI,22.53,22.53,22.53,22.53,0
2019-06-19,FLXC.MI,22.53,22.53,22.53,22.53,0
2019-06-20,FLXC.MI,22.53,22.53,22.53,22.53,0
2019-06-21,FLXC.MI,22.53,22.53,22.53,22.53,0
2019-06-24,FLXC.MI,22.53,22.53,22.53,22.53,0
2019-06-25,FLXC.MI,23.33,23.33,23.21,23.21,600
2019-06-26,FLXC.MI,23.21,23.21,23.21,23.21,0
2019-06-27,FLXC.MI,23.71,23.71,23.615,23.615,85
2019-06-28,FLXC.MI,23.615,23.615,23.615,23.615,0
2019-07-01,FLXC.MI,23.615,23.615,23.615,23.615,0
2019-07-02,FLXC.MI,23.615,23.615,23.615,23.615,0
2019-07-03,FLXC.MI,24.28,24.28,24.245,24.245,100
2019-07-04,FLXC.MI,24.335,24.335,24.24,24.24,50
2019-07-05,FLXC.MI,24.42,24.42,24.125,24.125,30
2019-07-08,FLXC.MI,24.125,24.125,24.125,24.125,0
2019-07-09,FLXC.MI,23.785,23.785,23.73,23.73,50
2019-07-10,FLXC.MI,23.8,23.81,23.745,23.745,90
2019-07-11,FLXC.MI,23.825,23.825,23.63,23.63,10
2019-07-12,FLXC.MI,23.63,23.63,23.63,23.63,0
2019-07-15,FLXC.MI,23.63,23.63,23.63,23.63,0
2019-07-16,FLXC.MI,23.63,23.63,23.63,23.63,0
2019-07-17,FLXC.MI,23.63,23.63,23.63,23.63,0
2019-07-18,FLXC.MI,23.95,23.95,23.81,23.81,80
2019-07-19,FLXC.MI,23.81,23.81,23.81,23.81,0
2019-07-22,FLXC.MI,23.81,23.81,23.81,23.81,0
2019-07-23,FLXC.MI,23.81,23.81,23.81,23.81,0
2019-07-24,FLXC.MI,23.81,23.81,23.81,23.81,0
2019-07-25,FLXC.MI,23.81,23.81,23.81,23.81,0
2019-07-26,FLXC.MI,24.45,24.45,24.345,24.345,30
2019-07-29,FLXC.MI,24.39,24.39,24.18,24.18,220
2019-07-30,FLXC.MI,24.075,24.075,24.045,24.045,105
2019-07-31,FLXC.MI,24.045,24.045,24.045,24.045,0
2019-08-01,FLXC.MI,24.17,24.17,24.165,24.165,10
2019-08-02,FLXC.MI,23.405,23.405,22.97,22.97,169
2019-08-05,FLXC.MI,22.97,22.97,22.97,22.97,0
2019-08-06,FLXC.MI,22.07,22.19,21.95,21.95,120
2019-08-07,FLXC.MI,21.95,21.95,21.95,21.95,0
2019-08-08,FLXC.MI,22.365,22.365,22.28,22.28,10
2019-08-09,FLXC.MI,22.28,22.28,22.28,22.28,0
2019-08-12,FLXC.MI,22.28,22.28,22.28,22.28,0
2019-08-13,FLXC.MI,22.28,22.28,22.28,22.28,0
2019-08-14,FLXC.MI,22.28,22.28,22.28,22.28,0
2019-08-16,FLXC.MI,22.525,22.59,22.525,22.59,200
2019-08-19,FLXC.MI,22.59,22.59,22.59,22.59,0
2019-08-20,FLXC.MI,23.305,23.305,23.17,23.17,93
2019-08-21,FLXC.MI,23.17,23.17,23.17,23.17,0
2019-08-22,FLXC.MI,23.17,23.17,23.17,23.17,0
2019-08-23,FLXC.MI,23.295,23.295,22.595,22.595,435
2019-08-26,FLXC.MI,22.595,22.595,22.595,22.595,0
2019-08-27,FLXC.MI,22.765,22.885,22.765,22.885,10
2019-08-28,FLXC.MI,22.885,22.885,22.885,22.885,0
2019-08-29,FLXC.MI,22.885,22.885,22.885,22.885,0
2019-08-30,FLXC.MI,22.885,22.885,22.885,22.885,0
2019-09-02,FLXC.MI,23.485,23.53,23.46,23.46,531
2019-09-03,FLXC.MI,23.4,23.4,23.34,23.4,2000
2019-09-04,FLXC.MI,23.4,23.4,23.4,23.4,0
2019-09-05,FLXC.MI,23.4,23.4,23.4,23.4,0
2019-09-06,FLXC.MI,23.4,23.4,23.4,23.4,0
2019-09-09,FLXC.MI,24.095,24.095,24.09,24.09,50
2019-09-10,FLXC.MI,24.09,24.09,24.09,24.09,0
2019-09-11,FLXC.MI,24.09,24.09,24.09,24.09,0
2019-09-12,FLXC.MI,24.515,24.515,24.45,24.45,2500
2019-09-13,FLXC.MI,24.45,24.45,24.45,24.45,0
2019-09-16,FLXC.MI,24.41,24.495,24.41,24.495,61
2019-09-17,FLXC.MI,24.495,24.495,24.495,24.495,0
2019-09-18,FLXC.MI,24.185,24.185,24.12,24.12,2000
2019-09-19,FLXC.MI,24.12,24.12,24.12,24.12,0
2019-09-20,FLXC.MI,24.205,24.205,24.17,24.17,120
2019-09-23,FLXC.MI,24.17,24.17,24.17,24.17,0
2019-09-24,FLXC.MI,23.705,23.705,23.665,23.665,100
2019-09-25,FLXC.MI,23.665,23.665,23.665,23.665,0
2019-09-26,FLXC.MI,23.665,23.665,23.665,23.665,0
2019-09-27,FLXC.MI,23.77,23.77,23.7,23.715,4555
2019-09-30,FLXC.MI,23.605,23.605,23.525,23.525,10
2019-10-01,FLXC.MI,23.525,23.525,23.525,23.525,0
2019-10-02,FLXC.MI,23.4,23.4,23.175,23.175,1666
2019-10-03,FLXC.MI,23.465,23.465,23.39,23.39,900
2019-10-04,FLXC.MI,23.39,23.39,23.39,23.39,0
2019-10-07,FLXC.MI,23.4,23.4,23.39,23.39,1000
2019-10-08,FLXC.MI,23.225,23.23,23.21,23.23,218
2019-10-09,FLXC.MI,23.23,23.23,23.23,23.23,0
2019-10-10,FLXC.MI,23.68,23.7,23.68,23.7,2636
2019-10-11,FLXC.MI,23.97,24.15,23.97,24.15,1559
2019-10-14,FLXC.MI,24.08,24.09,24.08,24.08,1579
2019-10-15,FLXC.MI,24.11,24.205,24.11,24.205,53
2019-10-16,FLXC.MI,24.205,24.205,24.205,24.205,0
2019-10-17,FLXC.MI,24.205,24.205,24.205,24.205,0
2019-10-18,FLXC.MI,24.205,24.205,24.205,24.205,0
2019-10-21,FLXC.MI,23.86,23.9,23.855,23.855,3302
2019-10-22,FLXC.MI,23.795,23.82,23.795,23.82,155
2019-10-23,FLXC.MI,23.595,23.68,23.55,23.68,1750
2019-10-24,FLXC.MI,23.73,23.81,23.73,23.81,250
2019-10-25,FLXC.MI,23.81,23.81,23.81,23.81,0
2019-10-28,FLXC.MI,24.26,24.38,24.26,24.38,860
2019-10-29,FLXC.MI,24.055,24.11,24.055,24.06,300
2019-10-30,FLXC.MI,24.06,24.06,24.06,24.06,0
2019-10-31,FLXC.MI,23.9,23.9,23.78,23.78,100
2019-11-01,FLXC.MI,23.78,23.78,23.78,23.78,0
2019-11-04,FLXC.MI,23.78,23.78,23.78,23.78,0
2019-11-05,FLXC.MI,23.78,23.78,23.78,23.78,0
2019-11-06,FLXC.MI,23.78,23.78,23.78,23.78,0
2019-11-07,FLXC.MI,25.21,25.335,25.21,25.335,557
2019-11-08,FLXC.MI,25.2,25.24,25.17,25.17,30000
2019-11-11,FLXC.MI,24.77,24.77,24.75,24.75,55
2019-11-12,FLXC.MI,24.75,24.75,24.75,24.75,0
2019-11-13,FLXC.MI,24.75,24.75,24.75,24.75,0
2019-11-14,FLXC.MI,24.47,24.47,24.38,24.38,150
2019-11-15,FLXC.MI,24.375,24.38,24.375,24.38,24
2019-11-18,FLXC.MI,24.56,24.56,24.405,24.405,3716
2019-11-19,FLXC.MI,24.755,24.755,24.55,24.55,201
