Date,Ticker,Open,High,Low,Close,Volume
2024-06-24,FOO.MI,88.28,88.81,88.24,88.77,4766
2024-06-25,FOO.MI,88.82,88.99,88.46,88.46,792
2024-06-26,FOO.MI,88.76,88.76,87.92,88.09,980
2024-06-27,FOO.MI,87.53,87.87,86.93,86.93,5269
2024-06-28,FOO.MI,86.69,86.98,86.11,86.22,494
2024-07-01,FOO.MI,86.5,86.53,86.22,86.22,216
2024-07-02,FOO.MI,85.9,86.22,85.58,86.21,13688
2024-07-03,FOO.MI,86.43,86.68,86.34,86.68,274
2024-07-04,FOO.MI,86.91,87.12,86.81,87.04,304
2024-07-05,FOO.MI,87.4,87.4,86.85,86.85,724
2024-07-08,FOO.MI,87.04,87.4,87.02,87.07,244
2024-07-09,FOO.MI,87.36,87.55,86.81,86.81,783
2024-07-10,FOO.MI,87.39,87.55,87.26,87.55,283
2024-07-11,FOO.MI,87.78,88.1,87.78,88.1,424
2024-07-12,FOO.MI,88.25,88.47,88.01,88.47,828
2024-07-15,FOO.MI,87.94,88.56,87.28,87.28,4057
2024-07-16,FOO.MI,86.9,87.2,86.85,87.2,2433
2024-07-17,FOO.MI,87.2,88.27,87.04,88.27,1969
2024-07-18,FOO.MI,88.99,89.26,88.84,89.19,368
2024-07-19,FOO.MI,88.62,88.77,88.52,88.52,354
2024-07-22,FOO.MI,89.27,89.56,89.21,89.21,550
2024-07-23,FOO.MI,88.97,89.1,88.76,88.76,558
2024-07-24,FOO.MI,88.64,88.74,88.26,88.48,2323
2024-07-25,FOO.MI,88.05,88.52,87.97,88.41,4889
2024-07-26,FOO.MI,88.25,88.79,87.95,88.79,337
2024-07-29,FOO.MI,88.21,88.57,88.11,88.11,197
2024-07-30,FOO.MI,88.19,88.32,87.38,88.32,1302
2024-07-31,FOO.MI,89.35,89.4,88.73,88.81,3144
2024-08-01,FOO.MI,88.79,89.28,88.73,88.74,5048
2024-08-02,FOO.MI,88.94,89.91,88.54,89.2,2245
2024-08-05,FOO.MI,87.9,88.19,86.93,87.04,18470
2024-08-06,FOO.MI,87.2,87.25,86.77,87.25,286
2024-08-07,FOO.MI,87.79,88.5,87.7,88.48,948
2024-08-08,FOO.MI,87.76,88.34,87.76,88.34,194
2024-08-09,FOO.MI,88.87,88.87,88.09,88.33,168
2024-08-12,FOO.MI,88.19,88.23,87.98,88.08,148
2024-08-13,FOO.MI,88.37,88.37,88.19,88.29,22
