Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,FXC.MI,110.98,113.22,110.98,112.8,2151
2018-01-03,FXC.MI,113.1,114.38,113.08,114.24,1374
2018-01-04,FXC.MI,114.36,114.94,114.3,114.7,2235
2018-01-05,FXC.MI,114.46,115.3,114.22,115.3,3843
2018-01-08,FXC.MI,115.46,116.36,115.46,116.22,1683
2018-01-09,FXC.MI,116.4,116.84,116.38,116.74,4421
2018-01-10,FXC.MI,117.0,117.24,115.9,116.3,2228
2018-01-11,FXC.MI,116.5,116.82,115.62,115.78,1133
2018-01-12,FXC.MI,116.98,116.98,116.34,116.86,2738
2018-01-15,FXC.MI,115.6,115.6,114.3,114.52,1752
2018-01-16,FXC.MI,117.14,117.98,116.86,117.58,3492
2018-01-17,FXC.MI,117.6,118.6,117.6,118.52,2498
2018-01-18,FXC.MI,119.0,119.58,118.78,119.06,1824
2018-01-19,FXC.MI,119.52,120.96,119.52,120.82,4374
2018-01-22,FXC.MI,120.96,121.7,120.62,121.62,2581
2018-01-23,FXC.MI,122.0,123.72,122.0,123.38,5253
2018-01-24,FXC.MI,123.86,123.9,123.16,123.16,6214
2018-01-25,FXC.MI,120.82,121.32,119.72,120.74,4493
2018-01-26,FXC.MI,121.0,124.0,121.0,123.94,4600
2018-01-29,FXC.MI,123.02,123.1,121.86,123.0,2886
2018-01-30,FXC.MI,121.9,121.9,119.5,120.0,9084
2018-01-31,FXC.MI,120.12,121.84,120.12,121.1,1726
2018-02-01,FXC.MI,120.86,120.86,119.1,119.1,2328
2018-02-02,FXC.MI,119.86,120.18,118.56,118.66,2191
2018-02-05,FXC.MI,120.22,120.22,118.66,119.4,3805
2018-02-06,FXC.MI,118.0,118.0,112.5,115.36,18785
2018-02-07,FXC.MI,113.0,114.62,110.7,114.5,16294
2018-02-08,FXC.MI,114.98,114.98,109.72,109.72,4026
2018-02-09,FXC.MI,107.7,107.86,106.1,106.24,5427
2018-02-12,FXC.MI,107.66,108.82,107.3,108.0,11248
2018-02-13,FXC.MI,108.2,108.22,106.86,107.56,6209
2018-02-14,FXC.MI,109.64,110.24,108.7,109.9,4608
2018-02-15,FXC.MI,111.28,113.48,111.28,112.68,7397
2018-02-16,FXC.MI,112.9,114.74,112.9,114.58,3912
2018-02-19,FXC.MI,114.02,114.46,113.68,113.72,1099
2018-02-20,FXC.MI,112.16,112.66,111.54,112.66,1018
2018-02-21,FXC.MI,114.78,115.84,114.48,115.84,2912
2018-02-22,FXC.MI,113.66,114.78,113.46,114.78,3514
2018-02-23,FXC.MI,115.22,115.58,114.6,115.38,8470
2018-02-26,FXC.MI,115.56,116.28,115.54,116.28,692
2018-02-27,FXC.MI,115.0,115.0,113.46,113.8,4645
2018-02-28,FXC.MI,113.5,113.5,111.66,111.98,6485
2018-03-01,FXC.MI,113.48,113.48,112.52,112.64,6399
2018-03-02,FXC.MI,111.2,111.2,107.9,108.42,7651
2018-03-05,FXC.MI,108.12,109.74,108.12,109.64,4989
2018-03-06,FXC.MI,110.9,111.04,109.78,109.78,2461
2018-03-07,FXC.MI,109.5,109.86,108.6,109.66,5284
2018-03-08,FXC.MI,110.64,111.18,110.2,111.18,3878
2018-03-09,FXC.MI,111.78,113.44,111.78,113.44,5292
2018-03-12,FXC.MI,113.98,115.0,113.98,114.42,5596
2018-03-13,FXC.MI,114.48,114.82,112.64,112.72,3325
2018-03-14,FXC.MI,113.54,114.2,112.76,112.76,1915
2018-03-15,FXC.MI,114.22,114.8,114.16,114.42,3702
2018-03-16,FXC.MI,114.7,115.22,114.1,115.0,2969
2018-03-19,FXC.MI,114.12,114.24,112.6,112.98,3810
2018-03-20,FXC.MI,114.2,115.56,114.02,115.4,2024
2018-03-21,FXC.MI,114.28,114.6,113.4,114.34,5307
2018-03-22,FXC.MI,113.5,113.5,110.0,110.9,4240
