Date,Ticker,Open,High,Low,Close,Volume
2021-04-07,GCLE.MI,34.355,34.355,33.77,33.77,415
2021-04-08,GCLE.MI,33.77,33.77,33.77,33.77,0
2021-04-09,GCLE.MI,33.995,34.045,33.83,33.83,1065
2021-04-12,GCLE.MI,33.62,33.62,32.94,32.94,131
2021-04-13,GCLE.MI,33.04,33.04,32.925,32.925,453
2021-04-14,GCLE.MI,32.925,32.925,32.925,32.925,0
2021-04-15,GCLE.MI,32.96,32.96,32.4,32.4,387
2021-04-16,GCLE.MI,32.63,32.63,32.5,32.625,143
2021-04-19,GCLE.MI,32.595,32.595,31.835,31.835,160
2021-04-20,GCLE.MI,31.65,31.65,31.09,31.09,123
2021-04-21,GCLE.MI,30.96,31.375,30.96,31.375,15
2021-04-22,GCLE.MI,31.375,31.375,31.375,31.375,0
2021-04-23,GCLE.MI,32.535,32.665,32.485,32.665,1752
2021-04-26,GCLE.MI,32.975,33.145,32.975,33.145,413
2021-04-27,GCLE.MI,33.555,33.56,33.38,33.38,849
2021-04-28,GCLE.MI,33.175,33.175,32.875,32.875,331
2021-04-29,GCLE.MI,33.11,33.11,32.415,32.415,300
2021-04-30,GCLE.MI,32.275,32.275,32.175,32.175,172
2021-05-03,GCLE.MI,32.055,32.055,31.59,31.59,348
2021-05-04,GCLE.MI,31.1,31.1,30.35,30.35,110
2021-05-05,GCLE.MI,30.65,30.77,30.47,30.63,1033
2021-05-06,GCLE.MI,30.46,30.46,29.4,29.425,579
2021-05-07,GCLE.MI,29.675,29.97,29.675,29.97,18
2021-05-10,GCLE.MI,29.7,29.7,29.255,29.255,606
2021-05-11,GCLE.MI,28.41,28.5,27.885,28.5,2710
2021-05-12,GCLE.MI,28.195,28.22,28.195,28.22,500
2021-05-13,GCLE.MI,27.575,27.93,27.5,27.93,114
2021-05-14,GCLE.MI,27.93,27.93,27.93,27.93,0
2021-05-17,GCLE.MI,28.45,28.45,28.37,28.37,127
2021-05-18,GCLE.MI,28.875,29.125,28.7,29.125,1260
2021-05-19,GCLE.MI,29.125,29.125,29.125,29.125,0
2021-05-20,GCLE.MI,29.375,29.625,29.375,29.625,39
2021-05-21,GCLE.MI,29.625,29.625,29.625,29.625,0
