Date,Ticker,Open,High,Low,Close,Volume
2019-04-26,GENDED.MI,12.499,12.499,12.499,12.499,0
2019-04-29,GENDED.MI,12.497,12.497,12.497,12.497,0
2019-04-30,GENDED.MI,12.532,12.532,12.532,12.532,0
2019-05-02,GENDED.MI,12.425,12.425,12.425,12.425,0
2019-05-03,GENDED.MI,12.516,12.516,12.516,12.516,0
2019-05-07,GENDED.MI,12.297,12.297,12.297,12.297,0
2019-05-08,GENDED.MI,12.295,12.295,12.295,12.295,0
2019-05-09,GENDED.MI,12.223,12.223,12.223,12.223,0
2019-05-10,GENDED.MI,12.303,12.303,12.303,12.303,0
2019-05-13,GENDED.MI,12.101,12.101,12.101,12.101,0
2019-05-14,GENDED.MI,12.178,12.178,12.178,12.178,0
2019-05-15,GENDED.MI,12.2,12.2,12.2,12.2,0
2019-05-16,GENDED.MI,12.34,12.34,12.34,12.34,0
2019-05-17,GENDED.MI,12.288,12.288,12.288,12.288,0
2019-05-20,GENDED.MI,12.281,12.281,12.281,12.281,0
2019-05-21,GENDED.MI,12.373,12.373,12.373,12.373,0
2019-05-22,GENDED.MI,12.343,12.343,12.343,12.343,0
2019-05-23,GENDED.MI,12.201,12.201,12.201,12.201,0
2019-05-24,GENDED.MI,12.276,12.276,12.276,12.276,0
2019-05-28,GENDED.MI,12.213,12.213,12.213,12.213,0
2019-05-29,GENDED.MI,12.079,12.079,12.079,12.079,0
2019-05-30,GENDED.MI,12.079,12.079,12.079,12.079,0
2019-05-31,GENDED.MI,12.0,12.0,12.0,12.0,0
2019-06-04,GENDED.MI,12.232,12.232,12.232,12.232,0
2019-06-05,GENDED.MI,12.323,12.323,12.323,12.323,0
2019-06-06,GENDED.MI,12.384,12.384,12.384,12.384,0
2019-06-07,GENDED.MI,12.519,12.519,12.519,12.519,0
2019-06-10,GENDED.MI,12.502,12.502,12.502,12.502,0
2019-06-11,GENDED.MI,12.54,12.54,12.54,12.54,0
2019-06-12,GENDED.MI,12.526,12.526,12.526,12.526,0
2019-06-13,GENDED.MI,12.504,12.504,12.504,12.504,0
2019-06-14,GENDED.MI,12.443,12.443,12.443,12.443,0
2019-06-17,GENDED.MI,12.421,12.421,12.421,12.421,0
2019-06-18,GENDED.MI,12.554,12.554,12.554,12.554,0
2019-06-19,GENDED.MI,12.596,12.596,12.596,12.596,0
2019-06-20,GENDED.MI,12.681,12.681,12.681,12.681,0
2019-06-21,GENDED.MI,12.666,12.666,12.666,12.666,0
2019-06-24,GENDED.MI,12.688,12.688,12.688,12.688,0
2019-06-25,GENDED.MI,12.644,12.644,12.644,12.644,0
2019-06-26,GENDED.MI,12.61,12.61,12.61,12.61,0
2019-06-27,GENDED.MI,12.619,12.619,12.619,12.619,0
2019-06-28,GENDED.MI,12.685,12.685,12.685,12.685,0
2019-07-01,GENDED.MI,12.736,12.736,12.736,12.736,0
2019-07-02,GENDED.MI,12.771,12.771,12.771,12.771,0
2019-07-03,GENDED.MI,12.899,12.899,12.899,12.899,0
2019-07-04,GENDED.MI,12.913,12.913,12.913,12.913,0
2019-07-05,GENDED.MI,12.848,12.848,12.848,12.848,0
2019-07-08,GENDED.MI,12.75,12.75,12.75,12.75,0
2019-07-09,GENDED.MI,12.728,12.728,12.728,12.728,0
2019-07-10,GENDED.MI,12.775,12.775,12.775,12.775,0
2019-07-11,GENDED.MI,12.778,12.778,12.778,12.778,0
2019-07-12,GENDED.MI,12.83,12.83,12.83,12.83,0
2019-07-15,GENDED.MI,12.832,12.832,12.832,12.832,0
2019-07-16,GENDED.MI,12.805,12.805,12.805,12.805,0
2019-07-17,GENDED.MI,12.734,12.734,12.734,12.734,0
2019-07-18,GENDED.MI,12.779,12.779,12.779,12.779,0
2019-07-19,GENDED.MI,12.725,12.725,12.725,12.725,0
2019-07-22,GENDED.MI,12.737,12.737,12.737,12.737,0
2019-07-23,GENDED.MI,12.802,12.802,12.802,12.802,0
2019-07-24,GENDED.MI,12.842,12.842,12.842,12.842,0
2019-07-25,GENDED.MI,12.804,12.804,12.804,12.804,0
2019-07-26,GENDED.MI,12.82,12.82,12.82,12.82,0
2019-07-29,GENDED.MI,12.848,12.848,12.848,12.848,0
