Date,Ticker,Open,High,Low,Close,Volume
2023-03-20,GGRE.MI,15.0,15.0,15.0,15.0,0
2023-03-21,GGRE.MI,15.096,15.096,15.096,15.096,0
2023-03-22,GGRE.MI,15.016,15.016,15.016,15.016,0
2023-03-23,GGRE.MI,15.041,15.041,15.041,15.041,0
2023-03-24,GGRE.MI,15.053,15.053,15.053,15.053,0
2023-03-27,GGRE.MI,15.124,15.124,15.124,15.124,0
2023-03-28,GGRE.MI,15.112,15.112,15.112,15.112,0
2023-03-29,GGRE.MI,15.275,15.275,15.275,15.275,0
2023-03-30,GGRE.MI,15.364,15.364,15.364,15.364,0
2023-03-31,GGRE.MI,15.54,15.54,15.54,15.54,0
2023-04-03,GGRE.MI,15.577,15.577,15.577,15.577,0
2023-04-04,GGRE.MI,15.519,15.519,15.519,15.519,0
2023-04-05,GGRE.MI,15.506,15.506,15.506,15.506,0
2023-04-06,GGRE.MI,15.528,15.528,15.528,15.528,0
2023-04-11,GGRE.MI,15.59,15.59,15.59,15.59,0
2023-04-12,GGRE.MI,15.566,15.566,15.566,15.566,0
2023-04-13,GGRE.MI,15.697,15.697,15.697,15.697,0
2023-04-14,GGRE.MI,15.698,15.698,15.698,15.698,0
2023-04-17,GGRE.MI,15.75,15.75,15.75,15.75,0
2023-04-18,GGRE.MI,15.76,15.76,15.76,15.76,0
2023-04-19,GGRE.MI,15.73,15.73,15.73,15.73,0
2023-04-20,GGRE.MI,15.729,15.729,15.729,15.729,0
2023-04-21,GGRE.MI,15.795,15.795,15.795,15.795,0
2023-04-24,GGRE.MI,15.8,15.8,15.8,15.8,0
2023-04-25,GGRE.MI,15.695,15.695,15.695,15.695,0
2023-04-26,GGRE.MI,15.594,15.594,15.594,15.594,0
2023-04-27,GGRE.MI,15.757,15.757,15.757,15.757,0
2023-04-28,GGRE.MI,15.857,15.857,15.857,15.857,0
2023-05-02,GGRE.MI,15.78,15.78,15.78,15.78,0
2023-05-03,GGRE.MI,15.746,15.746,15.746,15.746,0
2023-05-04,GGRE.MI,15.657,15.657,15.657,15.657,0
2023-05-05,GGRE.MI,15.84,15.84,15.84,15.84,0
2023-05-09,GGRE.MI,15.678,15.678,15.644,15.644,1600
2023-05-10,GGRE.MI,15.644,15.644,15.644,15.644,0
2023-05-11,GGRE.MI,15.644,15.644,15.644,15.644,0
2023-05-12,GGRE.MI,15.644,15.644,15.644,15.644,0
2023-05-15,GGRE.MI,15.822,15.822,15.708,15.708,8
2023-05-16,GGRE.MI,15.708,15.708,15.708,15.708,0
2023-05-17,GGRE.MI,15.708,15.708,15.708,15.708,0
2023-05-18,GGRE.MI,15.708,15.708,15.708,15.708,0
2023-05-19,GGRE.MI,15.708,15.708,15.708,15.708,0
2023-05-22,GGRE.MI,15.708,15.708,15.708,15.708,0
2023-05-23,GGRE.MI,15.708,15.708,15.708,15.708,0
2023-05-24,GGRE.MI,15.708,15.708,15.708,15.708,0
2023-05-25,GGRE.MI,15.708,15.708,15.708,15.708,0
2023-05-26,GGRE.MI,15.708,15.708,15.708,15.708,0
2023-05-29,GGRE.MI,15.85,15.85,15.768,15.768,516
2023-05-30,GGRE.MI,15.824,15.824,15.674,15.674,63
2023-05-31,GGRE.MI,15.674,15.674,15.674,15.674,0
2023-06-01,GGRE.MI,15.674,15.674,15.674,15.674,0
2023-06-02,GGRE.MI,15.674,15.674,15.674,15.674,0
2023-06-05,GGRE.MI,15.674,15.674,15.674,15.674,0
2023-06-06,GGRE.MI,15.674,15.674,15.674,15.674,0
2023-06-07,GGRE.MI,15.674,15.674,15.674,15.674,0
2023-06-08,GGRE.MI,15.674,15.674,15.674,15.674,0
2023-06-09,GGRE.MI,15.892,15.892,15.89,15.89,945
2023-06-12,GGRE.MI,15.89,15.89,15.89,15.89,0
2023-06-13,GGRE.MI,15.89,15.89,15.89,15.89,0
2023-06-14,GGRE.MI,15.89,15.89,15.89,15.89,0
2023-06-15,GGRE.MI,16.156,16.236,16.156,16.21,9
2023-06-16,GGRE.MI,16.36,16.36,16.316,16.316,480
2023-06-19,GGRE.MI,16.316,16.316,16.316,16.316,0
2023-06-20,GGRE.MI,16.316,16.316,16.316,16.316,0
2023-06-21,GGRE.MI,16.316,16.316,16.316,16.316,0
2023-06-22,GGRE.MI,16.316,16.316,16.316,16.316,0
2023-06-23,GGRE.MI,16.096,16.096,16.022,16.022,1600
2023-06-26,GGRE.MI,16.004,16.004,15.978,15.978,62
2023-06-27,GGRE.MI,15.978,15.978,15.978,15.978,0
2023-06-28,GGRE.MI,15.978,15.978,15.978,15.978,0
2023-06-29,GGRE.MI,15.978,15.978,15.978,15.978,0
2023-06-30,GGRE.MI,15.978,15.978,15.978,15.978,0
2023-07-03,GGRE.MI,16.366,16.368,16.3,16.338,3158
2023-07-04,GGRE.MI,16.332,16.348,16.332,16.338,830
2023-07-05,GGRE.MI,16.29,16.296,16.242,16.242,451
2023-07-06,GGRE.MI,16.1,16.1,15.978,15.978,1103
2023-07-07,GGRE.MI,15.978,15.978,15.978,15.978,0
2023-07-10,GGRE.MI,15.978,15.978,15.978,15.978,0
2023-07-11,GGRE.MI,16.038,16.056,16.024,16.024,775
2023-07-12,GGRE.MI,16.024,16.024,16.024,16.024,0
2023-07-13,GGRE.MI,16.024,16.024,16.024,16.024,0
2023-07-14,GGRE.MI,16.276,16.318,16.276,16.286,3615
2023-07-17,GGRE.MI,16.29,16.292,16.246,16.246,14
2023-07-18,GGRE.MI,16.246,16.246,16.246,16.246,0
2023-07-19,GGRE.MI,16.45,16.45,16.422,16.422,750
2023-07-20,GGRE.MI,16.422,16.422,16.422,16.422,0
2023-07-21,GGRE.MI,16.554,16.554,16.514,16.514,600
2023-07-24,GGRE.MI,16.522,16.522,16.484,16.508,1080
2023-07-25,GGRE.MI,16.508,16.556,16.508,16.556,82
2023-07-26,GGRE.MI,16.556,16.556,16.556,16.556,0
2023-07-27,GGRE.MI,16.5,16.64,16.5,16.602,3755
2023-07-28,GGRE.MI,16.558,16.59,16.558,16.59,600
2023-07-31,GGRE.MI,16.59,16.59,16.59,16.59,0
2023-08-01,GGRE.MI,16.59,16.59,16.59,16.59,0
2023-08-02,GGRE.MI,16.464,16.464,16.394,16.394,2
2023-08-03,GGRE.MI,16.394,16.394,16.394,16.394,0
2023-08-04,GGRE.MI,16.394,16.394,16.394,16.394,0
2023-08-07,GGRE.MI,16.328,16.328,16.258,16.262,83
2023-08-08,GGRE.MI,16.262,16.262,16.262,16.262,0
2023-08-09,GGRE.MI,16.262,16.262,16.262,16.262,0
2023-08-10,GGRE.MI,16.262,16.262,16.262,16.262,0
2023-08-11,GGRE.MI,16.262,16.262,16.262,16.262,0
2023-08-14,GGRE.MI,16.258,16.29,16.248,16.29,185
2023-08-16,GGRE.MI,16.198,16.236,16.198,16.236,8
2023-08-17,GGRE.MI,16.094,16.116,16.094,16.116,500
2023-08-18,GGRE.MI,15.918,15.968,15.892,15.968,503
2023-08-21,GGRE.MI,15.968,15.968,15.968,15.968,0
2023-08-22,GGRE.MI,15.968,15.968,15.968,15.968,0
2023-08-23,GGRE.MI,16.092,16.092,16.05,16.05,300
2023-08-24,GGRE.MI,16.05,16.05,16.05,16.05,0
2023-08-25,GGRE.MI,16.05,16.05,16.05,16.05,0
2023-08-28,GGRE.MI,16.05,16.05,16.05,16.05,0
2023-08-29,GGRE.MI,16.202,16.248,16.202,16.248,925
2023-08-30,GGRE.MI,16.284,16.326,16.284,16.326,305
2023-08-31,GGRE.MI,16.326,16.326,16.326,16.326,0
2023-09-01,GGRE.MI,16.326,16.326,16.326,16.326,0
2023-09-04,GGRE.MI,16.288,16.296,16.288,16.296,400
2023-09-05,GGRE.MI,16.296,16.296,16.296,16.296,0
2023-09-06,GGRE.MI,16.2,16.2,16.144,16.144,610
2023-09-07,GGRE.MI,16.144,16.144,16.144,16.144,0
2023-09-08,GGRE.MI,16.008,16.134,16.008,16.134,96
2023-09-11,GGRE.MI,16.134,16.134,16.134,16.134,0
2023-09-12,GGRE.MI,16.134,16.134,16.134,16.134,0
2023-09-13,GGRE.MI,16.134,16.134,16.134,16.134,0
2023-09-14,GGRE.MI,16.134,16.134,16.134,16.134,0
2023-09-15,GGRE.MI,16.322,16.322,16.166,16.166,5
2023-09-18,GGRE.MI,16.166,16.166,16.166,16.166,0
2023-09-19,GGRE.MI,16.166,16.166,16.166,16.166,0
2023-09-20,GGRE.MI,16.166,16.166,16.166,16.166,0
2023-09-21,GGRE.MI,16.166,16.166,16.166,16.166,0
2023-09-22,GGRE.MI,16.166,16.166,16.166,16.166,0
2023-09-25,GGRE.MI,15.692,15.698,15.692,15.698,500
2023-09-26,GGRE.MI,15.698,15.698,15.698,15.698,0
2023-09-27,GGRE.MI,15.698,15.698,15.698,15.698,0
2023-09-28,GGRE.MI,15.698,15.698,15.698,15.698,0
2023-09-29,GGRE.MI,15.664,15.664,15.656,15.656,300
2023-10-02,GGRE.MI,15.678,15.678,15.534,15.534,2
2023-10-03,GGRE.MI,15.506,15.506,15.366,15.366,2200
2023-10-04,GGRE.MI,15.366,15.366,15.366,15.366,0
2023-10-05,GGRE.MI,15.366,15.366,15.366,15.366,0
2023-10-06,GGRE.MI,15.366,15.366,15.366,15.366,0
2023-10-09,GGRE.MI,15.428,15.548,15.428,15.468,325
2023-10-10,GGRE.MI,15.468,15.468,15.468,15.468,0
2023-10-11,GGRE.MI,15.468,15.468,15.468,15.468,0
2023-10-12,GGRE.MI,15.468,15.468,15.468,15.468,0
2023-10-13,GGRE.MI,15.468,15.468,15.468,15.468,0
2023-10-16,GGRE.MI,15.55,15.74,15.55,15.74,1655
2023-10-17,GGRE.MI,15.74,15.74,15.74,15.74,0
2023-10-18,GGRE.MI,15.74,15.74,15.74,15.74,0
2023-10-19,GGRE.MI,15.502,15.502,15.424,15.424,45
2023-10-20,GGRE.MI,15.424,15.424,15.424,15.424,0
2023-10-23,GGRE.MI,15.424,15.424,15.424,15.424,0
2023-10-24,GGRE.MI,15.192,15.286,15.192,15.286,328
2023-10-25,GGRE.MI,15.286,15.286,15.286,15.286,0
2023-10-26,GGRE.MI,15.286,15.286,15.286,15.286,0
2023-10-27,GGRE.MI,15.092,15.092,15.056,15.056,7
2023-10-30,GGRE.MI,15.056,15.056,15.056,15.056,0
2023-10-31,GGRE.MI,15.196,15.196,15.156,15.156,205
2023-11-01,GGRE.MI,15.212,15.272,15.212,15.272,2
2023-11-02,GGRE.MI,15.352,15.558,15.352,15.558,615
2023-11-03,GGRE.MI,15.572,15.694,15.572,15.694,620
2023-11-06,GGRE.MI,15.694,15.694,15.694,15.694,0
2023-11-07,GGRE.MI,15.694,15.694,15.694,15.694,0
2023-11-08,GGRE.MI,15.694,15.694,15.694,15.694,0
2023-11-09,GGRE.MI,15.694,15.694,15.694,15.694,0
2023-11-10,GGRE.MI,15.694,15.694,15.694,15.694,0
2023-11-13,GGRE.MI,15.694,15.694,15.694,15.694,0
2023-11-14,GGRE.MI,15.694,15.694,15.694,15.694,0
2023-11-15,GGRE.MI,15.694,15.694,15.694,15.694,0
2023-11-16,GGRE.MI,15.694,15.694,15.694,15.694,0
2023-11-17,GGRE.MI,15.694,15.694,15.694,15.694,0
2023-11-20,GGRE.MI,15.694,15.694,15.694,15.694,0
2023-11-21,GGRE.MI,15.694,15.694,15.694,15.694,0
2023-11-22,GGRE.MI,15.694,15.694,15.694,15.694,0
2023-11-23,GGRE.MI,15.694,15.694,15.694,15.694,0
2023-11-24,GGRE.MI,15.694,15.694,15.694,15.694,0
2023-11-27,GGRE.MI,15.694,15.694,15.694,15.694,0
2023-11-28,GGRE.MI,16.202,16.202,16.166,16.166,5
2023-11-29,GGRE.MI,16.166,16.166,16.166,16.166,0
2023-11-30,GGRE.MI,16.166,16.166,16.166,16.166,0
2023-12-01,GGRE.MI,16.374,16.374,16.34,16.34,886
2023-12-04,GGRE.MI,16.34,16.34,16.34,16.34,0
2023-12-05,GGRE.MI,16.34,16.34,16.34,16.34,0
2023-12-06,GGRE.MI,16.422,16.44,16.422,16.44,7
2023-12-07,GGRE.MI,16.44,16.44,16.44,16.44,0
2023-12-08,GGRE.MI,16.466,16.466,16.444,16.444,30
2023-12-11,GGRE.MI,16.444,16.444,16.444,16.444,0
2023-12-12,GGRE.MI,16.658,16.658,16.59,16.59,20
2023-12-13,GGRE.MI,16.59,16.59,16.59,16.59,0
2023-12-14,GGRE.MI,16.872,16.906,16.83,16.852,974
2023-12-15,GGRE.MI,16.932,16.932,16.824,16.824,4
2023-12-18,GGRE.MI,16.824,16.824,16.824,16.824,0
2023-12-19,GGRE.MI,16.824,16.824,16.824,16.824,0
2023-12-20,GGRE.MI,16.824,16.824,16.824,16.824,0
2023-12-21,GGRE.MI,16.824,16.824,16.824,16.824,0
2023-12-22,GGRE.MI,16.824,16.824,16.824,16.824,0
2023-12-27,GGRE.MI,16.824,16.824,16.824,16.824,0
2023-12-28,GGRE.MI,16.824,16.824,16.824,16.824,0
2023-12-29,GGRE.MI,16.95,16.956,16.94,16.956,480
2024-01-02,GGRE.MI,16.962,16.962,16.902,16.902,2
2024-01-03,GGRE.MI,16.85,16.85,16.796,16.796,9
2024-01-04,GGRE.MI,16.796,16.796,16.796,16.796,0
2024-01-05,GGRE.MI,16.796,16.796,16.796,16.796,0
2024-01-08,GGRE.MI,16.776,16.816,16.758,16.816,327
2024-01-09,GGRE.MI,16.816,16.816,16.816,16.816,0
2024-01-10,GGRE.MI,16.816,16.816,16.816,16.816,0
2024-01-11,GGRE.MI,16.952,16.952,16.832,16.832,110
2024-01-12,GGRE.MI,16.832,16.832,16.832,16.832,0
2024-01-15,GGRE.MI,16.832,16.832,16.832,16.832,0
2024-01-16,GGRE.MI,16.92,16.938,16.92,16.938,5
2024-01-17,GGRE.MI,16.938,16.938,16.938,16.938,0
2024-01-18,GGRE.MI,16.866,16.88,16.866,16.88,14
2024-01-19,GGRE.MI,17.006,17.006,16.964,16.964,178
2024-01-22,GGRE.MI,17.13,17.13,17.116,17.116,30
2024-01-23,GGRE.MI,17.116,17.116,17.096,17.096,178
2024-01-24,GGRE.MI,17.146,17.214,17.146,17.214,60
2024-01-25,GGRE.MI,17.204,17.204,17.166,17.166,20
2024-01-26,GGRE.MI,17.324,17.324,17.252,17.286,78
2024-01-29,GGRE.MI,17.286,17.286,17.286,17.286,0
2024-01-30,GGRE.MI,17.342,17.342,17.292,17.292,19
2024-01-31,GGRE.MI,17.292,17.292,17.292,17.292,0
2024-02-01,GGRE.MI,17.22,17.226,17.188,17.188,70
2024-02-02,GGRE.MI,17.304,17.304,17.3,17.3,10
2024-02-05,GGRE.MI,17.294,17.294,17.248,17.248,180
2024-02-06,GGRE.MI,17.248,17.248,17.248,17.248,0
2024-02-07,GGRE.MI,17.248,17.248,17.248,17.248,0
2024-02-08,GGRE.MI,17.248,17.248,17.248,17.248,0
2024-02-09,GGRE.MI,17.394,17.412,17.382,17.412,500
2024-02-12,GGRE.MI,17.484,17.484,17.482,17.482,144
2024-02-13,GGRE.MI,17.4,17.4,17.3,17.3,30
2024-02-14,GGRE.MI,17.3,17.3,17.3,17.3,0
2024-02-15,GGRE.MI,17.5,17.5,17.466,17.466,4
2024-02-16,GGRE.MI,17.466,17.466,17.466,17.466,0
2024-02-19,GGRE.MI,17.466,17.466,17.466,17.466,0
2024-02-20,GGRE.MI,17.556,17.556,17.534,17.534,327
2024-02-21,GGRE.MI,17.506,17.522,17.496,17.496,126
2024-02-22,GGRE.MI,17.496,17.496,17.496,17.496,0
2024-02-23,GGRE.MI,17.734,17.808,17.734,17.808,200
2024-02-26,GGRE.MI,17.808,17.808,17.808,17.808,0
2024-02-27,GGRE.MI,17.76,17.782,17.746,17.746,2440
2024-02-28,GGRE.MI,17.746,17.746,17.746,17.746,0
2024-02-29,GGRE.MI,17.746,17.746,17.746,17.746,0
2024-03-01,GGRE.MI,17.748,17.814,17.748,17.814,30
2024-03-04,GGRE.MI,17.88,17.88,17.82,17.868,13
2024-03-05,GGRE.MI,17.868,17.868,17.868,17.868,0
2024-03-06,GGRE.MI,17.868,17.868,17.868,17.868,0
2024-03-07,GGRE.MI,17.868,17.868,17.868,17.868,0
2024-03-08,GGRE.MI,17.868,17.868,17.868,17.868,0
2024-03-11,GGRE.MI,17.868,17.868,17.868,17.868,0
2024-03-12,GGRE.MI,17.892,17.964,17.892,17.95,17
2024-03-13,GGRE.MI,17.994,17.994,17.982,17.982,77
2024-03-14,GGRE.MI,17.982,17.982,17.982,17.982,0
2024-03-15,GGRE.MI,17.994,17.994,17.844,17.844,4
2024-03-18,GGRE.MI,17.844,17.844,17.844,17.844,0
2024-03-19,GGRE.MI,17.852,17.898,17.852,17.898,7
2024-03-20,GGRE.MI,17.898,17.898,17.898,17.898,0
2024-03-21,GGRE.MI,17.898,17.898,17.898,17.898,0
2024-03-22,GGRE.MI,18.236,18.236,18.13,18.13,3782
2024-03-25,GGRE.MI,18.13,18.13,18.13,18.13,0
2024-03-26,GGRE.MI,18.04,18.094,18.04,18.082,181
2024-03-27,GGRE.MI,18.082,18.082,18.082,18.082,0
2024-03-28,GGRE.MI,18.082,18.082,18.082,18.082,0
2024-04-02,GGRE.MI,18.14,18.14,17.836,17.836,29
2024-04-03,GGRE.MI,17.836,17.836,17.836,17.836,0
2024-04-04,GGRE.MI,17.836,17.836,17.836,17.836,0
2024-04-05,GGRE.MI,17.836,17.836,17.836,17.836,0
2024-04-08,GGRE.MI,17.836,17.836,17.836,17.836,0
2024-04-09,GGRE.MI,17.836,17.836,17.836,17.836,0
2024-04-10,GGRE.MI,17.836,17.836,17.836,17.836,0
2024-04-11,GGRE.MI,17.786,17.786,17.672,17.672,28
2024-04-12,GGRE.MI,17.868,17.868,17.602,17.602,1017
2024-04-15,GGRE.MI,17.728,17.74,17.63,17.63,34
2024-04-16,GGRE.MI,17.514,17.514,17.474,17.474,400
2024-04-17,GGRE.MI,17.474,17.474,17.474,17.474,0
2024-04-18,GGRE.MI,17.47,17.478,17.462,17.474,2800
2024-04-19,GGRE.MI,17.474,17.474,17.474,17.474,0
2024-04-22,GGRE.MI,17.47,17.49,17.456,17.456,381
2024-04-23,GGRE.MI,17.456,17.456,17.456,17.456,0
2024-04-24,GGRE.MI,17.72,17.72,17.65,17.65,78
2024-04-25,GGRE.MI,17.706,17.706,17.526,17.526,296
2024-04-26,GGRE.MI,17.526,17.526,17.526,17.526,0
2024-04-29,GGRE.MI,17.526,17.526,17.526,17.526,0
2024-04-30,GGRE.MI,17.754,17.754,17.676,17.676,60
2024-05-02,GGRE.MI,17.636,17.636,17.574,17.574,30
2024-05-03,GGRE.MI,17.574,17.574,17.574,17.574,0
2024-05-06,GGRE.MI,17.806,17.9,17.802,17.86,1612
2024-05-07,GGRE.MI,18.002,18.006,18.002,18.006,6
2024-05-08,GGRE.MI,18.05,18.05,18.018,18.018,205
2024-05-09,GGRE.MI,18.018,18.018,18.018,18.018,0
2024-05-10,GGRE.MI,18.15,18.204,18.15,18.204,33
