Date,Ticker,Open,High,Low,Close,Volume
2019-01-23,GIST.MI,10.0,10.0,10.0,10.0,0
2019-01-24,GIST.MI,10.007,10.007,10.007,10.007,0
2019-01-25,GIST.MI,10.018,10.018,10.018,10.018,0
2019-01-28,GIST.MI,10.022,10.022,10.022,10.022,0
2019-01-29,GIST.MI,10.028,10.028,10.028,10.028,0
2019-01-30,GIST.MI,10.05,10.05,10.05,10.05,0
2019-01-31,GIST.MI,10.101,10.101,10.101,10.101,0
2019-02-01,GIST.MI,10.078,10.078,10.078,10.078,0
2019-02-04,GIST.MI,10.053,10.053,10.053,10.053,0
2019-02-05,GIST.MI,10.041,10.041,10.041,10.041,0
2019-02-06,GIST.MI,10.036,10.036,10.036,10.036,0
2019-02-07,GIST.MI,10.034,10.034,10.034,10.034,0
2019-02-08,GIST.MI,10.023,10.023,10.023,10.023,0
2019-02-11,GIST.MI,9.995,9.995,9.995,9.995,0
2019-02-12,GIST.MI,10.001,10.001,10.001,10.001,0
2019-02-13,GIST.MI,10.002,10.002,10.002,10.002,0
2019-02-14,GIST.MI,10.006,10.006,10.006,10.006,0
2019-02-15,GIST.MI,10.009,10.009,10.009,10.009,0
2019-02-19,GIST.MI,10.05,10.05,10.05,10.05,0
2019-02-20,GIST.MI,10.055,10.055,10.055,10.055,0
2019-02-21,GIST.MI,10.045,10.045,10.045,10.045,0
2019-02-22,GIST.MI,10.058,10.058,10.058,10.058,0
2019-02-25,GIST.MI,10.058,10.058,10.058,10.058,0
2019-02-26,GIST.MI,10.083,10.083,10.083,10.083,0
2019-02-27,GIST.MI,10.073,10.073,10.073,10.073,0
2019-02-28,GIST.MI,10.067,10.067,10.067,10.067,0
2019-03-01,GIST.MI,10.05,10.05,10.05,10.05,0
2019-03-04,GIST.MI,10.039,10.039,10.039,10.039,0
2019-03-05,GIST.MI,10.028,10.028,10.028,10.028,0
2019-03-06,GIST.MI,10.052,10.052,10.052,10.052,0
2019-03-07,GIST.MI,10.059,10.059,10.059,10.059,0
2019-03-08,GIST.MI,10.048,10.048,10.048,10.048,0
2019-03-11,GIST.MI,10.055,10.055,10.055,10.055,0
2019-03-12,GIST.MI,10.075,10.075,10.075,10.075,0
2019-03-13,GIST.MI,10.099,10.099,10.099,10.099,0
2019-03-14,GIST.MI,10.105,10.105,10.105,10.105,0
2019-03-15,GIST.MI,10.118,10.118,10.118,10.118,0
2019-03-18,GIST.MI,10.122,10.122,10.122,10.122,0
2019-03-19,GIST.MI,10.12,10.12,10.12,10.12,0
2019-03-20,GIST.MI,10.149,10.149,10.149,10.149,0
2019-03-21,GIST.MI,10.155,10.155,10.155,10.155,0
2019-03-22,GIST.MI,10.161,10.161,10.161,10.161,0
2019-03-25,GIST.MI,10.172,10.172,10.172,10.172,0
2019-03-26,GIST.MI,10.154,10.154,10.154,10.154,0
2019-03-27,GIST.MI,10.146,10.146,10.146,10.146,0
2019-03-28,GIST.MI,10.122,10.122,10.122,10.122,0
2019-03-29,GIST.MI,10.124,10.124,10.124,10.124,0
2019-04-01,GIST.MI,10.119,10.119,10.119,10.119,0
2019-04-02,GIST.MI,10.111,10.111,10.111,10.111,0
2019-04-03,GIST.MI,10.115,10.115,10.115,10.115,0
2019-04-04,GIST.MI,10.109,10.109,10.109,10.109,0
2019-04-05,GIST.MI,10.106,10.106,10.106,10.106,0
2019-04-08,GIST.MI,10.122,10.122,10.122,10.122,0
2019-04-09,GIST.MI,10.132,10.132,10.132,10.132,0
2019-04-10,GIST.MI,10.15,10.15,10.15,10.15,0
2019-04-11,GIST.MI,10.137,10.137,10.137,10.137,0
2019-04-12,GIST.MI,10.133,10.133,10.133,10.133,0
2019-04-15,GIST.MI,10.131,10.131,10.131,10.131,0
2019-04-16,GIST.MI,10.113,10.113,10.113,10.113,0
2019-04-17,GIST.MI,10.108,10.108,10.108,10.108,0
2019-04-18,GIST.MI,10.112,10.112,10.112,10.112,0
2019-04-23,GIST.MI,10.097,10.097,10.097,10.097,0
2019-04-24,GIST.MI,10.118,10.118,10.118,10.118,0
2019-04-25,GIST.MI,10.099,10.099,10.099,10.099,0
2019-04-26,GIST.MI,10.116,10.116,10.116,10.116,0
2019-04-29,GIST.MI,10.11,10.11,10.11,10.11,0
2019-04-30,GIST.MI,10.141,10.141,10.141,10.141,0
2019-05-02,GIST.MI,10.096,10.096,10.096,10.096,0
2019-05-03,GIST.MI,10.116,10.116,10.116,10.116,0
2019-05-06,GIST.MI,10.126,10.126,10.126,10.126,0
2019-05-07,GIST.MI,10.131,10.131,10.131,10.131,0
2019-05-08,GIST.MI,10.12,10.12,10.12,10.12,0
2019-05-10,GIST.MI,10.142,10.142,10.142,10.142,0
2019-05-13,GIST.MI,10.152,10.152,10.152,10.152,0
2019-05-14,GIST.MI,10.138,10.138,10.138,10.138,0
2019-05-15,GIST.MI,10.144,10.144,10.144,10.144,0
2019-05-16,GIST.MI,10.129,10.129,10.129,10.129,0
2019-05-17,GIST.MI,10.12,10.12,10.12,10.12,0
2019-05-20,GIST.MI,10.112,10.112,10.112,10.112,0
2019-05-21,GIST.MI,10.115,10.115,10.115,10.115,0
