Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,GOVS.MI,52.5,52.5,52.5,52.5,0
2018-01-03,GOVS.MI,52.5,52.5,52.5,52.5,0
2018-01-04,GOVS.MI,52.5,52.5,52.5,52.5,0
2018-01-05,GOVS.MI,52.53,52.53,52.51,52.51,6282
2018-01-08,GOVS.MI,52.51,52.51,52.51,52.51,0
2018-01-09,GOVS.MI,52.51,52.51,52.51,52.51,0
2018-01-10,GOVS.MI,52.51,52.51,52.51,52.51,0
2018-01-11,GOVS.MI,52.51,52.51,52.51,52.51,0
2018-01-12,GOVS.MI,52.51,52.51,52.51,52.51,0
2018-01-15,GOVS.MI,52.51,52.51,52.51,52.51,0
2018-01-16,GOVS.MI,52.51,52.51,52.48,52.48,17
2018-01-17,GOVS.MI,52.48,52.48,52.48,52.48,0
2018-01-18,GOVS.MI,52.48,52.48,52.48,52.48,0
2018-01-19,GOVS.MI,52.48,52.48,52.48,52.48,0
2018-01-22,GOVS.MI,52.48,52.48,52.48,52.48,0
2018-01-23,GOVS.MI,52.48,52.48,52.48,52.48,0
2018-01-24,GOVS.MI,52.46,52.49,52.46,52.49,100
2018-01-25,GOVS.MI,52.49,52.49,52.49,52.49,0
2018-01-26,GOVS.MI,52.49,52.49,52.49,52.49,0
2018-01-29,GOVS.MI,52.49,52.49,52.49,52.49,0
2018-01-30,GOVS.MI,52.49,52.49,52.49,52.49,0
2018-01-31,GOVS.MI,52.46,52.46,52.44,52.44,734
2018-02-01,GOVS.MI,52.44,52.44,52.44,52.44,0
2018-02-02,GOVS.MI,52.44,52.44,52.44,52.44,0
2018-02-05,GOVS.MI,52.44,52.44,52.44,52.44,0
2018-02-06,GOVS.MI,52.44,52.44,52.44,52.44,0
2018-02-07,GOVS.MI,52.44,52.44,52.44,52.44,0
2018-02-08,GOVS.MI,52.46,52.46,52.43,52.43,218
2018-02-09,GOVS.MI,52.43,52.43,52.43,52.43,0
2018-02-12,GOVS.MI,52.43,52.43,52.43,52.43,0
2018-02-13,GOVS.MI,52.43,52.43,52.43,52.43,0
2018-02-14,GOVS.MI,52.43,52.43,52.43,52.43,0
2018-02-15,GOVS.MI,52.44,52.44,52.43,52.43,12
2018-02-16,GOVS.MI,52.43,52.43,52.43,52.43,0
2018-02-19,GOVS.MI,52.43,52.43,52.43,52.43,0
2018-02-20,GOVS.MI,52.45,52.46,52.44,52.44,385
2018-02-21,GOVS.MI,52.44,52.44,52.44,52.44,0
2018-02-22,GOVS.MI,52.44,52.44,52.44,52.44,0
2018-02-23,GOVS.MI,52.44,52.44,52.44,52.44,0
2018-02-26,GOVS.MI,52.44,52.44,52.44,52.44,0
2018-02-27,GOVS.MI,52.44,52.44,52.44,52.44,0
2018-02-28,GOVS.MI,52.44,52.44,52.44,52.44,0
2018-03-01,GOVS.MI,52.44,52.44,52.44,52.44,0
2018-03-02,GOVS.MI,52.48,52.48,52.44,52.44,16797
2018-03-05,GOVS.MI,52.43,52.44,52.43,52.44,234
2018-03-06,GOVS.MI,52.43,52.45,52.43,52.45,475
2018-03-07,GOVS.MI,52.48,52.48,52.45,52.45,23
2018-03-08,GOVS.MI,52.45,52.45,52.45,52.45,0
2018-03-09,GOVS.MI,52.45,52.45,52.45,52.45,0
