Date,Ticker,Open,High,Low,Close,Volume
2025-01-17,GRCTB.MI,9.005,9.039,9.005,9.039,80
2025-01-20,GRCTB.MI,9.039,9.039,9.039,9.039,0
2025-01-21,GRCTB.MI,9.039,9.039,9.039,9.039,0
2025-01-22,GRCTB.MI,9.039,9.039,9.039,9.039,0
2025-01-23,GRCTB.MI,9.039,9.039,9.039,9.039,0
2025-01-24,GRCTB.MI,9.039,9.039,9.039,9.039,0
2025-01-27,GRCTB.MI,9.039,9.039,9.039,9.039,0
2025-01-28,GRCTB.MI,9.039,9.039,9.039,9.039,0
2025-01-29,GRCTB.MI,9.039,9.039,9.039,9.039,0
2025-01-30,GRCTB.MI,9.039,9.039,9.039,9.039,0
2025-01-31,GRCTB.MI,9.039,9.039,9.039,9.039,0
2025-02-03,GRCTB.MI,9.039,9.039,9.039,9.039,0
2025-02-04,GRCTB.MI,9.039,9.039,9.039,9.039,0
2025-02-05,GRCTB.MI,9.039,9.039,9.039,9.039,0
2025-02-06,GRCTB.MI,9.199,9.2,9.1,9.184,68008
2025-02-07,GRCTB.MI,9.202,9.202,9.164,9.181,7481
2025-02-10,GRCTB.MI,9.187,9.234,9.184,9.212,19031
2025-02-11,GRCTB.MI,9.212,9.212,9.212,9.212,0
2025-02-12,GRCTB.MI,9.171,9.171,9.104,9.104,2100
2025-02-13,GRCTB.MI,9.104,9.104,9.104,9.104,0
2025-02-14,GRCTB.MI,9.104,9.104,9.104,9.104,0
2025-02-17,GRCTB.MI,9.104,9.104,9.104,9.104,0
2025-02-18,GRCTB.MI,9.104,9.104,9.104,9.104,0
2025-02-19,GRCTB.MI,9.104,9.104,9.104,9.104,0
2025-02-20,GRCTB.MI,9.104,9.104,9.104,9.104,0
2025-02-21,GRCTB.MI,9.104,9.104,9.104,9.104,0
2025-02-24,GRCTB.MI,9.104,9.104,9.104,9.104,0
2025-02-25,GRCTB.MI,9.104,9.104,9.104,9.104,0
2025-02-26,GRCTB.MI,9.104,9.104,9.104,9.104,0
2025-02-27,GRCTB.MI,9.104,9.104,9.104,9.104,0
2025-02-28,GRCTB.MI,9.104,9.104,9.104,9.104,0
