Date,Ticker,Open,High,Low,Close,Volume
2020-01-02,GREAL.MI,10.536,10.566,10.536,10.566,20
2020-01-03,GREAL.MI,10.566,10.566,10.566,10.566,0
2020-01-06,GREAL.MI,10.566,10.566,10.566,10.566,0
2020-01-07,GREAL.MI,10.566,10.566,10.566,10.566,0
2020-01-08,GREAL.MI,10.566,10.566,10.566,10.566,0
2020-01-09,GREAL.MI,10.588,10.588,10.578,10.578,1000
2020-01-10,GREAL.MI,10.578,10.578,10.578,10.578,0
2020-01-13,GREAL.MI,10.612,10.634,10.612,10.616,2070
2020-01-14,GREAL.MI,10.616,10.616,10.616,10.616,0
2020-01-15,GREAL.MI,10.62,10.626,10.62,10.626,65
2020-01-16,GREAL.MI,10.742,10.742,10.726,10.726,2000
2020-01-17,GREAL.MI,10.79,10.802,10.78,10.786,4862
2020-01-20,GREAL.MI,10.784,10.792,10.752,10.766,1530
2020-01-21,GREAL.MI,10.766,10.766,10.766,10.766,0
2020-01-22,GREAL.MI,10.814,10.814,10.788,10.788,500
2020-01-23,GREAL.MI,10.852,10.852,10.826,10.826,100
2020-01-24,GREAL.MI,10.916,10.94,10.9,10.94,2189
2020-01-27,GREAL.MI,10.8,10.8,10.764,10.764,300
2020-01-28,GREAL.MI,10.75,10.78,10.75,10.78,4650
2020-01-29,GREAL.MI,10.78,10.78,10.78,10.78,0
2020-01-30,GREAL.MI,10.864,10.864,10.848,10.848,300
2020-01-31,GREAL.MI,10.848,10.848,10.848,10.848,0
2020-02-03,GREAL.MI,10.86,10.896,10.854,10.854,909
2020-02-04,GREAL.MI,10.854,10.854,10.854,10.854,0
2020-02-05,GREAL.MI,10.928,10.95,10.9,10.95,336
2020-02-06,GREAL.MI,10.95,10.95,10.95,10.95,0
2020-02-07,GREAL.MI,10.96,10.974,10.96,10.974,2000
2020-02-10,GREAL.MI,10.974,10.974,10.974,10.974,0
2020-02-11,GREAL.MI,10.974,10.974,10.974,10.974,0
2020-02-12,GREAL.MI,11.154,11.16,11.11,11.11,1234
2020-02-13,GREAL.MI,11.162,11.184,11.162,11.184,50
2020-02-14,GREAL.MI,11.184,11.184,11.184,11.184,0
2020-02-17,GREAL.MI,11.184,11.184,11.184,11.184,0
2020-02-18,GREAL.MI,11.342,11.344,11.342,11.344,470
2020-02-19,GREAL.MI,11.454,11.454,11.452,11.452,100
2020-02-20,GREAL.MI,11.452,11.452,11.452,11.452,0
