Date,Ticker,Open,High,Low,Close,Volume
2025-06-17,GUARD.MI,10.262,10.392,10.262,10.392,200
2025-06-18,GUARD.MI,10.486,10.502,10.456,10.456,2380
2025-06-19,GUARD.MI,10.456,10.456,10.456,10.456,0
2025-06-20,GUARD.MI,10.456,10.456,10.456,10.456,0
2025-06-23,GUARD.MI,10.238,10.348,10.238,10.348,2050
2025-06-24,GUARD.MI,10.458,10.458,10.28,10.28,1147
2025-06-25,GUARD.MI,10.348,10.406,10.348,10.406,108
2025-06-26,GUARD.MI,10.446,10.724,10.446,10.724,493
2025-06-27,GUARD.MI,10.7,10.722,10.658,10.658,1580
2025-06-30,GUARD.MI,10.794,10.84,10.778,10.82,6541
2025-07-01,GUARD.MI,10.658,10.658,10.398,10.398,4942
2025-07-02,GUARD.MI,10.296,10.374,10.296,10.374,5
2025-07-03,GUARD.MI,10.426,10.46,10.33,10.46,7564
2025-07-04,GUARD.MI,10.446,10.532,10.446,10.528,1781
2025-07-07,GUARD.MI,10.642,10.696,10.634,10.696,4500
2025-07-08,GUARD.MI,10.794,10.808,10.732,10.78,4791
2025-07-09,GUARD.MI,10.79,10.79,10.74,10.778,2540
2025-07-10,GUARD.MI,10.778,10.778,10.778,10.778,0
2025-07-11,GUARD.MI,10.738,10.78,10.7,10.78,4709
2025-07-14,GUARD.MI,10.776,10.882,10.776,10.882,5120
2025-07-15,GUARD.MI,10.854,10.854,10.724,10.724,1500
2025-07-16,GUARD.MI,10.716,10.716,10.644,10.644,1718
2025-07-17,GUARD.MI,10.71,10.8,10.71,10.8,1385
2025-07-18,GUARD.MI,10.92,10.988,10.92,10.982,3600
2025-07-21,GUARD.MI,10.8,10.836,10.76,10.836,2600
2025-07-22,GUARD.MI,10.788,10.788,10.63,10.642,2404
2025-07-23,GUARD.MI,10.696,10.696,10.686,10.686,1000
2025-07-24,GUARD.MI,10.718,10.718,10.578,10.578,760
2025-07-25,GUARD.MI,10.528,10.528,10.5,10.5,667
2025-07-28,GUARD.MI,10.35,10.458,10.316,10.316,4931
2025-07-29,GUARD.MI,10.458,10.554,10.458,10.554,3033
2025-07-30,GUARD.MI,10.554,10.554,10.554,10.554,0
2025-07-31,GUARD.MI,10.69,10.79,10.652,10.652,8344
2025-08-01,GUARD.MI,10.452,10.452,10.444,10.448,369
2025-08-04,GUARD.MI,10.664,10.664,10.608,10.634,392
2025-08-05,GUARD.MI,10.634,10.634,10.634,10.634,0
2025-08-06,GUARD.MI,10.816,10.816,10.644,10.76,5085
2025-08-07,GUARD.MI,10.76,10.76,10.76,10.76,0
2025-08-08,GUARD.MI,10.4,10.4,10.386,10.386,1500
2025-08-11,GUARD.MI,10.256,10.278,10.256,10.272,515
2025-08-12,GUARD.MI,10.364,10.434,10.364,10.434,200
2025-08-13,GUARD.MI,10.434,10.434,10.434,10.434,0
2025-08-14,GUARD.MI,10.63,10.654,10.63,10.654,1500
2025-08-18,GUARD.MI,10.842,10.842,10.656,10.702,33
2025-08-19,GUARD.MI,10.64,10.64,10.31,10.31,100
2025-08-20,GUARD.MI,10.166,10.234,10.166,10.234,4398
2025-08-21,GUARD.MI,10.234,10.234,10.234,10.234,0
2025-08-22,GUARD.MI,10.234,10.234,10.234,10.234,0
2025-08-25,GUARD.MI,10.47,10.532,10.47,10.532,60
2025-08-26,GUARD.MI,10.464,10.526,10.464,10.526,6450
2025-08-27,GUARD.MI,10.478,10.494,10.474,10.494,4426
2025-08-28,GUARD.MI,10.512,10.55,10.512,10.55,37080
2025-08-29,GUARD.MI,10.652,10.676,10.574,10.574,320
2025-09-01,GUARD.MI,10.678,10.792,10.678,10.792,2792
2025-09-02,GUARD.MI,10.786,10.786,10.576,10.576,2840
2025-09-03,GUARD.MI,10.634,10.674,10.634,10.674,80
2025-09-04,GUARD.MI,10.674,10.674,10.674,10.674,0
2025-09-05,GUARD.MI,10.604,10.604,10.5,10.524,208
2025-09-08,GUARD.MI,10.686,10.692,10.6,10.682,175
2025-09-09,GUARD.MI,10.552,10.628,10.526,10.628,2578
2025-09-10,GUARD.MI,10.752,10.842,10.752,10.82,2843
2025-09-11,GUARD.MI,10.808,11.06,10.808,11.06,6340
2025-09-12,GUARD.MI,11.128,11.176,11.102,11.15,2554
2025-09-15,GUARD.MI,11.27,11.368,11.27,11.368,2473
2025-09-16,GUARD.MI,11.446,11.446,11.184,11.184,1257
2025-09-17,GUARD.MI,11.296,11.296,11.062,11.062,6941
2025-09-18,GUARD.MI,11.2,11.2,11.1,11.1,491
2025-09-19,GUARD.MI,11.1,11.204,11.1,11.168,350
2025-09-22,GUARD.MI,11.268,11.36,11.268,11.36,4714
2025-09-23,GUARD.MI,11.362,11.362,11.276,11.276,2099
2025-09-24,GUARD.MI,11.428,11.49,11.414,11.476,781
2025-09-25,GUARD.MI,11.398,11.48,11.396,11.48,373
2025-09-26,GUARD.MI,11.54,11.582,11.54,11.574,904
2025-09-29,GUARD.MI,11.632,11.728,11.588,11.714,3534
2025-09-30,GUARD.MI,11.72,11.762,11.67,11.736,3587
2025-10-01,GUARD.MI,11.698,11.71,11.624,11.71,1817
2025-10-02,GUARD.MI,11.826,11.916,11.826,11.886,2807
2025-10-03,GUARD.MI,11.926,12.01,11.914,11.914,7156
2025-10-06,GUARD.MI,11.878,11.884,11.716,11.716,808
2025-10-07,GUARD.MI,11.568,11.698,11.568,11.634,1240
2025-10-08,GUARD.MI,11.772,11.846,11.764,11.84,2462
2025-10-09,GUARD.MI,11.736,11.776,11.736,11.748,2960
2025-10-10,GUARD.MI,11.71,11.71,11.454,11.454,1895
2025-10-13,GUARD.MI,11.492,11.492,11.406,11.432,1700
2025-10-14,GUARD.MI,11.334,11.334,11.122,11.334,475
2025-10-15,GUARD.MI,11.268,11.268,11.098,11.098,1323
2025-10-16,GUARD.MI,11.028,11.22,11.028,11.202,250
2025-10-17,GUARD.MI,10.86,10.95,10.784,10.784,11903
2025-10-20,GUARD.MI,10.988,11.15,10.952,11.132,31466
2025-10-21,GUARD.MI,11.15,11.256,11.144,11.256,1035
2025-10-22,GUARD.MI,11.43,11.43,11.224,11.224,280
2025-10-23,GUARD.MI,11.384,11.384,11.266,11.266,3796
2025-10-27,GUARD.MI,11.33,11.33,11.206,11.262,1618
2025-10-28,GUARD.MI,11.164,11.342,11.164,11.304,1054
2025-10-29,GUARD.MI,11.238,11.238,11.232,11.234,40
2025-10-30,GUARD.MI,11.196,11.2,11.16,11.16,2429
