Date,Ticker,Open,High,Low,Close,Volume
2022-01-25,HAGG.MI,9.597,9.597,9.584,9.584,970
2022-01-26,HAGG.MI,9.584,9.584,9.584,9.584,0
2022-01-27,HAGG.MI,9.584,9.584,9.584,9.584,0
2022-01-28,HAGG.MI,9.584,9.584,9.584,9.584,0
2022-01-31,HAGG.MI,9.584,9.584,9.584,9.584,0
2022-02-01,HAGG.MI,9.584,9.584,9.584,9.584,0
2022-02-02,HAGG.MI,9.584,9.584,9.584,9.584,0
2022-02-03,HAGG.MI,9.584,9.584,9.584,9.584,0
2022-02-04,HAGG.MI,9.584,9.584,9.584,9.584,0
2022-02-07,HAGG.MI,9.4,9.4,9.397,9.397,800
2022-02-08,HAGG.MI,9.397,9.397,9.397,9.397,0
2022-02-09,HAGG.MI,9.397,9.397,9.397,9.397,0
2022-02-10,HAGG.MI,9.397,9.397,9.397,9.397,0
2022-02-11,HAGG.MI,9.399,9.411,9.399,9.411,800
2022-02-14,HAGG.MI,9.411,9.411,9.411,9.411,0
2022-02-15,HAGG.MI,9.444,9.444,9.43,9.43,11033
2022-02-16,HAGG.MI,9.43,9.43,9.43,9.43,0
2022-02-17,HAGG.MI,9.43,9.43,9.43,9.43,0
2022-02-18,HAGG.MI,9.43,9.43,9.43,9.43,0
2022-02-21,HAGG.MI,9.43,9.43,9.43,9.43,0
2022-02-22,HAGG.MI,9.43,9.43,9.43,9.43,0
2022-02-23,HAGG.MI,9.43,9.43,9.43,9.43,0
2022-02-24,HAGG.MI,9.43,9.43,9.43,9.43,0
2022-02-25,HAGG.MI,9.51,9.51,9.483,9.483,2400
2022-02-28,HAGG.MI,9.528,9.528,9.512,9.512,800
2022-03-01,HAGG.MI,9.512,9.512,9.512,9.512,0
2022-03-02,HAGG.MI,9.512,9.512,9.512,9.512,0
2022-03-03,HAGG.MI,9.628,9.635,9.627,9.635,1600
2022-03-04,HAGG.MI,9.67,9.745,9.67,9.745,7100
2022-03-07,HAGG.MI,9.745,9.745,9.745,9.745,0
2022-03-08,HAGG.MI,9.685,9.699,9.684,9.684,2400
2022-03-09,HAGG.MI,9.655,9.655,9.565,9.565,4800
2022-03-10,HAGG.MI,9.608,9.608,9.594,9.607,3200
2022-03-11,HAGG.MI,9.607,9.607,9.607,9.607,0
2022-03-14,HAGG.MI,9.607,9.607,9.607,9.607,0
2022-03-15,HAGG.MI,9.607,9.607,9.607,9.607,0
2022-03-16,HAGG.MI,9.568,9.576,9.568,9.576,800
2022-03-17,HAGG.MI,9.576,9.576,9.576,9.576,0
2022-03-18,HAGG.MI,9.584,9.584,9.533,9.533,800
2022-03-21,HAGG.MI,9.533,9.533,9.533,9.533,0
