Date,Ticker,Open,High,Low,Close,Volume
2024-06-17,HGAE.MI,10.04,10.044,10.018,10.018,157070
2024-06-18,HGAE.MI,10.016,10.04,10.016,10.03,147246
2024-06-19,HGAE.MI,10.118,10.118,10.094,10.112,43744
2024-06-20,HGAE.MI,10.112,10.112,10.112,10.112,0
2024-06-21,HGAE.MI,10.112,10.112,10.112,10.112,0
2024-06-24,HGAE.MI,10.112,10.112,10.112,10.112,0
2024-06-25,HGAE.MI,10.112,10.112,10.112,10.112,0
2024-06-26,HGAE.MI,10.108,10.108,10.082,10.082,32088
2024-06-27,HGAE.MI,10.094,10.094,10.082,10.082,10395
2024-06-28,HGAE.MI,10.082,10.082,10.082,10.082,0
2024-07-01,HGAE.MI,10.082,10.082,10.082,10.082,0
2024-07-02,HGAE.MI,10.014,10.022,10.014,10.022,930
2024-07-03,HGAE.MI,10.052,10.056,10.052,10.056,10475
2024-07-04,HGAE.MI,10.056,10.056,10.056,10.056,0
2024-07-05,HGAE.MI,10.076,10.082,10.076,10.082,5241
2024-07-08,HGAE.MI,10.082,10.082,10.082,10.082,0
2024-07-09,HGAE.MI,10.082,10.082,10.082,10.082,0
2024-07-10,HGAE.MI,10.082,10.082,10.082,10.082,0
2024-07-11,HGAE.MI,10.114,10.122,10.114,10.114,52025
2024-07-12,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-07-15,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-07-16,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-07-17,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-07-18,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-07-19,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-07-22,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-07-23,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-07-24,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-07-25,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-07-26,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-07-29,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-07-30,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-07-31,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-08-01,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-08-02,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-08-05,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-08-06,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-08-07,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-08-08,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-08-09,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-08-12,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-08-13,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-08-14,HGAE.MI,10.114,10.114,10.114,10.114,0
2024-08-16,HGAE.MI,10.286,10.286,10.282,10.282,930
2024-08-19,HGAE.MI,10.286,10.29,10.286,10.29,930
2024-08-20,HGAE.MI,10.304,10.304,10.288,10.288,10215
2024-08-21,HGAE.MI,10.338,10.338,10.322,10.322,930
2024-08-22,HGAE.MI,10.322,10.322,10.322,10.322,0
2024-08-23,HGAE.MI,10.332,10.336,10.316,10.316,50750
2024-08-26,HGAE.MI,10.316,10.316,10.316,10.316,0
2024-08-27,HGAE.MI,10.316,10.316,10.316,10.316,0
2024-08-28,HGAE.MI,10.292,10.328,10.292,10.328,10155
2024-08-29,HGAE.MI,10.328,10.328,10.328,10.328,0
2024-08-30,HGAE.MI,10.328,10.328,10.328,10.328,0
2024-09-02,HGAE.MI,10.328,10.328,10.328,10.328,0
2024-09-03,HGAE.MI,10.328,10.328,10.328,10.328,0
2024-09-04,HGAE.MI,10.332,10.342,10.332,10.342,930
2024-09-05,HGAE.MI,10.342,10.342,10.342,10.342,0
2024-09-06,HGAE.MI,10.342,10.342,10.342,10.342,0
2024-09-09,HGAE.MI,10.37,10.382,10.37,10.382,10130
2024-09-10,HGAE.MI,10.382,10.382,10.382,10.382,0
2024-09-11,HGAE.MI,10.382,10.382,10.382,10.382,0
2024-09-12,HGAE.MI,10.382,10.382,10.382,10.382,0
2024-09-13,HGAE.MI,10.382,10.382,10.382,10.382,0
2024-09-16,HGAE.MI,10.382,10.382,10.382,10.382,0
2024-09-17,HGAE.MI,10.382,10.382,10.382,10.382,0
2024-09-18,HGAE.MI,10.382,10.382,10.382,10.382,0
2024-09-19,HGAE.MI,10.382,10.382,10.382,10.382,0
2024-09-20,HGAE.MI,10.414,10.414,10.404,10.408,32471
2024-09-23,HGAE.MI,10.408,10.41,10.408,10.41,2157
2024-09-24,HGAE.MI,10.408,10.418,10.398,10.418,40428
2024-09-25,HGAE.MI,10.42,10.42,10.404,10.406,101070
2024-09-26,HGAE.MI,10.406,10.406,10.406,10.406,0
2024-09-27,HGAE.MI,10.406,10.406,10.406,10.406,0
2024-09-30,HGAE.MI,10.406,10.406,10.406,10.406,0
2024-10-01,HGAE.MI,10.406,10.406,10.406,10.406,0
2024-10-02,HGAE.MI,10.428,10.428,10.406,10.406,30258
2024-10-03,HGAE.MI,10.406,10.406,10.406,10.406,0
2024-10-04,HGAE.MI,10.364,10.364,10.348,10.36,31641
2024-10-07,HGAE.MI,10.36,10.36,10.36,10.36,0
2024-10-08,HGAE.MI,10.312,10.318,10.306,10.306,23180
2024-10-09,HGAE.MI,10.306,10.306,10.306,10.306,0
2024-10-10,HGAE.MI,10.306,10.306,10.306,10.306,0
2024-10-11,HGAE.MI,10.306,10.306,10.306,10.306,0
2024-10-14,HGAE.MI,10.306,10.306,10.306,10.306,0
2024-10-15,HGAE.MI,10.306,10.306,10.306,10.306,0
2024-10-16,HGAE.MI,10.324,10.328,10.324,10.326,11124
2024-10-17,HGAE.MI,10.326,10.326,10.326,10.326,0
2024-10-18,HGAE.MI,10.324,10.324,10.314,10.324,2672
2024-10-21,HGAE.MI,10.324,10.324,10.324,10.324,0
2024-10-22,HGAE.MI,10.274,10.274,10.262,10.262,10220
2024-10-23,HGAE.MI,10.262,10.262,10.262,10.262,0
