Date,Ticker,Open,High,Low,Close,Volume
2019-01-18,HPRD.MI,20.31,20.31,20.31,20.31,100
2019-01-21,HPRD.MI,20.31,20.31,20.31,20.31,0
2019-01-22,HPRD.MI,20.31,20.31,20.31,20.31,0
2019-01-23,HPRD.MI,20.31,20.31,20.31,20.31,0
2019-01-24,HPRD.MI,20.31,20.31,20.31,20.31,0
2019-01-25,HPRD.MI,20.31,20.31,20.31,20.31,0
2019-01-28,HPRD.MI,20.505,20.56,20.505,20.56,5
2019-01-29,HPRD.MI,20.56,20.56,20.56,20.56,0
2019-01-30,HPRD.MI,20.56,20.56,20.56,20.56,0
2019-01-31,HPRD.MI,20.785,20.855,20.785,20.855,57
2019-02-01,HPRD.MI,20.855,20.855,20.855,20.855,0
2019-02-04,HPRD.MI,20.855,20.855,20.855,20.855,0
2019-02-05,HPRD.MI,20.855,20.855,20.855,20.855,0
2019-02-06,HPRD.MI,20.855,20.855,20.855,20.855,0
2019-02-07,HPRD.MI,20.855,20.855,20.855,20.855,0
2019-02-08,HPRD.MI,20.855,20.855,20.855,20.855,0
2019-02-11,HPRD.MI,20.855,20.855,20.855,20.855,0
2019-02-12,HPRD.MI,20.855,20.855,20.855,20.855,0
2019-02-13,HPRD.MI,20.855,20.855,20.855,20.855,0
2019-02-14,HPRD.MI,20.855,20.855,20.855,20.855,0
2019-02-15,HPRD.MI,21.4,21.4,21.255,21.255,750
2019-02-18,HPRD.MI,21.255,21.255,21.255,21.255,0
2019-02-19,HPRD.MI,21.255,21.255,21.255,21.255,0
2019-02-20,HPRD.MI,21.255,21.255,21.255,21.255,0
2019-02-21,HPRD.MI,21.255,21.255,21.255,21.255,0
2019-02-22,HPRD.MI,21.255,21.255,21.255,21.255,0
2019-02-25,HPRD.MI,21.255,21.255,21.255,21.255,0
2019-02-26,HPRD.MI,21.255,21.255,21.255,21.255,0
2019-02-27,HPRD.MI,21.255,21.255,21.255,21.255,0
2019-02-28,HPRD.MI,21.255,21.255,21.255,21.255,0
2019-03-01,HPRD.MI,21.255,21.255,21.255,21.255,0
2019-03-04,HPRD.MI,20.975,20.975,20.975,20.975,2625
2019-03-05,HPRD.MI,20.975,20.975,20.975,20.975,0
2019-03-06,HPRD.MI,20.975,20.975,20.975,20.975,0
2019-03-07,HPRD.MI,20.975,20.975,20.975,20.975,0
2019-03-08,HPRD.MI,20.975,20.975,20.975,20.975,0
2019-03-11,HPRD.MI,20.975,20.975,20.975,20.975,0
2019-03-12,HPRD.MI,20.975,20.975,20.975,20.975,0
2019-03-13,HPRD.MI,20.975,20.975,20.975,20.975,0
2019-03-14,HPRD.MI,20.975,20.975,20.975,20.975,0
2019-03-15,HPRD.MI,20.975,20.975,20.975,20.975,0
2019-03-18,HPRD.MI,20.975,20.975,20.975,20.975,0
2019-03-19,HPRD.MI,20.975,20.975,20.975,20.975,0
2019-03-20,HPRD.MI,20.975,20.975,20.975,20.975,0
2019-03-21,HPRD.MI,21.47,21.7,21.47,21.7,300
2019-03-22,HPRD.MI,21.7,21.7,21.7,21.7,0
2019-03-25,HPRD.MI,21.7,21.7,21.7,21.7,0
2019-03-26,HPRD.MI,21.7,21.7,21.7,21.7,0
2019-03-27,HPRD.MI,21.7,21.7,21.7,21.7,0
2019-03-28,HPRD.MI,21.7,21.7,21.7,21.7,0
2019-03-29,HPRD.MI,21.7,21.7,21.7,21.7,0
2019-04-01,HPRD.MI,21.7,21.7,21.7,21.7,0
2019-04-02,HPRD.MI,21.7,21.7,21.7,21.7,0
2019-04-03,HPRD.MI,21.7,21.7,21.7,21.7,0
2019-04-04,HPRD.MI,21.7,21.7,21.7,21.7,0
2019-04-05,HPRD.MI,21.7,21.7,21.7,21.7,0
2019-04-08,HPRD.MI,21.7,21.7,21.7,21.7,0
2019-04-09,HPRD.MI,21.83,21.83,21.83,21.83,2507
2019-04-10,HPRD.MI,21.83,21.83,21.83,21.83,0
2019-04-11,HPRD.MI,21.83,21.83,21.83,21.83,0
2019-04-12,HPRD.MI,21.83,21.83,21.83,21.83,0
2019-04-15,HPRD.MI,21.83,21.83,21.83,21.83,0
2019-04-16,HPRD.MI,21.72,21.74,21.535,21.535,9200
2019-04-17,HPRD.MI,21.35,21.35,21.195,21.195,600
2019-04-18,HPRD.MI,21.195,21.195,21.195,21.195,0
2019-04-23,HPRD.MI,21.375,21.435,21.375,21.435,150
2019-04-24,HPRD.MI,21.435,21.435,21.435,21.435,0
2019-04-25,HPRD.MI,21.435,21.435,21.435,21.435,0
2019-04-26,HPRD.MI,21.435,21.435,21.435,21.435,0
2019-04-29,HPRD.MI,21.435,21.435,21.435,21.435,0
2019-04-30,HPRD.MI,21.435,21.435,21.435,21.435,0
2019-05-02,HPRD.MI,21.435,21.435,21.435,21.435,0
2019-05-03,HPRD.MI,21.435,21.435,21.435,21.435,0
2019-05-06,HPRD.MI,21.435,21.435,21.435,21.435,0
2019-05-07,HPRD.MI,21.435,21.435,21.435,21.435,0
2019-05-08,HPRD.MI,21.435,21.435,21.435,21.435,0
2019-05-09,HPRD.MI,21.435,21.435,21.435,21.435,0
2019-05-10,HPRD.MI,21.435,21.435,21.435,21.435,0
2019-05-13,HPRD.MI,21.435,21.435,21.435,21.435,0
2019-05-14,HPRD.MI,21.685,21.72,21.68,21.72,2686
2019-05-15,HPRD.MI,21.72,21.72,21.72,21.72,0
2019-05-16,HPRD.MI,21.72,21.72,21.72,21.72,0
2019-05-17,HPRD.MI,21.72,21.72,21.72,21.72,0
2019-05-20,HPRD.MI,21.72,21.72,21.72,21.72,0
2019-05-21,HPRD.MI,21.99,22.01,21.99,22.01,2
2019-05-22,HPRD.MI,22.01,22.01,22.01,22.01,0
2019-05-23,HPRD.MI,22.01,22.01,22.01,22.01,0
2019-05-24,HPRD.MI,22.01,22.01,22.01,22.01,0
2019-05-27,HPRD.MI,22.01,22.01,22.01,22.01,0
2019-05-28,HPRD.MI,22.02,22.02,21.97,21.97,2
2019-05-29,HPRD.MI,21.97,21.97,21.97,21.97,0
2019-05-30,HPRD.MI,21.97,21.97,21.97,21.97,0
2019-05-31,HPRD.MI,21.97,21.97,21.97,21.97,0
2019-06-03,HPRD.MI,21.97,21.97,21.97,21.97,0
2019-06-04,HPRD.MI,21.97,21.97,21.97,21.97,0
2019-06-05,HPRD.MI,21.97,21.97,21.97,21.97,0
