Date,Ticker,Open,High,Low,Close,Volume
2020-11-03,HSEM.MI,11.662,11.662,11.626,11.626,660
2020-11-04,HSEM.MI,11.626,11.626,11.626,11.626,0
2020-11-05,HSEM.MI,11.626,11.626,11.626,11.626,0
2020-11-06,HSEM.MI,11.626,11.626,11.626,11.626,0
2020-11-09,HSEM.MI,11.626,11.626,11.626,11.626,0
2020-11-10,HSEM.MI,11.626,11.626,11.626,11.626,0
2020-11-11,HSEM.MI,11.626,11.626,11.626,11.626,0
2020-11-12,HSEM.MI,12.2,12.216,12.2,12.216,100
2020-11-13,HSEM.MI,12.216,12.216,12.216,12.216,0
2020-11-16,HSEM.MI,12.216,12.216,12.216,12.216,0
2020-11-17,HSEM.MI,12.216,12.216,12.216,12.216,0
2020-11-18,HSEM.MI,12.216,12.216,12.216,12.216,0
2020-11-19,HSEM.MI,12.216,12.216,12.216,12.216,0
2020-11-20,HSEM.MI,12.216,12.216,12.216,12.216,0
2020-11-23,HSEM.MI,12.43,12.43,12.358,12.358,240
2020-11-24,HSEM.MI,12.408,12.408,12.388,12.406,1038
2020-11-25,HSEM.MI,12.272,12.322,12.272,12.322,21
2020-11-26,HSEM.MI,12.342,12.4,12.342,12.386,650
2020-11-27,HSEM.MI,12.404,12.404,12.404,12.404,188
2020-11-30,HSEM.MI,12.148,12.162,12.11,12.11,263
2020-12-01,HSEM.MI,12.266,12.27,12.242,12.262,2640
2020-12-02,HSEM.MI,12.254,12.264,12.232,12.24,7287
2020-12-03,HSEM.MI,12.248,12.29,12.248,12.29,34
2020-12-04,HSEM.MI,12.338,12.35,12.338,12.35,381
2020-12-07,HSEM.MI,12.29,12.39,12.29,12.39,7
2020-12-08,HSEM.MI,12.39,12.39,12.39,12.39,0
2020-12-09,HSEM.MI,12.438,12.438,12.386,12.386,134
2020-12-10,HSEM.MI,12.386,12.386,12.386,12.386,0
2020-12-11,HSEM.MI,12.352,12.384,12.352,12.384,169
2020-12-14,HSEM.MI,12.384,12.384,12.384,12.384,0
2020-12-15,HSEM.MI,12.26,12.336,12.26,12.302,3091
2020-12-16,HSEM.MI,12.374,12.374,12.374,12.374,251
2020-12-17,HSEM.MI,12.43,12.43,12.402,12.402,119
2020-12-18,HSEM.MI,12.376,12.38,12.376,12.38,123
2020-12-21,HSEM.MI,12.242,12.242,12.198,12.198,538
2020-12-22,HSEM.MI,12.198,12.224,12.198,12.21,157
2020-12-23,HSEM.MI,12.278,12.294,12.278,12.288,431
2020-12-28,HSEM.MI,12.246,12.254,12.208,12.254,194
2020-12-29,HSEM.MI,12.254,12.254,12.254,12.254,0
2020-12-30,HSEM.MI,12.486,12.5,12.486,12.5,214
2021-01-04,HSEM.MI,12.672,12.672,12.582,12.582,16
2021-01-05,HSEM.MI,12.64,12.672,12.64,12.672,212
2021-01-06,HSEM.MI,12.698,12.738,12.698,12.738,660
2021-01-07,HSEM.MI,12.758,12.758,12.742,12.742,11
2021-01-08,HSEM.MI,12.938,13.034,12.938,13.034,8
2021-01-11,HSEM.MI,13.034,13.034,13.034,13.034,0
2021-01-12,HSEM.MI,13.2,13.224,13.156,13.224,736
2021-01-13,HSEM.MI,13.24,13.24,13.234,13.234,1560
2021-01-14,HSEM.MI,13.398,13.478,13.398,13.478,1029
2021-01-15,HSEM.MI,13.44,13.44,13.416,13.416,106
2021-01-18,HSEM.MI,13.484,13.546,13.476,13.546,7292
2021-01-19,HSEM.MI,13.546,13.546,13.546,13.546,0
2021-01-20,HSEM.MI,13.85,13.85,13.842,13.842,660
2021-01-21,HSEM.MI,13.918,13.918,13.862,13.862,100
2021-01-22,HSEM.MI,13.648,13.686,13.648,13.652,877
2021-01-25,HSEM.MI,13.814,13.814,13.74,13.74,668
2021-01-26,HSEM.MI,13.634,13.668,13.634,13.642,854
2021-01-27,HSEM.MI,13.512,13.512,13.474,13.474,154
2021-01-28,HSEM.MI,13.146,13.402,13.146,13.402,88
2021-01-29,HSEM.MI,13.402,13.402,13.402,13.402,0
2021-02-01,HSEM.MI,13.474,13.474,13.464,13.464,113
2021-02-02,HSEM.MI,13.8,13.812,13.8,13.812,1085
2021-02-03,HSEM.MI,13.812,13.812,13.812,13.812,0
2021-02-04,HSEM.MI,13.894,13.894,13.884,13.884,34
2021-02-05,HSEM.MI,13.884,13.884,13.884,13.884,0
2021-02-08,HSEM.MI,13.948,14.036,13.948,14.004,685
2021-02-09,HSEM.MI,13.968,14.036,13.968,14.036,134
2021-02-10,HSEM.MI,14.036,14.036,14.036,14.036,0
2021-02-11,HSEM.MI,14.036,14.036,14.036,14.036,0
2021-02-12,HSEM.MI,14.212,14.312,14.212,14.312,2086
2021-02-15,HSEM.MI,14.412,14.462,14.394,14.442,3858
2021-02-16,HSEM.MI,14.352,14.394,14.26,14.328,1416
2021-02-17,HSEM.MI,14.454,14.454,14.388,14.39,1601
2021-02-18,HSEM.MI,14.278,14.278,14.158,14.158,351
2021-02-19,HSEM.MI,14.156,14.256,14.156,14.256,688
2021-02-22,HSEM.MI,13.892,13.892,13.86,13.87,133
2021-02-23,HSEM.MI,13.776,13.776,13.766,13.766,289
2021-02-24,HSEM.MI,13.628,13.732,13.628,13.712,1131
2021-02-25,HSEM.MI,13.714,13.714,13.628,13.628,280
2021-02-26,HSEM.MI,13.342,13.342,13.318,13.332,432
2021-03-01,HSEM.MI,13.566,13.718,13.566,13.718,50
2021-03-02,HSEM.MI,13.626,13.626,13.568,13.568,150
