Date,Ticker,Open,High,Low,Close,Volume
2021-01-08,HSTE.MI,9.81,9.899,9.775,9.877,7148
2021-01-11,HSTE.MI,9.904,10.002,9.887,9.887,13970
2021-01-12,HSTE.MI,10.014,10.056,10.0,10.006,9480
2021-01-13,HSTE.MI,9.9,9.929,9.9,9.913,9511
2021-01-14,HSTE.MI,10.256,10.256,10.206,10.228,1750
2021-01-15,HSTE.MI,10.122,10.122,10.016,10.046,6591
2021-01-18,HSTE.MI,10.26,10.568,10.26,10.564,23396
2021-01-19,HSTE.MI,10.826,10.848,10.8,10.806,28600
2021-01-20,HSTE.MI,11.366,11.532,11.312,11.314,54611
2021-01-21,HSTE.MI,11.318,11.342,11.206,11.24,40066
2021-01-22,HSTE.MI,11.302,11.302,11.09,11.192,77917
2021-01-25,HSTE.MI,11.71,11.71,11.522,11.548,129722
2021-01-26,HSTE.MI,11.486,11.53,11.47,11.508,71691
2021-01-27,HSTE.MI,11.284,11.318,11.132,11.198,100783
2021-01-28,HSTE.MI,10.788,10.892,10.666,10.866,81887
2021-01-29,HSTE.MI,10.788,10.866,10.7,10.804,400302
2021-02-01,HSTE.MI,11.218,11.314,11.114,11.228,172086
2021-02-02,HSTE.MI,11.548,11.58,11.46,11.512,225636
2021-02-03,HSTE.MI,11.66,11.76,11.66,11.69,121581
2021-02-04,HSTE.MI,11.512,11.56,11.4,11.426,104764
2021-02-05,HSTE.MI,11.384,11.434,11.304,11.352,58406
2021-02-08,HSTE.MI,11.28,11.294,11.222,11.274,98593
2021-02-09,HSTE.MI,11.424,11.554,11.42,11.528,64073
2021-02-10,HSTE.MI,11.718,11.748,11.564,11.614,102420
2021-02-11,HSTE.MI,11.854,12.032,11.854,12.012,64060
2021-02-12,HSTE.MI,12.0,12.022,11.932,11.994,70225
2021-02-15,HSTE.MI,12.072,12.13,12.02,12.108,73176
2021-02-16,HSTE.MI,12.19,12.278,12.186,12.23,226904
2021-02-17,HSTE.MI,12.52,12.602,12.474,12.498,122592
2021-02-18,HSTE.MI,12.188,12.198,11.986,12.034,119845
2021-02-19,HSTE.MI,12.078,12.176,12.006,12.138,52350
2021-02-22,HSTE.MI,11.498,11.512,11.35,11.366,475835
2021-02-23,HSTE.MI,11.232,11.316,10.996,11.116,260246
2021-02-24,HSTE.MI,10.778,10.782,10.58,10.668,375944
2021-02-25,HSTE.MI,10.8,10.822,10.614,10.656,467572
2021-02-26,HSTE.MI,10.25,10.426,10.114,10.36,862887
2021-03-01,HSTE.MI,10.66,10.776,10.648,10.766,61900
2021-03-02,HSTE.MI,10.724,10.748,10.63,10.634,91023
2021-03-03,HSTE.MI,10.72,10.762,10.516,10.584,195179
2021-03-04,HSTE.MI,10.198,10.198,10.022,10.146,100145
2021-03-05,HSTE.MI,10.042,10.088,9.774,9.821,44973
