Date,Ticker,Open,High,Low,Close,Volume
2022-09-12,HYDE.MI,4.972,4.972,4.972,4.972,0
2022-09-13,HYDE.MI,4.874,4.874,4.874,4.874,0
2022-09-14,HYDE.MI,4.822,4.822,4.822,4.822,0
2022-09-15,HYDE.MI,4.786,4.786,4.786,4.786,0
2022-09-16,HYDE.MI,4.679,4.679,4.679,4.679,0
2022-09-19,HYDE.MI,4.628,4.628,4.628,4.628,0
2022-09-20,HYDE.MI,4.6,4.608,4.587,4.587,34800
2022-09-21,HYDE.MI,4.587,4.642,4.587,4.642,1100
2022-09-22,HYDE.MI,4.575,4.575,4.497,4.497,1000
2022-09-23,HYDE.MI,4.311,4.321,4.308,4.308,44520
2022-09-26,HYDE.MI,4.253,4.328,4.253,4.268,3510
2022-09-27,HYDE.MI,4.304,4.304,4.304,4.304,0
2022-09-28,HYDE.MI,4.299,4.299,4.299,4.299,0
2022-09-29,HYDE.MI,4.099,4.099,4.099,4.099,0
2022-09-30,HYDE.MI,4.13,4.13,4.13,4.13,0
2022-10-03,HYDE.MI,4.146,4.146,4.146,4.146,0
2022-10-04,HYDE.MI,4.322,4.322,4.322,4.322,0
2022-10-05,HYDE.MI,4.202,4.202,4.202,4.202,0
2022-10-06,HYDE.MI,4.194,4.194,4.181,4.181,400
2022-10-07,HYDE.MI,4.109,4.109,4.109,4.109,0
2022-10-10,HYDE.MI,4.06,4.06,4.033,4.033,24
2022-10-11,HYDE.MI,3.964,3.964,3.964,3.964,0
2022-10-12,HYDE.MI,3.912,3.912,3.912,3.912,0
2022-10-13,HYDE.MI,3.837,3.924,3.823,3.924,5200
2022-10-14,HYDE.MI,4.021,4.024,3.932,3.932,6400
2022-10-17,HYDE.MI,3.967,4.073,3.967,4.073,27273
2022-10-18,HYDE.MI,4.155,4.155,4.113,4.113,1230
2022-10-19,HYDE.MI,4.142,4.142,4.086,4.086,1210
2022-10-20,HYDE.MI,4.047,4.104,4.047,4.104,1230
2022-10-21,HYDE.MI,4.067,4.067,4.067,4.067,0
2022-10-24,HYDE.MI,4.055,4.055,4.055,4.055,0
2022-10-25,HYDE.MI,4.106,4.106,4.106,4.106,0
2022-10-26,HYDE.MI,4.097,4.203,4.097,4.203,5060
2022-10-27,HYDE.MI,4.201,4.201,4.201,4.201,0
2022-10-28,HYDE.MI,4.172,4.173,4.172,4.172,2400
2022-10-31,HYDE.MI,4.209,4.209,4.209,4.209,0
2022-11-01,HYDE.MI,4.267,4.267,4.267,4.267,0
2022-11-02,HYDE.MI,4.219,4.219,4.213,4.213,1170
2022-11-03,HYDE.MI,4.192,4.207,4.167,4.207,3630
2022-11-04,HYDE.MI,4.28,4.285,4.259,4.259,1413
2022-11-07,HYDE.MI,4.318,4.318,4.318,4.318,0
2022-11-08,HYDE.MI,4.317,4.361,4.317,4.361,3480
2022-11-09,HYDE.MI,4.295,4.295,4.293,4.293,1150
2022-11-10,HYDE.MI,4.354,4.462,4.354,4.451,2369
2022-11-11,HYDE.MI,4.498,4.498,4.46,4.49,8147
2022-11-14,HYDE.MI,4.497,4.511,4.477,4.477,4485
2022-11-15,HYDE.MI,4.515,4.55,4.515,4.55,3360
2022-11-16,HYDE.MI,4.501,4.501,4.416,4.416,540
2022-11-17,HYDE.MI,4.351,4.351,4.351,4.351,0
2022-11-18,HYDE.MI,4.382,4.382,4.382,4.382,0
2022-11-21,HYDE.MI,4.32,4.32,4.32,4.32,0
2022-11-22,HYDE.MI,4.339,4.344,4.339,4.344,22
2022-11-23,HYDE.MI,4.378,4.398,4.378,4.398,1150
2022-11-24,HYDE.MI,4.47,4.47,4.47,4.47,0
2022-11-25,HYDE.MI,4.436,4.436,4.436,4.436,0
2022-11-28,HYDE.MI,4.37,4.37,4.346,4.346,10
2022-11-29,HYDE.MI,4.326,4.326,4.326,4.326,0
2022-11-30,HYDE.MI,4.379,4.379,4.379,4.379,0
2022-12-01,HYDE.MI,4.482,4.482,4.422,4.424,4520
2022-12-02,HYDE.MI,4.407,4.417,4.349,4.395,4072
2022-12-05,HYDE.MI,4.398,4.398,4.371,4.371,1110
2022-12-06,HYDE.MI,4.307,4.318,4.265,4.265,3450
2022-12-07,HYDE.MI,4.201,4.201,4.201,4.201,0
2022-12-08,HYDE.MI,4.198,4.199,4.198,4.199,1190
2022-12-09,HYDE.MI,4.226,4.237,4.215,4.237,3570
2022-12-12,HYDE.MI,4.235,4.235,4.235,4.235,0
2022-12-13,HYDE.MI,4.315,4.315,4.284,4.284,1180
2022-12-14,HYDE.MI,4.263,4.289,4.263,4.289,1160
2022-12-15,HYDE.MI,4.206,4.206,4.151,4.151,1170
2022-12-16,HYDE.MI,4.091,4.091,4.091,4.091,0
2022-12-19,HYDE.MI,4.071,4.071,4.071,4.071,0
2022-12-20,HYDE.MI,3.999,3.999,3.999,3.999,0
2022-12-21,HYDE.MI,4.048,4.048,4.048,4.048,0
2022-12-22,HYDE.MI,3.961,3.961,3.961,3.961,0
2022-12-23,HYDE.MI,3.97,3.97,3.955,3.955,1000
2022-12-27,HYDE.MI,3.951,3.951,3.951,3.951,0
2022-12-28,HYDE.MI,3.942,3.942,3.895,3.895,23
2022-12-29,HYDE.MI,3.962,3.962,3.962,3.962,0
2022-12-30,HYDE.MI,3.925,3.925,3.925,3.925,0
2023-01-02,HYDE.MI,4.002,4.002,4.002,4.002,0
2023-01-03,HYDE.MI,4.093,4.093,3.989,3.989,105
2023-01-04,HYDE.MI,4.009,4.044,4.009,4.044,20
2023-01-05,HYDE.MI,4.01,4.01,4.01,4.01,0
2023-01-06,HYDE.MI,4.104,4.104,4.104,4.104,0
2023-01-09,HYDE.MI,4.201,4.201,4.201,4.201,0
2023-01-10,HYDE.MI,4.175,4.175,4.175,4.175,0
2023-01-11,HYDE.MI,4.283,4.283,4.283,4.283,0
2023-01-12,HYDE.MI,4.33,4.33,4.33,4.33,0
2023-01-13,HYDE.MI,4.364,4.364,4.364,4.364,0
2023-01-16,HYDE.MI,4.351,4.351,4.35,4.35,84
2023-01-17,HYDE.MI,4.397,4.397,4.397,4.397,0
2023-01-18,HYDE.MI,4.411,4.411,4.411,4.411,0
2023-01-19,HYDE.MI,4.273,4.273,4.273,4.273,0
2023-01-20,HYDE.MI,4.319,4.319,4.319,4.319,0
2023-01-23,HYDE.MI,4.333,4.381,4.333,4.381,6240
2023-01-24,HYDE.MI,4.403,4.405,4.403,4.405,1130
2023-01-25,HYDE.MI,4.326,4.326,4.326,4.326,0
2023-01-26,HYDE.MI,4.407,4.424,4.374,4.374,38836
2023-01-27,HYDE.MI,4.391,4.391,4.391,4.391,0
2023-01-30,HYDE.MI,4.368,4.368,4.368,4.368,0
2023-01-31,HYDE.MI,4.396,4.396,4.396,4.396,0
2023-02-01,HYDE.MI,4.429,4.429,4.419,4.419,14
2023-02-02,HYDE.MI,4.553,4.587,4.553,4.587,374
2023-02-03,HYDE.MI,4.544,4.576,4.51,4.576,59
2023-02-06,HYDE.MI,4.516,4.516,4.503,4.503,520
2023-02-07,HYDE.MI,4.459,4.459,4.459,4.459,0
2023-02-08,HYDE.MI,4.483,4.483,4.483,4.483,0
2023-02-09,HYDE.MI,4.563,4.563,4.516,4.516,147
2023-02-10,HYDE.MI,4.429,4.429,4.429,4.429,0
2023-02-13,HYDE.MI,4.448,4.448,4.448,4.448,0
2023-02-14,HYDE.MI,4.455,4.46,4.399,4.417,23655
2023-02-15,HYDE.MI,4.415,4.448,4.415,4.448,2000
2023-02-16,HYDE.MI,4.52,4.562,4.457,4.49,28091
2023-02-17,HYDE.MI,4.423,4.424,4.411,4.424,3032
2023-02-20,HYDE.MI,4.444,4.444,4.444,4.444,0
2023-02-21,HYDE.MI,4.462,4.462,4.413,4.413,732
2023-02-22,HYDE.MI,4.372,4.372,4.372,4.372,0
2023-02-23,HYDE.MI,4.391,4.391,4.391,4.391,0
2023-02-24,HYDE.MI,4.399,4.399,4.338,4.345,1300
2023-02-27,HYDE.MI,4.341,4.361,4.341,4.361,50
2023-02-28,HYDE.MI,4.384,4.384,4.374,4.374,350
2023-03-01,HYDE.MI,4.38,4.38,4.354,4.354,9
2023-03-02,HYDE.MI,4.306,4.306,4.306,4.306,0
2023-03-03,HYDE.MI,4.374,4.398,4.374,4.398,342
2023-03-06,HYDE.MI,4.406,4.419,4.406,4.419,500
2023-03-07,HYDE.MI,4.395,4.395,4.356,4.356,200
2023-03-08,HYDE.MI,4.333,4.333,4.333,4.333,0
2023-03-09,HYDE.MI,4.343,4.343,4.343,4.343,0
2023-03-10,HYDE.MI,4.218,4.218,4.218,4.218,0
2023-03-13,HYDE.MI,4.116,4.116,4.116,4.116,0
2023-03-14,HYDE.MI,4.18,4.18,4.18,4.18,0
2023-03-15,HYDE.MI,4.088,4.088,4.053,4.053,1023
2023-03-16,HYDE.MI,4.065,4.065,4.065,4.065,0
2023-03-17,HYDE.MI,3.99,3.99,3.99,3.99,0
2023-03-20,HYDE.MI,3.95,3.97,3.95,3.97,22
2023-03-21,HYDE.MI,4.035,4.035,4.035,4.035,0
2023-03-22,HYDE.MI,4.019,4.019,4.019,4.019,0
2023-03-23,HYDE.MI,3.97,4.012,3.97,4.012,458
2023-03-24,HYDE.MI,3.886,3.886,3.886,3.886,0
2023-03-27,HYDE.MI,3.921,3.921,3.921,3.921,0
2023-03-28,HYDE.MI,3.922,3.922,3.915,3.915,22
2023-03-29,HYDE.MI,3.981,3.981,3.981,3.981,0
2023-03-30,HYDE.MI,4.105,4.105,4.105,4.105,0
2023-03-31,HYDE.MI,4.157,4.157,4.157,4.157,0
2023-04-03,HYDE.MI,4.093,4.093,4.093,4.093,0
2023-04-04,HYDE.MI,4.1,4.1,4.032,4.032,250
2023-04-05,HYDE.MI,3.961,3.971,3.923,3.923,2783
2023-04-06,HYDE.MI,3.932,3.932,3.911,3.911,400
2023-04-11,HYDE.MI,3.974,3.974,3.974,3.974,0
2023-04-12,HYDE.MI,3.968,3.968,3.967,3.967,1121
2023-04-13,HYDE.MI,3.961,3.961,3.961,3.961,0
2023-04-14,HYDE.MI,3.985,3.985,3.974,3.974,500
2023-04-17,HYDE.MI,4.016,4.016,4.016,4.016,0
2023-04-18,HYDE.MI,4.016,4.016,3.974,3.974,5
2023-04-19,HYDE.MI,3.944,3.944,3.944,3.944,0
2023-04-20,HYDE.MI,3.918,3.918,3.918,3.918,0
2023-04-21,HYDE.MI,3.906,3.906,3.906,3.906,0
2023-04-24,HYDE.MI,3.898,3.898,3.898,3.898,0
2023-04-25,HYDE.MI,3.864,3.864,3.864,3.864,0
2023-04-26,HYDE.MI,3.793,3.793,3.793,3.793,0
2023-04-27,HYDE.MI,3.853,3.853,3.812,3.812,250
2023-04-28,HYDE.MI,3.816,3.816,3.816,3.816,0
2023-05-02,HYDE.MI,3.899,3.899,3.812,3.812,216
2023-05-03,HYDE.MI,3.803,3.803,3.803,3.803,0
2023-05-04,HYDE.MI,3.825,3.825,3.825,3.825,0
2023-05-05,HYDE.MI,3.918,3.918,3.918,3.918,0
2023-05-08,HYDE.MI,3.931,3.931,3.931,3.931,0
2023-05-09,HYDE.MI,3.882,3.882,3.869,3.874,540
2023-05-10,HYDE.MI,3.898,3.898,3.898,3.898,0
2023-05-11,HYDE.MI,3.856,3.856,3.856,3.856,0
2023-05-12,HYDE.MI,3.876,3.876,3.876,3.876,0
2023-05-15,HYDE.MI,3.909,3.909,3.909,3.909,0
2023-05-16,HYDE.MI,3.885,3.885,3.885,3.885,0
2023-05-17,HYDE.MI,3.889,3.889,3.889,3.889,0
2023-05-18,HYDE.MI,3.921,3.921,3.915,3.915,30
2023-05-19,HYDE.MI,3.921,3.921,3.921,3.921,0
2023-05-22,HYDE.MI,3.928,3.928,3.928,3.928,0
2023-05-23,HYDE.MI,3.94,3.945,3.94,3.945,1280
2023-05-24,HYDE.MI,3.836,3.836,3.836,3.836,0
2023-05-25,HYDE.MI,3.838,3.838,3.806,3.806,10
2023-05-26,HYDE.MI,3.829,3.829,3.829,3.829,0
2023-05-29,HYDE.MI,3.826,3.826,3.826,3.826,0
2023-05-30,HYDE.MI,3.835,3.835,3.832,3.832,1280
2023-05-31,HYDE.MI,3.77,3.77,3.77,3.77,0
2023-06-01,HYDE.MI,3.797,3.811,3.797,3.811,2675
2023-06-02,HYDE.MI,3.895,3.895,3.895,3.895,0
2023-06-05,HYDE.MI,3.894,3.894,3.894,3.894,0
2023-06-06,HYDE.MI,3.895,3.933,3.895,3.933,237
2023-06-07,HYDE.MI,3.987,3.989,3.987,3.989,500
2023-06-08,HYDE.MI,3.981,3.981,3.981,3.981,0
2023-06-09,HYDE.MI,3.984,3.984,3.984,3.984,0
2023-06-12,HYDE.MI,4.042,4.042,4.042,4.042,0
2023-06-13,HYDE.MI,4.149,4.149,4.149,4.149,0
2023-06-14,HYDE.MI,4.112,4.112,4.112,4.112,0
2023-06-15,HYDE.MI,4.083,4.093,4.083,4.093,1220
2023-06-16,HYDE.MI,4.105,4.105,4.087,4.087,220
2023-06-19,HYDE.MI,4.085,4.085,4.056,4.056,35
2023-06-20,HYDE.MI,4.003,4.003,4.003,4.003,0
2023-06-21,HYDE.MI,3.975,3.975,3.973,3.973,1220
2023-06-22,HYDE.MI,3.97,3.97,3.97,3.97,0
2023-06-23,HYDE.MI,3.932,3.932,3.901,3.901,195
