Date,Ticker,Open,High,Low,Close,Volume
2021-04-09,HYSRI.MI,10.066,10.066,10.044,10.044,20
2021-04-12,HYSRI.MI,10.062,10.062,10.05,10.05,150
2021-04-13,HYSRI.MI,10.052,10.052,10.04,10.04,50
2021-04-14,HYSRI.MI,10.052,10.052,10.038,10.038,50
2021-04-15,HYSRI.MI,10.056,10.06,10.056,10.06,2064
2021-04-16,HYSRI.MI,10.08,10.08,10.066,10.066,45
2021-04-19,HYSRI.MI,10.084,10.084,10.054,10.054,1885
2021-04-20,HYSRI.MI,10.072,10.074,10.038,10.038,2270
2021-04-21,HYSRI.MI,10.048,10.086,10.048,10.054,4007
2021-04-22,HYSRI.MI,10.054,10.054,10.054,10.054,0
2021-04-23,HYSRI.MI,10.054,10.054,10.054,10.054,0
2021-04-26,HYSRI.MI,10.076,10.076,10.058,10.058,400
2021-04-27,HYSRI.MI,10.076,10.08,10.06,10.06,2200
2021-04-28,HYSRI.MI,10.078,10.078,10.062,10.062,500
2021-04-29,HYSRI.MI,10.062,10.062,10.062,10.062,0
2021-04-30,HYSRI.MI,10.062,10.062,10.062,10.062,0
2021-05-03,HYSRI.MI,10.088,10.168,10.082,10.082,1216
2021-05-04,HYSRI.MI,10.082,10.082,10.082,10.082,0
2021-05-05,HYSRI.MI,10.082,10.082,10.082,10.082,0
2021-05-06,HYSRI.MI,10.082,10.082,10.082,10.082,0
2021-05-07,HYSRI.MI,10.082,10.082,10.082,10.082,0
2021-05-10,HYSRI.MI,10.082,10.082,10.082,10.082,0
2021-05-11,HYSRI.MI,10.06,10.068,10.06,10.068,300
2021-05-12,HYSRI.MI,10.068,10.068,10.068,10.068,0
2021-05-13,HYSRI.MI,10.026,10.036,10.026,10.036,2014
2021-05-14,HYSRI.MI,10.056,10.068,10.056,10.068,2014
2021-05-17,HYSRI.MI,10.068,10.068,10.068,10.068,0
2021-05-18,HYSRI.MI,10.07,10.07,10.058,10.058,1000
2021-05-19,HYSRI.MI,10.058,10.058,10.058,10.058,0
