Date,Ticker,Open,High,Low,Close,Volume
2018-05-11,IQJP.MI,27.29,27.29,27.265,27.265,300
2018-05-14,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-05-15,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-05-16,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-05-17,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-05-18,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-05-21,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-05-22,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-05-23,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-05-24,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-05-25,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-05-28,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-05-29,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-05-30,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-05-31,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-06-01,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-06-04,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-06-05,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-06-06,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-06-07,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-06-08,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-06-11,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-06-12,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-06-13,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-06-14,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-06-15,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-06-18,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-06-19,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-06-20,IQJP.MI,27.265,27.265,27.265,27.265,0
2018-06-21,IQJP.MI,27.15,27.15,27.09,27.09,90
2018-06-22,IQJP.MI,27.09,27.09,27.09,27.09,0
2018-06-25,IQJP.MI,27.09,27.09,27.09,27.09,0
2018-06-26,IQJP.MI,27.09,27.09,27.09,27.09,0
2018-06-27,IQJP.MI,27.09,27.09,27.09,27.09,0
2018-06-28,IQJP.MI,27.09,27.09,27.09,27.09,0
2018-06-29,IQJP.MI,27.09,27.09,27.09,27.09,0
2018-07-02,IQJP.MI,27.09,27.09,27.09,27.09,0
2018-07-03,IQJP.MI,27.09,27.09,27.09,27.09,0
2018-07-04,IQJP.MI,27.09,27.09,27.09,27.09,0
2018-07-05,IQJP.MI,27.09,27.09,27.09,27.09,0
2018-07-06,IQJP.MI,27.09,27.09,27.09,27.09,0
2018-07-09,IQJP.MI,27.09,27.09,27.09,27.09,0
2018-07-10,IQJP.MI,27.09,27.09,27.09,27.09,0
2018-07-11,IQJP.MI,27.09,27.09,27.09,27.09,0
