Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,ISF.MI,8.546,8.546,8.479,8.504,36308
2018-01-03,ISF.MI,8.53,8.534,8.515,8.518,52856
2018-01-04,ISF.MI,8.541,8.541,8.509,8.527,41864
2018-01-05,ISF.MI,8.541,8.571,8.538,8.569,973883
2018-01-08,ISF.MI,8.59,8.604,8.575,8.581,149898
2018-01-09,ISF.MI,8.614,8.639,8.61,8.625,407078
2018-01-10,ISF.MI,8.614,8.635,8.585,8.604,145513
2018-01-11,ISF.MI,8.618,8.619,8.565,8.596,155985
2018-01-12,ISF.MI,8.599,8.654,8.567,8.64,466886
2018-01-15,ISF.MI,8.639,8.641,8.6,8.622,148427
2018-01-16,ISF.MI,8.624,8.642,8.594,8.601,165631
2018-01-17,ISF.MI,8.592,8.621,8.592,8.605,376090
2018-01-18,ISF.MI,8.627,8.627,8.586,8.614,27667
2018-01-19,ISF.MI,8.625,8.635,8.607,8.631,69256
2018-01-22,ISF.MI,8.632,8.665,8.632,8.656,50824
2018-01-23,ISF.MI,8.694,8.694,8.666,8.667,191809
2018-01-24,ISF.MI,8.663,8.7,8.651,8.67,91631
2018-01-25,ISF.MI,8.653,8.681,8.572,8.572,380448
2018-01-26,ISF.MI,8.597,8.645,8.593,8.616,80651
2018-01-29,ISF.MI,8.618,8.628,8.596,8.603,328684
2018-01-30,ISF.MI,8.572,8.572,8.51,8.536,76178
2018-01-31,ISF.MI,8.546,8.546,8.473,8.473,100788
2018-02-01,ISF.MI,8.527,8.536,8.433,8.433,277393
2018-02-02,ISF.MI,8.421,8.421,8.337,8.337,333405
2018-02-05,ISF.MI,8.259,8.26,8.17,8.173,80867
2018-02-06,ISF.MI,8.0,8.051,7.845,7.966,478955
2018-02-07,ISF.MI,8.016,8.155,7.985,8.133,239113
2018-02-08,ISF.MI,8.102,8.168,8.048,8.048,563019
2018-02-09,ISF.MI,8.02,8.031,7.89,7.89,103605
2018-02-12,ISF.MI,7.982,8.021,7.97,7.985,72061
2018-02-13,ISF.MI,7.977,8.011,7.969,7.97,51370
2018-02-14,ISF.MI,8.007,8.045,7.943,8.032,89663
