Date,Ticker,Open,High,Low,Close,Volume
2019-07-17,JPGL.MI,22.625,22.625,22.355,22.355,12
2019-07-18,JPGL.MI,22.285,22.305,22.27,22.27,30
2019-07-19,JPGL.MI,22.27,22.27,22.27,22.27,0
2019-07-22,JPGL.MI,22.36,22.36,22.3,22.3,100
2019-07-23,JPGL.MI,22.545,22.545,22.51,22.51,70
2019-07-24,JPGL.MI,22.51,22.51,22.51,22.51,0
2019-07-25,JPGL.MI,22.65,22.65,22.54,22.54,4853
2019-07-26,JPGL.MI,22.54,22.54,22.54,22.54,0
2019-07-29,JPGL.MI,22.54,22.54,22.54,22.54,0
2019-07-30,JPGL.MI,22.54,22.54,22.54,22.54,0
2019-07-31,JPGL.MI,22.54,22.54,22.54,22.54,0
2019-08-01,JPGL.MI,22.54,22.54,22.54,22.54,0
2019-08-02,JPGL.MI,22.125,22.125,22.06,22.06,150
2019-08-05,JPGL.MI,21.8,21.8,21.56,21.56,75
2019-08-06,JPGL.MI,21.56,21.56,21.56,21.56,0
2019-08-07,JPGL.MI,21.56,21.56,21.56,21.56,0
2019-08-08,JPGL.MI,21.86,21.86,21.84,21.84,230
2019-08-09,JPGL.MI,21.84,21.84,21.84,21.84,0
2019-08-12,JPGL.MI,21.84,21.84,21.84,21.84,0
2019-08-13,JPGL.MI,21.84,21.84,21.84,21.84,0
2019-08-14,JPGL.MI,21.71,21.71,21.5,21.5,220
2019-08-16,JPGL.MI,21.5,21.5,21.5,21.5,0
2019-08-19,JPGL.MI,21.985,21.985,21.985,21.985,77
2019-08-20,JPGL.MI,21.985,21.985,21.985,21.985,0
2019-08-21,JPGL.MI,21.985,21.985,21.985,21.985,0
2019-08-22,JPGL.MI,21.985,21.985,21.985,21.985,0
2019-08-23,JPGL.MI,21.985,21.985,21.985,21.985,0
2019-08-26,JPGL.MI,21.985,21.985,21.985,21.985,0
2019-08-27,JPGL.MI,21.985,21.985,21.985,21.985,0
2019-08-28,JPGL.MI,21.985,21.985,21.985,21.985,0
2019-08-29,JPGL.MI,21.985,21.985,21.985,21.985,0
2019-08-30,JPGL.MI,21.985,21.985,21.985,21.985,0
2019-09-02,JPGL.MI,21.985,21.985,21.985,21.985,0
2019-09-03,JPGL.MI,21.985,21.985,21.985,21.985,0
2019-09-04,JPGL.MI,21.985,21.985,21.985,21.985,0
2019-09-05,JPGL.MI,21.985,21.985,21.985,21.985,0
2019-09-06,JPGL.MI,21.985,21.985,21.985,21.985,0
2019-09-09,JPGL.MI,22.71,22.71,22.58,22.58,50
2019-09-10,JPGL.MI,22.58,22.58,22.58,22.58,0
2019-09-11,JPGL.MI,22.58,22.58,22.58,22.58,0
2019-09-12,JPGL.MI,22.58,22.58,22.58,22.58,0
2019-09-13,JPGL.MI,22.58,22.58,22.58,22.58,0
2019-09-16,JPGL.MI,22.58,22.58,22.58,22.58,0
2019-09-17,JPGL.MI,22.58,22.58,22.58,22.58,0
2019-09-18,JPGL.MI,22.58,22.58,22.58,22.58,0
2019-09-19,JPGL.MI,22.58,22.58,22.58,22.58,0
2019-09-20,JPGL.MI,22.58,22.58,22.58,22.58,0
2019-09-23,JPGL.MI,22.58,22.58,22.58,22.58,0
2019-09-24,JPGL.MI,22.58,22.58,22.58,22.58,0
2019-09-25,JPGL.MI,22.58,22.58,22.58,22.58,0
2019-09-26,JPGL.MI,22.58,22.58,22.58,22.58,0
2019-09-27,JPGL.MI,22.58,22.58,22.58,22.58,0
2019-09-30,JPGL.MI,23.075,23.09,23.075,23.09,5000
2019-10-01,JPGL.MI,23.09,23.09,23.09,23.09,0
2019-10-02,JPGL.MI,22.675,22.675,22.4,22.4,280
2019-10-03,JPGL.MI,22.4,22.4,22.4,22.4,0
2019-10-04,JPGL.MI,22.4,22.4,22.4,22.4,0
2019-10-07,JPGL.MI,22.4,22.4,22.4,22.4,0
2019-10-08,JPGL.MI,22.4,22.4,22.4,22.4,0
2019-10-09,JPGL.MI,22.4,22.4,22.4,22.4,0
2019-10-10,JPGL.MI,22.4,22.4,22.4,22.4,0
2019-10-11,JPGL.MI,22.4,22.4,22.4,22.4,0
2019-10-14,JPGL.MI,22.4,22.4,22.4,22.4,0
2019-10-15,JPGL.MI,22.4,22.4,22.4,22.4,0
2019-10-16,JPGL.MI,22.4,22.4,22.4,22.4,0
2019-10-17,JPGL.MI,22.4,22.4,22.4,22.4,0
2019-10-18,JPGL.MI,22.4,22.4,22.4,22.4,0
2019-10-21,JPGL.MI,22.4,22.4,22.4,22.4,0
2019-10-22,JPGL.MI,22.4,22.4,22.4,22.4,0
2019-10-23,JPGL.MI,22.4,22.4,22.4,22.4,0
2019-10-24,JPGL.MI,22.875,22.925,22.875,22.925,150
2019-10-25,JPGL.MI,22.925,22.925,22.925,22.925,0
2019-10-28,JPGL.MI,22.925,22.925,22.925,22.925,0
2019-10-29,JPGL.MI,22.925,22.925,22.925,22.925,0
2019-10-30,JPGL.MI,22.925,22.925,22.925,22.925,0
2019-10-31,JPGL.MI,22.905,22.905,22.865,22.865,986
2019-11-01,JPGL.MI,22.865,22.865,22.865,22.865,0
2019-11-04,JPGL.MI,23.18,23.18,23.175,23.175,986
