Date,Ticker,Open,High,Low,Close,Volume
2024-06-10,JPMQ.MI,114.7,115.48,114.7,115.48,12
2024-06-11,JPMQ.MI,115.48,115.48,115.48,115.48,0
2024-06-12,JPMQ.MI,114.7,114.7,114.35,114.35,2
2024-06-13,JPMQ.MI,112.8,112.8,112.5,112.5,19
2024-06-14,JPMQ.MI,113.2,113.35,113.2,113.35,1
2024-06-17,JPMQ.MI,111.8,111.95,111.8,111.95,18
2024-06-18,JPMQ.MI,112.4,112.4,112.08,112.08,77
2024-06-19,JPMQ.MI,112.7,112.7,111.98,111.98,10
2024-06-20,JPMQ.MI,113.2,113.2,112.35,112.35,622
2024-06-21,JPMQ.MI,112.35,112.35,112.35,112.35,0
2024-06-24,JPMQ.MI,112.35,112.35,112.35,112.35,0
2024-06-25,JPMQ.MI,114.2,114.2,113.9,113.9,17
2024-06-26,JPMQ.MI,113.9,113.9,113.9,113.9,0
2024-06-27,JPMQ.MI,113.9,114.45,113.9,114.45,22
2024-06-28,JPMQ.MI,115.1,115.25,113.9,115.25,1000
2024-07-01,JPMQ.MI,114.2,114.2,113.6,113.83,3
2024-07-02,JPMQ.MI,115.0,115.0,114.75,114.75,1
2024-07-03,JPMQ.MI,114.75,114.75,114.75,114.75,0
2024-07-04,JPMQ.MI,116.3,116.3,115.81,115.81,20
2024-07-05,JPMQ.MI,115.7,115.7,115.1,115.25,41
2024-07-08,JPMQ.MI,115.3,115.3,115.2,115.2,9
2024-07-09,JPMQ.MI,120.95,120.95,115.0,115.53,88
2024-07-10,JPMQ.MI,116.69,117.47,116.69,117.47,75
2024-07-11,JPMQ.MI,116.2,117.48,116.2,117.48,2
2024-07-12,JPMQ.MI,117.14,118.17,117.14,118.17,69
2024-07-15,JPMQ.MI,117.67,117.97,117.67,117.97,15
2024-07-16,JPMQ.MI,117.97,117.97,117.97,117.97,0
2024-07-17,JPMQ.MI,117.97,117.97,117.97,117.97,0
2024-07-18,JPMQ.MI,117.81,117.81,117.21,117.21,2
2024-07-19,JPMQ.MI,117.21,117.21,117.21,117.21,0
2024-07-22,JPMQ.MI,117.21,117.21,117.21,117.21,0
2024-07-23,JPMQ.MI,117.21,117.21,117.21,117.21,0
2024-07-24,JPMQ.MI,116.53,116.53,116.1,116.1,8
2024-07-25,JPMQ.MI,114.3,114.3,113.66,113.73,119
2024-07-26,JPMQ.MI,113.73,113.73,113.73,113.73,0
2024-07-29,JPMQ.MI,116.05,116.05,115.53,115.53,25
2024-07-30,JPMQ.MI,115.53,115.53,115.53,115.53,0
2024-07-31,JPMQ.MI,115.53,115.53,115.53,115.53,0
2024-08-01,JPMQ.MI,115.53,115.53,115.53,115.53,0
2024-08-02,JPMQ.MI,115.53,115.53,115.53,115.53,0
2024-08-05,JPMQ.MI,102.63,104.98,102.63,104.98,178
2024-08-06,JPMQ.MI,106.37,106.37,106.16,106.16,30
2024-08-07,JPMQ.MI,108.34,109.98,108.34,109.45,146
2024-08-08,JPMQ.MI,109.45,109.45,109.45,109.45,0
2024-08-09,JPMQ.MI,109.45,109.45,109.45,109.45,0
2024-08-12,JPMQ.MI,114.69,114.69,110.29,110.29,100
2024-08-13,JPMQ.MI,112.17,112.69,112.17,112.69,9
2024-08-14,JPMQ.MI,112.34,112.34,111.96,111.96,1
2024-08-16,JPMQ.MI,117.54,117.54,114.85,114.85,12
2024-08-19,JPMQ.MI,115.73,115.73,115.36,115.68,31
2024-08-20,JPMQ.MI,115.68,115.68,115.68,115.68,0
2024-08-21,JPMQ.MI,116.38,116.69,116.26,116.26,109
2024-08-22,JPMQ.MI,116.98,116.98,116.59,116.59,15
2024-08-23,JPMQ.MI,117.03,117.24,117.03,117.24,33
2024-08-26,JPMQ.MI,117.07,117.07,116.96,116.96,100
2024-08-27,JPMQ.MI,117.49,117.74,117.49,117.74,16
2024-08-28,JPMQ.MI,117.74,117.74,117.74,117.74,0
2024-08-29,JPMQ.MI,119.19,119.19,118.65,118.65,15
2024-08-30,JPMQ.MI,118.81,118.81,118.73,118.73,94
2024-09-02,JPMQ.MI,118.58,118.58,117.6,118.04,52
2024-09-03,JPMQ.MI,119.06,119.06,118.26,118.26,2
2024-09-04,JPMQ.MI,116.36,116.74,116.36,116.74,21
2024-09-05,JPMQ.MI,116.86,116.88,116.86,116.88,9
2024-09-06,JPMQ.MI,114.6,114.6,114.6,114.6,50
2024-09-09,JPMQ.MI,114.6,114.6,114.6,114.6,0
2024-09-10,JPMQ.MI,114.6,114.6,114.6,114.6,0
2024-09-11,JPMQ.MI,114.6,114.6,114.6,114.6,0
2024-09-12,JPMQ.MI,116.53,117.08,116.53,116.9,139
2024-09-13,JPMQ.MI,117.2,117.21,117.04,117.04,19
2024-09-16,JPMQ.MI,117.59,117.59,116.67,116.67,1
2024-09-17,JPMQ.MI,117.25,117.25,116.79,116.79,3
2024-09-18,JPMQ.MI,115.79,115.79,115.62,115.62,1
2024-09-19,JPMQ.MI,115.62,115.62,115.62,115.62,0
2024-09-20,JPMQ.MI,117.2,117.6,117.2,117.6,8
2024-09-23,JPMQ.MI,117.92,118.61,117.92,118.61,2
2024-09-24,JPMQ.MI,118.61,118.61,118.61,118.61,0
2024-09-25,JPMQ.MI,118.61,118.61,118.61,118.61,0
2024-09-26,JPMQ.MI,118.63,119.49,118.63,119.49,62
2024-09-27,JPMQ.MI,116.88,119.29,116.88,118.5,13
2024-09-30,JPMQ.MI,118.8,118.8,117.86,118.12,36
2024-10-01,JPMQ.MI,119.0,119.42,118.23,118.54,62
2024-10-02,JPMQ.MI,118.28,118.28,117.68,117.68,12
2024-10-03,JPMQ.MI,116.78,117.55,116.78,117.55,27
2024-10-04,JPMQ.MI,118.35,119.65,118.21,119.37,112
2024-10-07,JPMQ.MI,119.49,119.49,118.45,118.51,16
2024-10-08,JPMQ.MI,117.9,118.82,117.9,118.82,1
2024-10-09,JPMQ.MI,118.82,118.82,118.82,118.82,0
2024-10-10,JPMQ.MI,118.82,118.82,118.82,118.82,0
2024-10-11,JPMQ.MI,118.82,118.82,118.82,118.82,0
2024-10-14,JPMQ.MI,118.82,118.82,118.82,118.82,0
2024-10-15,JPMQ.MI,118.82,118.82,118.82,118.82,0
2024-10-16,JPMQ.MI,118.82,118.82,118.82,118.82,0
2024-10-17,JPMQ.MI,118.82,118.82,118.82,118.82,0
2024-10-18,JPMQ.MI,118.82,118.82,118.82,118.82,0
2024-10-21,JPMQ.MI,117.75,117.75,116.56,116.56,43
2024-10-22,JPMQ.MI,115.23,115.23,114.97,115.01,137
2024-10-23,JPMQ.MI,115.01,115.01,115.01,115.01,0
2024-10-24,JPMQ.MI,115.01,115.01,115.01,115.01,0
2024-10-25,JPMQ.MI,115.01,115.01,115.01,115.01,0
2024-10-28,JPMQ.MI,114.0,114.64,114.0,114.64,40
2024-10-29,JPMQ.MI,115.33,115.56,115.33,115.56,70
2024-10-30,JPMQ.MI,116.62,116.62,115.32,115.32,23
2024-10-31,JPMQ.MI,115.32,115.32,115.32,115.32,0
2024-11-01,JPMQ.MI,113.44,115.09,113.44,115.09,243
2024-11-04,JPMQ.MI,115.09,115.09,115.09,115.09,0
2024-11-05,JPMQ.MI,115.09,115.09,115.09,115.09,0
2024-11-06,JPMQ.MI,118.38,118.5,117.23,117.23,535
2024-11-07,JPMQ.MI,117.23,117.23,117.23,117.23,0
2024-11-08,JPMQ.MI,117.9,118.35,117.9,118.35,85
2024-11-11,JPMQ.MI,118.35,118.35,118.35,118.35,0
2024-11-12,JPMQ.MI,118.84,118.84,118.25,118.25,279
2024-11-13,JPMQ.MI,117.54,117.54,117.49,117.49,40
2024-11-14,JPMQ.MI,117.75,117.75,117.52,117.52,1
2024-11-15,JPMQ.MI,116.3,117.04,116.3,116.73,179
2024-11-18,JPMQ.MI,118.09,118.09,118.09,118.09,110
2024-11-19,JPMQ.MI,118.09,118.09,118.09,118.09,0
2024-11-20,JPMQ.MI,116.79,116.79,116.37,116.37,13
2024-11-21,JPMQ.MI,116.83,117.81,116.83,117.81,45
2024-11-22,JPMQ.MI,117.87,119.39,117.87,119.39,50
2024-11-25,JPMQ.MI,118.85,119.15,118.85,119.15,300
2024-11-26,JPMQ.MI,119.15,119.15,119.15,119.15,0
2024-11-27,JPMQ.MI,118.88,118.88,118.21,118.21,6
2024-11-28,JPMQ.MI,118.93,119.65,118.93,119.55,239
2024-11-29,JPMQ.MI,120.26,120.7,120.26,120.7,20
2024-12-02,JPMQ.MI,122.33,123.18,122.33,123.18,52
2024-12-03,JPMQ.MI,124.66,124.66,124.23,124.23,1
2024-12-04,JPMQ.MI,124.07,124.07,123.63,123.63,3
2024-12-05,JPMQ.MI,123.41,123.42,123.22,123.22,26
2024-12-06,JPMQ.MI,123.22,123.22,123.22,123.22,0
2024-12-09,JPMQ.MI,123.17,123.17,122.25,122.25,122
2024-12-10,JPMQ.MI,122.25,122.25,122.25,122.25,0
2024-12-11,JPMQ.MI,123.24,124.28,123.24,123.57,580
2024-12-12,JPMQ.MI,122.8,122.98,122.38,122.98,19
2024-12-13,JPMQ.MI,121.91,121.91,121.06,121.06,85
2024-12-16,JPMQ.MI,120.69,120.75,120.34,120.42,128
2024-12-17,JPMQ.MI,120.06,120.37,120.06,120.23,25
2024-12-18,JPMQ.MI,120.23,120.23,120.23,120.23,0
2024-12-19,JPMQ.MI,119.85,119.85,119.12,119.12,1
2024-12-20,JPMQ.MI,117.66,119.15,117.6,119.15,52
2024-12-23,JPMQ.MI,119.05,119.05,118.32,118.32,6
2024-12-27,JPMQ.MI,124.2,124.2,121.13,121.13,16
2024-12-30,JPMQ.MI,120.18,120.22,117.85,119.51,474
2025-01-02,JPMQ.MI,120.54,122.07,120.54,122.07,24
2025-01-03,JPMQ.MI,121.18,121.9,120.76,121.18,324
2025-01-06,JPMQ.MI,120.48,120.9,120.48,120.9,60
2025-01-07,JPMQ.MI,120.89,120.89,120.72,120.72,41
2025-01-08,JPMQ.MI,120.75,120.75,120.4,120.4,50
2025-01-09,JPMQ.MI,120.01,120.12,119.9,120.12,65
2025-01-10,JPMQ.MI,118.84,118.84,118.55,118.55,402
2025-01-13,JPMQ.MI,118.76,118.87,118.51,118.51,17
2025-01-14,JPMQ.MI,118.47,118.47,117.75,117.75,35
2025-01-15,JPMQ.MI,117.83,119.23,117.83,119.23,341
2025-01-16,JPMQ.MI,119.23,119.23,119.23,119.23,0
2025-01-17,JPMQ.MI,119.7,119.75,119.66,119.75,2
2025-01-20,JPMQ.MI,119.75,119.75,119.75,119.75,0
2025-01-21,JPMQ.MI,119.75,119.75,119.75,119.75,0
2025-01-22,JPMQ.MI,120.25,120.25,120.16,120.21,7
2025-01-23,JPMQ.MI,120.21,120.21,120.21,120.21,0
