Date,Ticker,Open,High,Low,Close,Volume
2018-01-04,JPNA.MI,2098.697,2098.697,2098.697,2098.697,0
2018-01-05,JPNA.MI,2118.787,2118.787,2118.787,2118.787,0
2018-01-09,JPNA.MI,2129.317,2129.317,2129.317,2129.317,0
2018-01-10,JPNA.MI,2133.909,2133.909,2133.909,2133.909,0
2018-01-11,JPNA.MI,2128.337,2128.337,2128.337,2128.337,0
2018-01-12,JPNA.MI,2115.205,2115.205,2115.205,2115.205,0
2018-01-15,JPNA.MI,2125.398,2125.398,2125.398,2125.398,0
2018-01-16,JPNA.MI,2138.973,2138.973,2138.973,2138.973,0
2018-01-17,JPNA.MI,2136.155,2136.155,2136.155,2136.155,0
2018-01-18,JPNA.MI,2122.312,2122.312,2122.312,2122.312,0
2018-01-19,JPNA.MI,2135.508,2135.508,2135.508,2135.508,0
2018-01-22,JPNA.MI,2138.444,2138.444,2138.444,2138.444,0
2018-01-23,JPNA.MI,2160.165,2160.165,2160.165,2160.165,0
2018-01-24,JPNA.MI,2147.008,2147.008,2147.008,2147.008,0
2018-01-25,JPNA.MI,2127.346,2127.346,2127.346,2127.346,0
2018-01-26,JPNA.MI,2119.535,2119.535,2119.535,2119.535,0
2018-01-29,JPNA.MI,2119.652,2119.652,2119.652,2119.652,0
2018-01-30,JPNA.MI,2094.815,2094.815,2094.815,2094.815,0
2018-01-31,JPNA.MI,2069.572,2069.572,2069.572,2069.572,0
2018-02-01,JPNA.MI,2106.513,2106.513,2106.513,2106.513,0
2018-02-02,JPNA.MI,2098.9,2098.9,2098.9,2098.9,0
2018-02-05,JPNA.MI,2054.662,2054.662,2054.662,2054.662,0
2018-02-06,JPNA.MI,1968.64,1968.64,1968.64,1968.64,0
2018-02-07,JPNA.MI,1976.925,1976.925,1976.925,1976.925,0
2018-02-08,JPNA.MI,1995.432,1995.432,1995.432,1995.432,0
2018-02-09,JPNA.MI,1957.204,1957.204,1957.204,1957.204,0
2018-02-13,JPNA.MI,1940.374,1940.374,1940.374,1940.374,0
2018-02-14,JPNA.MI,1925.877,1925.877,1925.877,1925.877,0
2018-02-15,JPNA.MI,1945.415,1945.415,1945.415,1945.415,0
2018-02-16,JPNA.MI,1963.829,1963.829,1963.829,1963.829,0
2018-02-19,JPNA.MI,2004.434,2004.434,2004.434,2004.434,0
2018-02-20,JPNA.MI,1987.719,1987.719,1987.719,1987.719,0
2018-02-21,JPNA.MI,1985.079,1985.079,1985.079,1985.079,0
2018-02-22,JPNA.MI,1966.522,1966.522,1966.522,1966.522,0
2018-02-23,JPNA.MI,1982.526,1982.526,1982.526,1982.526,0
2018-02-26,JPNA.MI,2000.836,2000.836,2000.836,2000.836,0
2018-02-27,JPNA.MI,2020.368,2020.368,2020.368,2020.368,0
2018-02-28,JPNA.MI,1992.09,1992.09,1992.09,1992.09,0
2018-03-01,JPNA.MI,1959.85,1959.85,1959.85,1959.85,0
2018-03-02,JPNA.MI,1922.418,1922.418,1922.418,1922.418,0
2018-03-05,JPNA.MI,1908.152,1908.152,1908.152,1908.152,0
2018-03-06,JPNA.MI,1931.587,1931.587,1931.587,1931.587,0
2018-03-07,JPNA.MI,1916.234,1916.234,1916.234,1916.234,0
2018-03-08,JPNA.MI,1924.409,1924.409,1924.409,1924.409,0
2018-03-09,JPNA.MI,1930.443,1930.443,1930.443,1930.443,0
2018-03-12,JPNA.MI,1960.579,1960.579,1960.579,1960.579,0
2018-03-13,JPNA.MI,1970.614,1970.614,1970.614,1970.614,0
2018-03-14,JPNA.MI,1960.822,1960.822,1960.822,1960.822,0
2018-03-15,JPNA.MI,1961.707,1961.707,1961.707,1961.707,0
2018-03-16,JPNA.MI,1954.054,1954.054,1954.054,1954.054,0
2018-03-19,JPNA.MI,1935.865,1935.865,1935.865,1935.865,0
2018-03-20,JPNA.MI,1931.571,1931.571,1931.571,1931.571,0
2018-03-22,JPNA.MI,1944.32,1944.32,1944.32,1944.32,0
2018-03-23,JPNA.MI,1874.263,1874.263,1874.263,1874.263,0
2018-03-26,JPNA.MI,1881.435,1881.435,1881.435,1881.435,0
2018-03-27,JPNA.MI,1932.495,1932.495,1932.495,1932.495,0
2018-03-28,JPNA.MI,1925.739,1925.739,1925.739,1925.739,0
2018-03-29,JPNA.MI,1929.026,1929.026,1929.026,1929.026,0
2018-04-03,JPNA.MI,1927.782,1927.782,1927.782,1927.782,0
2018-04-04,JPNA.MI,1928.136,1928.136,1928.136,1928.136,0
2018-04-05,JPNA.MI,1950.647,1950.647,1950.647,1950.647,0
2018-04-06,JPNA.MI,1943.153,1943.153,1943.153,1943.153,0
2018-04-09,JPNA.MI,1950.917,1950.917,1950.917,1950.917,0
2018-04-10,JPNA.MI,1959.695,1959.695,1959.695,1959.695,0
2018-04-11,JPNA.MI,1953.349,1953.349,1953.349,1953.349,0
2018-04-12,JPNA.MI,1946.17,1946.17,1946.17,1946.17,0
2018-04-13,JPNA.MI,1958.613,1958.613,1958.613,1958.613,0
2018-04-16,JPNA.MI,1965.442,1965.442,1965.442,1965.442,0
2018-04-17,JPNA.MI,1959.568,1959.568,1959.568,1959.568,0
2018-04-18,JPNA.MI,1981.109,1981.109,1981.109,1981.109,0
2018-04-19,JPNA.MI,1981.54,1981.54,1981.54,1981.54,0
2018-04-20,JPNA.MI,1982.263,1982.263,1982.263,1982.263,0
2018-04-23,JPNA.MI,1982.834,1982.834,1982.834,1982.834,0
2018-04-24,JPNA.MI,2005.732,2005.732,2005.732,2005.732,0
2018-04-25,JPNA.MI,2003.116,2003.116,2003.116,2003.116,0
2018-04-26,JPNA.MI,2008.071,2008.071,2008.071,2008.071,0
2018-04-27,JPNA.MI,2012.547,2012.547,2012.547,2012.547,0
2018-05-02,JPNA.MI,2005.62,2005.62,2005.62,2005.62,0
2018-05-07,JPNA.MI,2006.635,2006.635,2006.635,2006.635,0
2018-05-08,JPNA.MI,2014.093,2014.093,2014.093,2014.093,0
2018-05-09,JPNA.MI,2005.836,2005.836,2005.836,2005.836,0
2018-05-11,JPNA.MI,2031.302,2031.302,2031.302,2031.302,0
2018-05-14,JPNA.MI,2043.282,2043.282,2043.282,2043.282,0
2018-05-15,JPNA.MI,2042.487,2042.487,2042.487,2042.487,0
2018-05-16,JPNA.MI,2036.444,2036.444,2036.444,2036.444,0
2018-05-17,JPNA.MI,2046.867,2046.867,2046.867,2046.867,0
2018-05-18,JPNA.MI,2055.11,2055.11,2055.11,2055.11,0
2018-05-22,JPNA.MI,2049.572,2049.572,2049.572,2049.572,0
2018-05-23,JPNA.MI,2032.724,2032.724,2032.724,2032.724,0
2018-05-24,JPNA.MI,2006.973,2006.973,2006.973,2006.973,0
2018-05-25,JPNA.MI,2003.319,2003.319,2003.319,2003.319,0
2018-05-28,JPNA.MI,2002.267,2002.267,2002.267,2002.267,0
2018-05-29,JPNA.MI,1993.038,1993.038,1993.038,1993.038,0
2018-05-30,JPNA.MI,1963.638,1963.638,1963.638,1963.638,0
2018-05-31,JPNA.MI,1977.243,1977.243,1977.243,1977.243,0
2018-06-01,JPNA.MI,1978.677,1978.677,1978.677,1978.677,0
2018-06-04,JPNA.MI,2007.425,2007.425,2007.425,2007.425,0
2018-06-05,JPNA.MI,2008.494,2008.494,2008.494,2008.494,0
2018-06-06,JPNA.MI,2012.707,2012.707,2012.707,2012.707,0
2018-06-07,JPNA.MI,2026.947,2026.947,2026.947,2026.947,0
2018-06-08,JPNA.MI,2016.958,2016.958,2016.958,2016.958,0
2018-06-11,JPNA.MI,2022.942,2022.942,2022.942,2022.942,0
