Date,Ticker,Open,High,Low,Close,Volume
2018-06-06,JU13.MI,99.94,99.94,99.94,99.94,0
2018-06-07,JU13.MI,99.978,99.978,99.978,99.978,0
2018-06-08,JU13.MI,100.009,100.009,100.009,100.009,0
2018-06-11,JU13.MI,99.955,99.955,99.955,99.955,0
2018-06-12,JU13.MI,84.825,84.83,84.8,84.83,5
2018-06-13,JU13.MI,84.83,84.83,84.83,84.83,0
2018-06-14,JU13.MI,84.83,84.83,84.83,84.83,0
2018-06-15,JU13.MI,84.83,84.83,84.83,84.83,0
2018-06-18,JU13.MI,84.83,84.83,84.83,84.83,0
2018-06-19,JU13.MI,84.83,84.83,84.83,84.83,0
2018-06-20,JU13.MI,86.43,86.43,86.375,86.375,63
2018-06-21,JU13.MI,86.375,86.375,86.375,86.375,0
2018-06-22,JU13.MI,86.375,86.375,86.375,86.375,0
2018-06-25,JU13.MI,86.025,86.03,85.575,85.575,130
2018-06-26,JU13.MI,85.82,85.82,85.775,85.775,40
2018-06-27,JU13.MI,85.775,85.775,85.775,85.775,0
2018-06-28,JU13.MI,85.775,85.775,85.775,85.775,0
2018-06-29,JU13.MI,85.775,85.775,85.775,85.775,0
2018-07-02,JU13.MI,85.775,85.775,85.775,85.775,0
2018-07-03,JU13.MI,85.775,85.775,85.775,85.775,0
2018-07-04,JU13.MI,85.775,85.775,85.775,85.775,0
2018-07-05,JU13.MI,85.775,85.775,85.775,85.775,0
2018-07-06,JU13.MI,85.775,85.775,85.775,85.775,0
2018-07-09,JU13.MI,85.775,85.775,85.775,85.775,0
2018-07-10,JU13.MI,85.775,85.775,85.775,85.775,0
2018-07-11,JU13.MI,85.775,85.775,85.775,85.775,0
2018-07-12,JU13.MI,85.775,85.775,85.775,85.775,0
2018-07-13,JU13.MI,85.775,85.775,85.775,85.775,0
2018-07-16,JU13.MI,85.445,85.445,85.305,85.355,15
2018-07-17,JU13.MI,85.355,85.355,85.355,85.355,0
2018-07-18,JU13.MI,85.355,85.355,85.355,85.355,0
2018-07-19,JU13.MI,85.355,85.355,85.355,85.355,0
2018-07-20,JU13.MI,85.355,85.355,85.355,85.355,0
2018-07-23,JU13.MI,85.355,85.355,85.355,85.355,0
2018-07-24,JU13.MI,85.355,85.355,85.355,85.355,0
2018-07-25,JU13.MI,85.355,85.355,85.355,85.355,0
2018-07-26,JU13.MI,85.355,85.355,85.355,85.355,0
2018-07-27,JU13.MI,85.355,85.355,85.355,85.355,0
2018-07-30,JU13.MI,85.355,85.355,85.355,85.355,0
