Date,Ticker,Open,High,Low,Close,Volume
2021-07-21,KSTR.MI,25.21,25.21,25.145,25.145,1
2021-07-22,KSTR.MI,25.21,25.45,25.21,25.39,400
2021-07-23,KSTR.MI,25.25,25.25,25.095,25.095,95
2021-07-26,KSTR.MI,24.54,24.7,24.54,24.61,350
2021-07-27,KSTR.MI,24.25,24.25,23.53,23.53,613
2021-07-28,KSTR.MI,23.71,24.455,23.71,24.455,510
2021-07-29,KSTR.MI,25.0,25.11,24.83,24.83,1080
2021-07-30,KSTR.MI,24.83,24.83,24.83,24.83,0
2021-08-02,KSTR.MI,24.88,24.93,24.79,24.79,600
2021-08-03,KSTR.MI,24.5,24.5,24.355,24.355,570
2021-08-04,KSTR.MI,25.03,25.14,25.03,25.035,550
2021-08-05,KSTR.MI,25.035,25.035,25.035,25.035,0
2021-08-06,KSTR.MI,24.9,24.91,24.75,24.75,562
2021-08-09,KSTR.MI,24.82,24.82,24.8,24.8,320
2021-08-10,KSTR.MI,25.13,25.13,25.065,25.065,200
2021-08-11,KSTR.MI,25.09,25.09,25.01,25.01,20
2021-08-12,KSTR.MI,25.01,25.01,25.01,25.01,0
2021-08-13,KSTR.MI,25.01,25.01,25.01,25.01,0
2021-08-16,KSTR.MI,24.64,24.64,24.575,24.575,61
2021-08-17,KSTR.MI,24.575,24.575,24.575,24.575,0
2021-08-18,KSTR.MI,24.575,24.575,24.575,24.575,0
2021-08-19,KSTR.MI,24.49,24.69,24.49,24.69,200
2021-08-20,KSTR.MI,24.13,24.56,24.13,24.46,300
2021-08-23,KSTR.MI,24.95,25.03,24.95,24.955,5703
2021-08-24,KSTR.MI,25.37,25.47,25.3,25.385,737
2021-08-25,KSTR.MI,24.69,24.73,24.52,24.645,1973
2021-08-26,KSTR.MI,23.89,23.96,23.865,23.865,2041
2021-08-27,KSTR.MI,23.59,23.64,23.57,23.595,705
2021-08-30,KSTR.MI,23.2,23.22,23.15,23.15,820
2021-08-31,KSTR.MI,22.87,22.87,22.75,22.75,670
2021-09-01,KSTR.MI,22.59,22.59,22.5,22.505,451
2021-09-02,KSTR.MI,22.15,22.17,22.12,22.135,1730
2021-09-03,KSTR.MI,22.13,22.22,21.97,22.105,1913
2021-09-06,KSTR.MI,22.53,22.77,22.53,22.695,1268
2021-09-07,KSTR.MI,22.64,22.685,22.63,22.685,115
2021-09-08,KSTR.MI,22.2,22.24,22.08,22.185,378
2021-09-09,KSTR.MI,21.95,22.11,21.95,22.11,67
2021-09-10,KSTR.MI,22.62,22.62,22.55,22.55,50
2021-09-13,KSTR.MI,21.75,21.94,21.75,21.84,780
