Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,LAFRI.MI,9.763,9.799,9.713,9.726,13722
2018-01-03,LAFRI.MI,9.649,9.809,9.649,9.735,14461
2018-01-04,LAFRI.MI,9.802,9.833,9.73,9.752,14275
2018-01-05,LAFRI.MI,9.82,9.82,9.776,9.81,4294
2018-01-08,LAFRI.MI,9.7,9.92,9.7,9.891,8493
2018-01-09,LAFRI.MI,9.925,9.98,9.87,9.9,5578
2018-01-10,LAFRI.MI,9.91,9.941,9.782,9.86,13264
2018-01-11,LAFRI.MI,9.827,9.875,9.8,9.824,3297
2018-01-12,LAFRI.MI,9.804,9.849,9.791,9.825,10029
2018-01-15,LAFRI.MI,9.82,9.822,9.783,9.808,5411
2018-01-16,LAFRI.MI,9.875,9.95,9.844,9.888,6161
2018-01-17,LAFRI.MI,9.913,9.972,9.89,9.925,7521
2018-01-18,LAFRI.MI,9.979,9.979,9.877,9.91,5572
2018-01-19,LAFRI.MI,9.921,9.921,9.844,9.876,10382
2018-01-22,LAFRI.MI,9.979,9.983,9.9,9.929,5240
2018-01-23,LAFRI.MI,9.999,9.999,9.921,9.938,7957
2018-01-24,LAFRI.MI,9.965,10.04,9.948,10.02,9229
2018-01-25,LAFRI.MI,9.965,10.04,9.942,10.002,4557
2018-01-26,LAFRI.MI,10.002,10.02,9.921,9.963,9798
2018-01-29,LAFRI.MI,9.928,9.987,9.815,9.89,31749
2018-01-30,LAFRI.MI,9.7,9.765,9.645,9.666,8217
2018-01-31,LAFRI.MI,9.576,9.71,9.576,9.623,9416
2018-02-01,LAFRI.MI,9.665,9.721,9.601,9.624,10169
2018-02-02,LAFRI.MI,9.578,9.603,9.439,9.502,6113
2018-02-05,LAFRI.MI,9.315,9.394,9.26,9.326,9109
2018-02-06,LAFRI.MI,9.16,9.233,8.926,9.233,5630
2018-02-07,LAFRI.MI,9.333,9.388,9.245,9.36,6105
2018-02-08,LAFRI.MI,9.233,9.243,9.133,9.142,3621
2018-02-09,LAFRI.MI,9.105,9.134,9.02,9.043,6478
2018-02-12,LAFRI.MI,9.19,9.26,9.19,9.225,3419
2018-02-13,LAFRI.MI,9.276,9.363,9.251,9.3,5559
2018-02-14,LAFRI.MI,9.451,9.5,9.412,9.5,259
2018-02-15,LAFRI.MI,9.584,9.714,9.584,9.646,7685
2018-02-16,LAFRI.MI,9.785,9.785,9.696,9.696,3751
2018-02-19,LAFRI.MI,9.76,9.76,9.609,9.609,5054
2018-02-20,LAFRI.MI,9.646,9.646,9.564,9.579,1191
2018-02-21,LAFRI.MI,9.551,9.749,9.551,9.707,2555
2018-02-22,LAFRI.MI,9.6,9.68,9.6,9.68,4003
